filename,sha256,size_bytes
00_PM_Correction_Insert_AutonomousICMEvolutionPolicy_Before_Release.md,47a93697ec5af0a96eda56eb86f9aa5aedf1dc8d707c793f7487d1036270e3a3,1466
01_AutonomousICMEvolutionPolicy_Spec_7301A7400Z.md,8620da02e120a252c7272c3ad1e98880e3d0567704c57899a134831eeca684c7,3252
02_AutonomousICMEvolution_Invariants_v0_1.md,3af915f2eaf97dd031945648fb4ca2397e3058515d095d1bf7ef3f4d72b6cd33,1604
03_EvolutionPolicy_StateMachine_v0_1.md,3f80c36b9ecdc4aa43101012b3cb797e85ceb52797abcbcb40aadf61823e75cb,1240
04_ProjectScoped_Durable_Write_Contract_v0_1.md,1049fc85ab61aaf06658b293ed913570722bff6cf9462f3b356bd85fb3566c4e,1372
05_UPS_Accept_To_OperatorMemory_Test_Case_v0_1.md,c916796b9efcecc093c938eb25dd2a17f39ef5812d60276ebb5fb3e13bed2f0e,1484
06_Codex_Task_Prompt_7301A7400Z.md,15edaf0e848406c59e9a496d9235fc2ef6ea2f19cdf5b3692b69112456492c21,1837
07_Acceptance_Criteria_7301A7400Z.json,68f87988c3e9a2e5a52bb33fe8948dee825de5fee7b59e9269c8b4d48859dd5c,1173
08_Return_Files_Manifest_7301A7400Z.json,3771f2b274a033e2fbe01a9145428733cca1a2d62bd5a78425426afa9fd1e275,1014
09_Architecture_Closure_Tracker_7301A7400Z.json,abb73eda44f26eb9125923b0dbd1819d34aca6e18e1732526a18cfb0eb726bbf,486
10_PM_Next_Seed_7301A7400Z.md,eb7202a9fb6d84f79830b2cbe9efee9944be411828f90e7692eb74c27b9fa68e,406
