filename,sha256,size_bytes
00_PM_Audit_7301_Return_AutonomousICMEvolution.md,f3ed2d71249dfd4fb9a284d6fd729a970d1c36b73ecaef3d7f7d1efe6d894d5c,1931
01_BaselineEvolutionProposalProtocol_Spec_7501A7600Z_v0_2.md,389ccf13b3de4b21af67be9fadccad482f73149c8261bdd6f137a7a97155d0dc,2372
02_BaselineUpdateProposal_Schema_v0_2.json,ba49c2efc34cb87ed402839dfa554961f324bac463af0ebcda1edb1e38e791f6,1996
03_ProposalEligibilityPolicy_v0_2.md,be84e4b37668faf01ebcbf3e3ed2c6b1110a5dbcd5349fceff61aaffd1f09441,1109
04_PeriodicBaselineReview_StateMachine_v0_2.md,e19eb2c55392b3c8d8e6d9caf77fe9f7f1c030badfd606caee66578d71eceacb,814
05_UPS_BaselineUpdateProposal_TestCase_v0_2.md,3b94d17ff2fbf1aac2ff6254f18b606624cb9fbddb3d149ac31b0215852bbb29,805
06_Codex_Task_Prompt_7501A7600Z_v0_2.md,da1a0eaff4edf8d4854e7dc9e67d941c0ea1983b8cbcdaa94040c5fca71d60b0,1668
07_Acceptance_Criteria_7501A7600Z_v0_2.json,91a37b4652fbf0d7b8a09cc9d0151b8909bd9d79027839009f30abaf1eada476,1181
08_Return_Files_Manifest_7501A7600Z_v0_2.json,46b93eb0bddf3695d43661574096d9807546f9b5a688659e439fc67951fd208a,803
09_Architecture_Closure_Tracker_7501A7600Z_v0_2.json,53ef9a605b9acaab1ea2310004ba5adb031b4ae315a2622855bf1b005fa17894,713
10_PM_Next_Seed_7501A7600Z_v0_2.md,45683397944cf4954c620a6f4c6784176760118cbdfec8808470b00d4ef43e15,495
