candidate_id,decision,policy_reason,runtime_effect,promotion_status
PS-LM1,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LM2,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LM3,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CO1,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CO2,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CO3,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CO4,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LLM1,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LLM2,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LLM3,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LLM4,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-LLM5,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-SEM1,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-SEM2,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-SEM3,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-SEM4,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CTRL1,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-CTRL2,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-HPM1,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-HPM2,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-AOS1,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-AOS2,NO_WRITE_HUMAN_PM_REPORT_ONLY,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-AOS3,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-AOS4,NO_WRITE_HUMAN_PM_REPORT_ONLY,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-KPIH1,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-SIMON1,NO_WRITE_HUMAN_PM_REPORT_ONLY,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-EDU1,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-ROBOT1,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-ENT1,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
PS-BCI1,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,candidate-only metabolism decision from full theory-baseline problem-space scan,none; local sandbox receipt only,not_promoted
