relative_path,bytes,sha256
analyze_component_geometry.py,21497,1fb968f519c8c89bb4d0d156f79502d5002f02db21638acc4f97e2f708488b69
analyze_llama_radial_exponent.py,7823,b059ca4a6d1d790045d94447e68cbe304571f2146c651df0bf8f7d853f77c77b
analyze_llama_radial_scale.py,9148,d0e59ce8dfc97564b3f327555fc618cc0530934490aa3c8b692786adee4eeb0e
analyze_llama_residual_coordinates.py,13230,20c0b0fe9579eaa21cbfe59192d3d080c41a7de4bbd6af5e779e39774f009d6c
analyze_order_geometry_controls.py,15439,2cdf0d2e09ff1d628d9d8c2ddcaaad734fc5e5a109a28ca9b3f6272409974ece
analyze_prompt_fingerprint.py,10004,847c14ddb3c6eda195590ea51e27883b6144639aeb2629c5cb821795faed11e9
analyze_pythia_task_coordinates.py,19530,7fe8127840c93dfea46cda07a07501c3fd64a0dd2d4d96322ddc49aaec7368f5
analyze_relational_continuity.py,24029,95a3bd31f2ae1411d1cc5ab2a9124976669e39eec6f5d7f6a1684747fd31c7d0
extract_llama_residual_states.py,12749,cd2bc7b3412a9d58b8e29532c58dc727b8e888d33070c91f72fe3245c0005994
extract_pythia_training_trajectory.py,17607,de61f9f8fd4873179ef4913b26626c2008d45b87a2a206ccb8a90ffba2f66d39
protocols/actuator_coordinate_margin_protocol.md,2401,3a6b4b26b70a16c714033a26be03c1f1b62860fb5a22d68527fb65cf706d75da
protocols/incremental_path_history_protocol.md,2263,3e454019d2d903c3c6667074cd4eb2dfadd4cbacb80c66dd4c4f3729c1404741
protocols/llama_radial_exponent_protocol.md,1288,22f3ce46a0839e164ff1630e35247199f3e26c7a94ff83ba36f78fedebbf3039
protocols/llama_radial_scale_protocol.md,1248,d7d9ec0261729bc97064268030ff74beeb05dc12d9afc08e70125691470ea446
protocols/llama_residual_coordinate_protocol.md,2109,04a62213337aba3becabe5b8f8c95e43c1e33c74a2504df9e6203200b249ea73
protocols/mixed_arithmetic_replication_protocol.md,866,a2181e5d4cf2bfe3d0efcc7cbb1df3579b9dc97b5d07c9fd3e14fcf7bfcf4b22
protocols/pythia_component_swap_protocol.md,3231,88f3d727933fd5876f90f59b51cb091e0aeef89c5ab805caec83628286349717
protocols/pythia_task_coordinate_protocol.md,2981,41fca04cf9415bb3434ace5afb0b415764d0bd39d7f6eb62f7816207ce997b52
protocols/relational_continuity_protocol.md,1509,ff5a8b52f698c21d10de6c2850ea3b8aaef82097f86bf7dfec020fe973478b68
protocols/reordered_execution_protocol.md,2126,69c97cc6a8ac85f7e8df9011df70314a2773b4d1a603f35a768d854690998fe4
README.md,3414,b6e93cbd1bcb31cc3e0f7c40e7799f03b126c30322e9e90fde7c032fba517d8b
requirements.txt,84,ca8ee6c2c2c10c571274fb36d181194716f0985bd10ed69463904c47b0b27df8
run_actuator_coordinate_margin_audit.py,17973,0dfac6f746826736fdbb0a129071e53964da1f02d4c00df46c1b2a8ab212dd16
run_cross_task_relational_continuity.py,7414,979616f5925d7c4678a11135648dce2ac33ce47d8acbcf225f9cb87fe12f6359
run_incremental_path_history.py,16456,622ff2634aa1084548547a7b2d7dabfba2dce93c086374b021c45b3c595a8666
run_pythia_component_swap.py,18525,857f0389d70d6775ec970fa396b0f2dee12ebcbb35ae61555d942cb9271cacc0
run_reordered_execution_audit.py,14677,0f4cd5cdb5a788b2f5de6ddf5c47874fc5026ba262a94737083119eba5e73d44
verify_actuator_coordinate_margin.py,9998,91e26eaa2fc76a92372c986b60457607435c6ddfe4c91d319ca77571df28edc2
verify_incremental_path_history.py,9565,551ac3deeb31948850c1a92eb62edc9d3382511b2a34460e268a4b06e4fd9b7e
verify_llama_metric_audit.py,15960,3c3f2f6fa35fbe5ca1830088bdd53b704e19dedbf911abe8de6ccb9039794884
verify_pythia_component_swap.py,9417,ea4af847b4011d0d34a505896515666abcb76a477fe9e55832f18ff0e8733ac8
verify_pythia_task_coordinates.py,12609,de5ed07ecb38a36a5e46fcd786a61a2c8bae7239445d7e3fb62e9a205e59f0e7
verify_reordered_execution.py,4175,0060e85ad0c1a1748b099b5abd3fcec0e1908e817b054ae93bf5a0619096f587
