"model","prompt_id","graph_id","initial_deficit","delta_DeltaU","predicted_delta_margin_oof","margin_policy","crossing"
"qwen","g000_closure_update",0,6.03125,1.17114853858948,1.12602363690571,-3.40625,"No observed crossing"
"qwen","g000_closure_override",0,6.453125,3.07055735588074,2.37633362603466,-3.609375,"No observed crossing"
"qwen","g000_exception_override",0,5.640625,4.38144850730896,3.23924438351386,-2.671875,"No observed crossing"
"qwen","g004_closure_update",4,2.078125,2.80067348480225,2.36324230823524,-0.75,"No observed crossing"
"qwen","g004_closure_override",4,6.984375,4.30417919158936,3.08809705333129,-2.78125,"No observed crossing"
"qwen","g004_exception_override",4,5.671875,4.42045497894287,3.14415474291804,-2.28125,"No observed crossing"
"qwen","g009_closure_update",9,4.140625,1.65760397911072,1.71715789702284,-2.390625,"No observed crossing"
"qwen","g009_closure_override",9,2.953125,0.507636547088623,1.10329810895779,-2.53125,"No observed crossing"
"qwen","g009_exception_override",9,3.21875,2.73149681091309,2.29040858897993,-1.5,"No observed crossing"
"qwen","g010_closure_update",10,3.671875,4.20061302185059,2.94406251997575,-1.609375,"No observed crossing"
"qwen","g010_closure_override",10,7.25,3.73799896240234,2.71677552598569,-3.421875,"No observed crossing"
"qwen","g010_exception_override",10,6.484375,4.33321571350098,3.00921157146837,-2.8125,"No observed crossing"
"qwen","g011_closure_update",11,6.171875,3.0381965637207,2.43036160243802,-3.09375,"No observed crossing"
"qwen","g011_closure_override",11,6.34375,5.37801766395569,3.5595742724346,-2.40625,"No observed crossing"
"qwen","g011_exception_override",11,6.015625,7.54486298561096,4.60530772226553,-1.65625,"No observed crossing"
"qwen","g012_closure_update",12,6.328125,1.44192266464233,1.30426414601546,-3.421875,"No observed crossing"
"qwen","g012_closure_override",12,6.65625,3.26752161979675,2.50598785551582,-3.5625,"No observed crossing"
"qwen","g012_exception_override",12,5.28125,5.252685546875,3.81274723532331,-2.140625,"No observed crossing"
"qwen","g015_closure_update",15,5.234375,2.05902051925659,2.00568418998963,-3.234375,"No observed crossing"
"qwen","g015_closure_override",15,3.90625,0.618064880371094,1.31098544185448,-3.1875,"No observed crossing"
"qwen","g015_exception_override",15,4.46875,1.32428288459778,1.65146002011856,-3.234375,"No observed crossing"
"qwen","g018_closure_update",18,5.8125,1.50788307189941,1.63723594287843,-3.203125,"No observed crossing"
"qwen","g018_closure_override",18,6.9375,4.02605819702148,2.9814535316322,-3.171875,"No observed crossing"
"qwen","g018_exception_override",18,5.046875,3.8159191608429,2.86928000339066,-2.46875,"No observed crossing"
"qwen","g022_closure_update",22,3.640625,3.23339176177979,2.46885687450322,-1.671875,"No observed crossing"
"qwen","g022_closure_override",22,8.65625,4.20693302154541,2.94716760012477,-3.953125,"No observed crossing"
"qwen","g022_exception_override",22,5.109375,3.5920238494873,2.64505646787623,-2.5,"No observed crossing"
"qwen","g026_closure_update",26,3.765625,2.75019526481628,2.29137032841896,-2.015625,"No observed crossing"
"qwen","g026_closure_override",26,4.25,2.56454253196716,2.20177312881611,-2.640625,"No observed crossing"
"qwen","g026_exception_override",26,4.125,3.27318596839905,2.54376899629864,-2.125,"No observed crossing"
"qwen","g030_closure_update",30,6.5625,0.190426826477051,0.480451108207799,-3.90625,"No observed crossing"
"qwen","g030_closure_override",30,6.546875,3.50416588783264,2.66176195190932,-3.421875,"No observed crossing"
"qwen","g030_exception_override",30,4.484375,5.15301203727722,3.74713588111292,-1.5625,"No observed crossing"
"qwen","g031_closure_update",31,5.59375,2.84126114845276,2.38281001619712,-3.078125,"No observed crossing"
"qwen","g031_closure_override",31,4.921875,3.73331737518311,2.81287901155846,-2.09375,"No observed crossing"
"qwen","g031_exception_override",31,2.453125,3.07930469512939,2.4975731285479,-0.828125,"No observed crossing"
"qwen","g033_closure_update",33,6.3125,3.21994566917419,2.55114563618964,-3.3125,"No observed crossing"
"qwen","g033_closure_override",33,3.1875,0.746915340423584,1.23102662132686,-2.453125,"No observed crossing"
"qwen","g033_exception_override",33,2.71875,1.88026142120361,1.83601382842423,-1.546875,"No observed crossing"
"qwen","g039_closure_update",39,6.1875,2.71023368835449,2.21182399047829,-3.390625,"No observed crossing"
"qwen","g039_closure_override",39,4.671875,3.00563645362854,2.35695837445176,-2.140625,"No observed crossing"
"qwen","g039_exception_override",39,3.671875,2.92506885528564,2.31737469370026,-1.703125,"No observed crossing"
"qwen","g040_closure_update",40,6,5.21809387207031,3.4823940247598,-2.28125,"No observed crossing"
"qwen","g040_closure_override",40,8.53125,4.60208988189697,3.18510654820771,-3.359375,"No observed crossing"
"qwen","g040_exception_override",40,5.75,5.25606155395508,3.50071747155254,-1.96875,"No observed crossing"
"qwen","g042_closure_update",42,5.71875,-0.226840496063232,0.205779591070576,-3.546875,"No observed crossing"
"qwen","g042_closure_override",42,6.46875,3.33362317085266,2.54950004142848,-3.359375,"No observed crossing"
"qwen","g042_exception_override",42,5.03125,5.44400095939636,3.93868303659589,-1.84375,"No observed crossing"
"qwen","g045_closure_update",45,5.203125,2.07566165924072,2.01370704565746,-3.109375,"No observed crossing"
"qwen","g045_closure_override",45,3.59375,1.30267453193665,1.64104242283946,-2.640625,"No observed crossing"
