prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,control,final_margin,baseline_DeltaU,baseline_margin,baseline_pair_choice,margin_shift,DeltaU_shift,pair_flip,crossed
g000_clean,0,clean,stable,Red,Blue,3.4952709674835205,29.40625,30.640625,conflict,none,-1.234375,3.495271,-1.234375,conflict,0.0,0.0,False,False
g000_redundant,0,redundant,stable,Red,Blue,5.773569583892822,26.890625,27.03125,conflict,none,-0.140625,5.7735696,-0.140625,conflict,0.0,0.0,False,False
g000_irrelevant,0,irrelevant,stable,Red,Blue,3.234239339828491,29.703125,30.890625,conflict,none,-1.1875,3.2342393,-1.1875,conflict,0.0,0.0,False,False
g000_paraphrase,0,paraphrase,stable,Red,Blue,12.689164161682129,24.59375,22.8125,clean,none,1.78125,12.689164,1.78125,clean,0.0,0.0,False,False
g000_weak_distractor,0,weak_distractor,competition,Red,Blue,5.377464771270752,29.921875,30.328125,conflict,none,-0.40625,5.377465,-0.40625,conflict,0.0,0.0,False,False
g000_competition_balanced,0,competition_balanced,competition,Red,Blue,-2.708873987197876,28.984375,33.0625,conflict,none,-4.078125,-2.708874,-4.078125,conflict,0.0,0.0,False,False
g000_direct_conflict,0,direct_conflict,competition,Red,Blue,-1.1980664730072021,30.078125,33.4375,conflict,none,-3.359375,-1.1980665,-3.359375,conflict,0.0,0.0,False,False
g000_closure_update,0,closure_update,closure,Red,Blue,-4.9420976638793945,26.8125,32.84375,conflict,none,-6.03125,-4.9420977,-6.03125,conflict,0.0,0.0,False,False
g000_closure_override,0,closure_override,closure,Red,Blue,-6.5481414794921875,25.828125,32.28125,conflict,none,-6.453125,-6.516219,-6.4375,conflict,-0.015625,-0.031922340393066406,False,False
g000_exception_override,0,exception_override,closure,Red,Blue,-6.0156097412109375,26.828125,32.46875,conflict,none,-5.640625,-6.018737,-5.640625,conflict,0.0,0.0031270980834960938,False,False
g004_clean,4,clean,stable,Copper,Silver,3.4952709674835205,27.078125,23.796875,clean,none,3.28125,3.495271,3.28125,clean,0.0,0.0,False,False
g004_redundant,4,redundant,stable,Copper,Silver,2.691051959991455,26.828125,23.609375,clean,none,3.21875,2.691052,3.21875,clean,0.0,0.0,False,False
g004_irrelevant,4,irrelevant,stable,Copper,Silver,-2.328352212905884,28.21875,28.03125,clean,none,0.1875,-2.291897,0.1875,clean,0.0,-0.03645515441894531,False,False
g004_paraphrase,4,paraphrase,stable,Copper,Silver,5.826981544494629,23.796875,19.59375,clean,none,4.203125,5.803486,4.203125,clean,0.0,0.02349567413330078,False,False
g004_weak_distractor,4,weak_distractor,competition,Copper,Silver,-2.099755048751831,27.25,26.171875,clean,none,1.078125,-2.099755,1.078125,clean,0.0,0.0,False,False
g004_competition_balanced,4,competition_balanced,competition,Copper,Silver,-7.230499267578125,27.21875,28.5,conflict,none,-1.28125,-7.2304993,-1.28125,conflict,0.0,0.0,False,False
g004_direct_conflict,4,direct_conflict,competition,Copper,Silver,-8.123416900634766,27.421875,28.828125,conflict,none,-1.40625,-8.123417,-1.40625,conflict,0.0,0.0,False,False
g004_closure_update,4,closure_update,closure,Copper,Silver,-8.318507194519043,27.484375,29.5625,conflict,none,-2.078125,-8.318507,-2.078125,conflict,0.0,0.0,False,False
g004_closure_override,4,closure_override,closure,Copper,Silver,-13.301108360290527,23.15625,30.140625,conflict,none,-6.984375,-13.292682,-6.96875,conflict,-0.015625,-0.008426666259765625,False,False
g004_exception_override,4,exception_override,closure,Copper,Silver,-12.839228630065918,24.1875,29.859375,conflict,none,-5.671875,-12.816798,-5.65625,conflict,-0.015625,-0.022430419921875,False,False
g009_clean,9,clean,stable,East,West,3.4952709674835205,30.140625,30.359375,conflict,none,-0.21875,3.495271,-0.21875,conflict,0.0,0.0,False,False
g009_redundant,9,redundant,stable,East,West,8.87479305267334,28.296875,26.25,clean,none,2.046875,8.874793,2.046875,clean,0.0,0.0,False,False
g009_irrelevant,9,irrelevant,stable,East,West,8.005430221557617,29.703125,28.125,clean,none,1.578125,7.9592266,1.5625,clean,0.015625,0.04620361328125,False,False
g009_paraphrase,9,paraphrase,stable,East,West,11.567137718200684,23.25,21.3125,clean,none,1.9375,11.572227,1.9375,clean,0.0,-0.00508880615234375,False,False
