null_id,seed,crossings,mean_margin,closure_override_crossings,closure_update_crossings,exception_override_crossings
0,1042,16,-1.2142600574712643,9,0,7
1,1043,18,-1.2455100574712643,9,0,9
2,1044,19,-1.1948635057471264,11,0,8
3,1045,19,-1.2167744252873562,12,0,7
4,1046,19,-1.1901939655172413,11,0,8
5,1047,15,-1.2686781609195403,9,0,6
6,1048,16,-1.283764367816092,9,0,7
7,1049,18,-1.2460488505747127,11,0,7
8,1050,18,-1.1876795977011494,10,0,8
9,1051,15,-1.1690014367816093,9,0,6
10,1052,18,-1.2268318965517242,11,0,7
11,1053,19,-1.162176724137931,11,0,8
12,1054,17,-1.1916307471264367,11,0,6
13,1055,18,-1.235632183908046,11,0,7
14,1056,20,-1.2155172413793103,11,0,9
15,1057,16,-1.2347341954022988,10,0,6
16,1058,18,-1.2261135057471264,10,0,8
17,1059,17,-1.1957614942528736,11,0,6
18,1060,18,-1.1806752873563218,10,0,8
19,1061,18,-1.2207255747126438,11,0,7
20,1062,17,-1.2261135057471264,10,0,7
21,1063,19,-1.2406609195402298,11,0,8
22,1064,19,-1.184985632183908,10,0,9
23,1065,16,-1.1914511494252873,9,0,7
24,1066,17,-1.2900502873563218,10,0,7
25,1067,16,-1.2097701149425288,10,0,6
26,1068,18,-1.2228807471264367,10,0,8
27,1069,18,-1.2300646551724137,11,0,7
28,1070,17,-1.2169540229885059,10,0,7
29,1071,18,-1.3266882183908046,11,0,7
30,1072,18,-1.2135416666666667,10,0,8
31,1073,17,-1.2365301724137931,10,0,7
32,1074,19,-1.1930675287356323,11,0,8
33,1075,18,-1.2081537356321839,10,0,8
34,1076,18,-1.1918103448275863,10,0,8
35,1077,18,-1.2067169540229885,10,0,8
36,1078,15,-1.282507183908046,10,0,5
37,1079,19,-1.1970186781609196,10,0,9
38,1080,18,-1.2147988505747127,11,0,7
39,1081,18,-1.1521192528735633,11,0,7
40,1082,16,-1.2404813218390804,10,0,6
41,1083,17,-1.2133620689655173,10,0,7
42,1084,18,-1.2697557471264367,11,0,7
43,1085,16,-1.2313218390804597,9,0,7
44,1086,19,-1.1961206896551724,11,0,8
45,1087,17,-1.1883979885057472,9,0,8
46,1088,19,-1.2108477011494252,11,0,8
47,1089,17,-1.2049209770114941,11,0,6
48,1090,19,-1.2507183908045978,11,0,8
49,1091,19,-1.229705459770115,11,0,8
