prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,action_label,alpha,beta,final_margin,baseline_margin,margin_shift,dose,crossed
g001_clean,1,clean,stable,Green,Yellow,3.4952709674835205,28.609375,30.421875,conflict,a0.0_b0.0,0.0,0.0,-1.8125,-1.8125,0.0,0.0,False
g001_redundant,1,redundant,stable,Green,Yellow,5.658166408538818,27.28125,27.546875,conflict,a0.0_b0.0,0.0,0.0,-0.265625,-0.265625,0.0,0.0,False
g001_irrelevant,1,irrelevant,stable,Green,Yellow,1.680665373802185,26.625,28.546875,conflict,a0.0_b0.0,0.0,0.0,-1.921875,-1.9375,0.015625,0.0,False
g001_paraphrase,1,paraphrase,stable,Green,Yellow,8.892293930053711,24.15625,21.796875,clean,a0.0_b0.0,0.0,0.0,2.359375,2.359375,0.0,0.0,False
g001_weak_distractor,1,weak_distractor,competition,Green,Yellow,2.039675235748291,27.71875,29.546875,conflict,a0.0_b0.0,0.0,0.0,-1.828125,-1.828125,0.0,0.0,False
g001_competition_balanced,1,competition_balanced,competition,Green,Yellow,-0.4245150089263916,28.265625,31.703125,conflict,a0.0_b0.0,0.0,0.0,-3.4375,-3.4375,0.0,0.0,False
g001_direct_conflict,1,direct_conflict,competition,Green,Yellow,-2.4694135189056396,28.375,33.65625,conflict,a0.0_b0.0,0.0,0.0,-5.28125,-5.296875,0.015625,0.0,False
g001_closure_update,1,closure_update,closure,Green,Yellow,-2.3513338565826416,26.71875,31.09375,conflict,a0.0_b0.0,0.0,0.0,-4.375,-4.375,0.0,0.0,False
g001_closure_override,1,closure_override,closure,Green,Yellow,-1.383692979812622,25.734375,30.359375,conflict,a0.0_b0.0,0.0,0.0,-4.625,-4.625,0.0,0.0,False
g001_exception_override,1,exception_override,closure,Green,Yellow,-0.29539942741394043,27.4375,30.625,conflict,a0.0_b0.0,0.0,0.0,-3.1875,-3.1875,0.0,0.0,False
g002_clean,2,clean,stable,North,South,3.4952709674835205,30.875,31.4375,conflict,a0.0_b0.0,0.0,0.0,-0.5625,-0.5625,0.0,0.0,False
g002_redundant,2,redundant,stable,North,South,3.753952980041504,28.421875,28.59375,conflict,a0.0_b0.0,0.0,0.0,-0.171875,-0.171875,0.0,0.0,False
g002_irrelevant,2,irrelevant,stable,North,South,2.4062418937683105,29.859375,31.328125,conflict,a0.0_b0.0,0.0,0.0,-1.46875,-1.46875,0.0,0.0,False
g002_paraphrase,2,paraphrase,stable,North,South,11.420602798461914,25.21875,22.3125,clean,a0.0_b0.0,0.0,0.0,2.90625,2.921875,-0.015625,0.0,False
g002_weak_distractor,2,weak_distractor,competition,North,South,2.2607955932617188,28.484375,29.71875,conflict,a0.0_b0.0,0.0,0.0,-1.234375,-1.234375,0.0,0.0,False
g002_competition_balanced,2,competition_balanced,competition,North,South,-1.100919485092163,28.46875,30.234375,conflict,a0.0_b0.0,0.0,0.0,-1.765625,-1.765625,0.0,0.0,False
g002_direct_conflict,2,direct_conflict,competition,North,South,-2.345646619796753,29.125,32.09375,conflict,a0.0_b0.0,0.0,0.0,-2.96875,-2.96875,0.0,0.0,False
g002_closure_update,2,closure_update,closure,North,South,-4.970477104187012,27.46875,31.625,conflict,a0.0_b0.0,0.0,0.0,-4.15625,-4.171875,0.015625,0.0,False
g002_closure_override,2,closure_override,closure,North,South,-5.661420822143555,26.46875,30.859375,conflict,a0.0_b0.0,0.0,0.0,-4.390625,-4.390625,0.0,0.0,False
g002_exception_override,2,exception_override,closure,North,South,-4.933009147644043,27.140625,31.453125,conflict,a0.0_b0.0,0.0,0.0,-4.3125,-4.3125,0.0,0.0,False
g003_clean,3,clean,stable,East,West,3.4952709674835205,29.734375,30.546875,conflict,a0.0_b0.0,0.0,0.0,-0.8125,-0.8125,0.0,0.0,False
g003_redundant,3,redundant,stable,East,West,6.781176567077637,27.5,26.71875,clean,a0.0_b0.0,0.0,0.0,0.78125,0.78125,0.0,0.0,False
g003_irrelevant,3,irrelevant,stable,East,West,4.80514669418335,29.015625,29.359375,conflict,a0.0_b0.0,0.0,0.0,-0.34375,-0.375,0.03125,0.0,False
g003_paraphrase,3,paraphrase,stable,East,West,11.72581672668457,25.28125,22.828125,clean,a0.0_b0.0,0.0,0.0,2.453125,2.453125,0.0,0.0,False
g003_weak_distractor,3,weak_distractor,competition,East,West,4.02653694152832,28.875,29.890625,conflict,a0.0_b0.0,0.0,0.0,-1.015625,-1.015625,0.0,0.0,False
g003_competition_balanced,3,competition_balanced,competition,East,West,0.43556737899780273,27.953125,29.5625,conflict,a0.0_b0.0,0.0,0.0,-1.609375,-1.609375,0.0,0.0,False
g003_direct_conflict,3,direct_conflict,competition,East,West,-1.7843024730682373,28.859375,32.96875,conflict,a0.0_b0.0,0.0,0.0,-4.109375,-4.140625,0.03125,0.0,False
g003_closure_update,3,closure_update,closure,East,West,-6.418225288391113,25.96875,31.328125,conflict,a0.0_b0.0,0.0,0.0,-5.359375,-5.34375,-0.015625,0.0,False
g003_closure_override,3,closure_override,closure,East,West,-3.4827277660369873,26.96875,30.34375,conflict,a0.0_b0.0,0.0,0.0,-3.375,-3.375,0.0,0.0,False
g003_exception_override,3,exception_override,closure,East,West,-3.1708590984344482,26.796875,30.796875,conflict,a0.0_b0.0,0.0,0.0,-4.0,-4.0,0.0,0.0,False
g005_clean,5,clean,stable,Gold,Iron,3.4952709674835205,25.21875,28.75,conflict,a0.0_b0.0,0.0,0.0,-3.53125,-3.53125,0.0,0.0,False
g005_redundant,5,redundant,stable,Gold,Iron,8.507293701171875,24.234375,25.25,conflict,a0.0_b0.0,0.0,0.0,-1.015625,-1.015625,0.0,0.0,False
