"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Qwen","Stable",0,1,0.0185185185185185,0.125145196181713,0.00276900134421951,0.123366135392002,0.00182067164206527,40,1536,0.0362962962962963
"Qwen","Stable",1,2,0.0555555555555556,0.139679514669694,0.00123567685727118,0.276307483607545,0.0026008697897281,40,1536,0.0362962962962963
"Qwen","Stable",2,3,0.0925925925925926,0.121951712804755,0.00189759257740263,0.308788691514447,0.00562623721968316,40,1536,0.0362962962962963
"Qwen","Stable",3,4,0.12962962962963,0.138425577209456,0.00200215753678211,0.317079821341278,0.000760196485717526,40,1536,0.0362962962962963
"Qwen","Stable",4,5,0.166666666666667,0.142246805424995,0.0159918766620232,0.158882689196512,0.00578147625176528,40,1536,0.0362962962962963
"Qwen","Stable",5,6,0.203703703703704,0.113329481773868,0.00329468981167759,0.220373070120695,0.00984233864599389,40,1536,0.0362962962962963
"Qwen","Stable",6,7,0.240740740740741,0.119284747129694,0.00247809896353808,0.324913638869553,0.00121931699815892,40,1536,0.0362962962962963
"Qwen","Stable",7,8,0.277777777777778,0.120295086180797,0.000724497391470557,0.329793818269844,0.00129856829698487,40,1536,0.0362962962962963
"Qwen","Stable",8,9,0.314814814814815,0.105691624161609,0.00025890795370781,0.331617711707034,0.000633267982080184,40,1536,0.0362962962962963
"Qwen","Stable",9,10,0.351851851851852,0.104552855851646,0.00116529548254738,0.218932137152792,0.0113087406659856,40,1536,0.0362962962962963
"Qwen","Stable",10,11,0.388888888888889,0.0693129614521033,0.00170267270669162,0.315226917301323,0.00260122267101223,40,1536,0.0362962962962963
"Qwen","Stable",11,12,0.425925925925926,0.0638999312891683,0.00108193708531713,0.3311384515149,0.00180614624136096,40,1536,0.0362962962962963
"Qwen","Stable",12,13,0.462962962962963,0.0656441851760503,0.000765623995061744,0.312080265872697,0.00131312279697039,40,1536,0.0362962962962963
"Qwen","Stable",13,14,0.5,0.0639216039866925,0.00124629467812833,0.311799389367235,0.00176824571544226,40,1536,0.0362962962962963
"Qwen","Stable",14,15,0.537037037037037,0.0611082222232889,0.00101044322445314,0.308777062060581,0.00202143424378402,40,1536,0.0362962962962963
"Qwen","Stable",15,16,0.574074074074074,0.103611841671794,0.00451092370574449,0.253402747519698,0.00570247665949391,40,1536,0.0362962962962963
"Qwen","Stable",16,17,0.611111111111111,0.0951187445293886,0.00300173901915023,0.320500011033392,0.000852002187328017,40,1536,0.0362962962962963
"Qwen","Stable",17,18,0.648148148148148,0.109034738477143,0.00377691220599683,0.302124166069378,0.00234126452995966,40,1536,0.0362962962962963
"Qwen","Stable",18,19,0.685185185185185,0.152605705599572,0.00618076896724961,0.267865980704039,0.00669713378630903,40,1536,0.0362962962962963
