"condition_a","condition_b","cosine","model","condition_a_short","condition_b_short"
"Stable positive","Stable positive",1,"Qwen","Stable+","Stable+"
"Weak positive","Stable positive",0.998989770638778,"Qwen","Weak+","Stable+"
"Balanced competition","Stable positive",0.797077044122238,"Qwen","Balanced","Stable+"
"Direct negative","Stable positive",0.904898870625871,"Qwen","Direct-","Stable+"
"Exception negative","Stable positive",0.99837313489641,"Qwen","Exception-","Stable+"
"Update negative","Stable positive",-0.112124427081277,"Qwen","Update","Stable+"
"Stable positive","Weak positive",0.998989770638778,"Qwen","Stable+","Weak+"
"Weak positive","Weak positive",1,"Qwen","Weak+","Weak+"
"Balanced competition","Weak positive",0.802515555004024,"Qwen","Balanced","Weak+"
"Direct negative","Weak positive",0.909356007789529,"Qwen","Direct-","Weak+"
"Exception negative","Weak positive",0.999233096553026,"Qwen","Exception-","Weak+"
"Update negative","Weak positive",-0.100923833153765,"Qwen","Update","Weak+"
"Stable positive","Balanced competition",0.797077044122238,"Qwen","Stable+","Balanced"
"Weak positive","Balanced competition",0.802515555004024,"Qwen","Weak+","Balanced"
"Balanced competition","Balanced competition",1,"Qwen","Balanced","Balanced"
"Direct negative","Balanced competition",0.971241056423784,"Qwen","Direct-","Balanced"
"Exception negative","Balanced competition",0.814375889173983,"Qwen","Exception-","Balanced"
"Update negative","Balanced competition",0.497235623486693,"Qwen","Update","Balanced"
"Stable positive","Direct negative",0.904898870625871,"Qwen","Stable+","Direct-"
"Weak positive","Direct negative",0.909356007789529,"Qwen","Weak+","Direct-"
"Balanced competition","Direct negative",0.971241056423784,"Qwen","Balanced","Direct-"
"Direct negative","Direct negative",1,"Qwen","Direct-","Direct-"
"Exception negative","Direct negative",0.916154148948502,"Qwen","Exception-","Direct-"
"Update negative","Direct negative",0.306176658351753,"Qwen","Update","Direct-"
"Stable positive","Exception negative",0.99837313489641,"Qwen","Stable+","Exception-"
"Weak positive","Exception negative",0.999233096553026,"Qwen","Weak+","Exception-"
"Balanced competition","Exception negative",0.814375889173983,"Qwen","Balanced","Exception-"
"Direct negative","Exception negative",0.916154148948502,"Qwen","Direct-","Exception-"
"Exception negative","Exception negative",1,"Qwen","Exception-","Exception-"
