"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",0,0,0.192860335111618,-0.643801612947355,-0.643801612947355
"Qwen","Stable positive",0,1,0.361330479383469,-0.568941729776852,-0.568941729776852
"Qwen","Stable positive",0,2,0.25187024474144,-0.617580498459187,-0.617580498459187
"Qwen","Stable positive",0,3,-0.101242005825043,-0.77448629288188,-0.77448629288188
"Qwen","Stable positive",0,4,-0.64177417755127,-1.01467232347036,-1.01467232347036
"Qwen","Stable positive",0,5,-0.725106954574585,-1.05170132928739,-1.05170132928739
"Qwen","Stable positive",0,6,-0.147467076778412,-0.79502645105693,-0.79502645105693
"Qwen","Stable positive",0,7,0.38943475484848,-0.556453565853235,-0.556453565853235
"Qwen","Stable positive",0,8,0.200576424598694,-0.640372960588611,-0.640372960588611
"Qwen","Stable positive",0,9,0.375293254852295,-0.562737356029504,-0.562737356029504
"Qwen","Stable positive",0,10,0.501051008701324,-0.506856767800576,-0.506856767800576
"Qwen","Stable positive",0,11,0.768228709697723,-0.388136079521947,-0.388136079521947
"Qwen","Stable positive",0,12,1.27023911476135,-0.165067235865003,-0.165067235865003
"Qwen","Stable positive",0,13,2.0131413936615,0.165042161535554,0.165042161535554
"Qwen","Stable positive",0,14,1.96599102020264,0.144090844233419,0.144090844233419
"Qwen","Stable positive",0,15,2.17834949493408,0.238452552519309,0.238452552519309
"Qwen","Stable positive",0,16,2.21025133132935,0.252628166577194,0.252628166577194
"Qwen","Stable positive",0,17,2.73451256752014,0.485584190101085,0.485584190101085
"Qwen","Stable positive",0,18,2.75888204574585,0.496412793001542,0.496412793001542
"Qwen","Stable positive",0,19,2.73864078521729,0.487418567912336,0.487418567912336
"Qwen","Stable positive",0,20,3.05444765090942,0.627747675911483,0.627747675911483
"Qwen","Stable positive",0,21,3.91242504119873,1.00899081829492,1.00899081829492
"Qwen","Stable positive",0,22,4.208571434021,1.14058377480279,1.14058377480279
"Qwen","Stable positive",0,23,4.04180812835693,1.06648232713623,1.06648232713623
"Qwen","Stable positive",0,24,3.98723983764648,1.04223485061714,1.04223485061714
"Qwen","Stable positive",0,25,6.7279372215271,2.26006657296635,2.26006657296635
"Qwen","Stable positive",0,26,13.0073518753052,5.05033098089869,2.5
"Qwen","Stable positive",0,27,0.232438206672668,-0.626215144709894,-0.626215144709894
"Qwen","Stable positive",1,0,0.373234927654266,-0.29788403659381,-0.29788403659381
"Qwen","Stable positive",1,1,0.125588327646255,-0.44766140466719,-0.44766140466719
"Qwen","Stable positive",1,2,-0.346146911382675,-0.732968219002352,-0.732968219002352
"Qwen","Stable positive",1,3,0.162654116749763,-0.42524390999007,-0.42524390999007
"Qwen","Stable positive",1,4,0.00748707354068756,-0.51908937906912,-0.51908937906912
"Qwen","Stable positive",1,5,0.532302021980286,-0.201679805506202,-0.201679805506202
"Qwen","Stable positive",1,6,0.761107087135315,-0.0632978513034397,-0.0632978513034397
"Qwen","Stable positive",1,7,0.960609078407288,0.0573615204672519,0.0573615204672519
"Qwen","Stable positive",1,8,1.0676896572113,0.122124159100372,0.122124159100372
"Qwen","Stable positive",1,9,0.875396490097046,0.00582470468453756,0.00582470468453756
"Qwen","Stable positive",1,10,0.673779726028442,-0.116113687688667,-0.116113687688667
"Qwen","Stable positive",1,11,0.417734086513519,-0.270970818745463,-0.270970818745463
"Qwen","Stable positive",1,12,0.949236631393433,0.0504834321662857,0.0504834321662857
"Qwen","Stable positive",1,13,0.202589094638824,-0.401091121774529,-0.401091121774529
"Qwen","Stable positive",1,14,0.711848497390747,-0.0930895864886152,-0.0930895864886152
"Qwen","Stable positive",1,15,0.598805963993073,-0.161458032217743,-0.161458032217743
"Qwen","Stable positive",1,16,-0.0483776330947876,-0.55287651253989,-0.55287651253989
"Qwen","Stable positive",1,17,-0.441424608230591,-0.790592441057137,-0.790592441057137
"Qwen","Stable positive",1,18,-0.612376093864441,-0.893984385810846,-0.893984385810846
"Qwen","Stable positive",1,19,-0.0789560377597809,-0.571370418656337,-0.571370418656337
"Qwen","Stable positive",1,20,0.0948436558246613,-0.466255869632867,-0.466255869632867
"Qwen","Stable positive",1,21,0.296248078346252,-0.344445902031265,-0.344445902031265
"Qwen","Stable positive",1,22,2.51192831993103,0.995603810203921,0.995603810203921
"Qwen","Stable positive",1,23,4.28955268859863,2.07071608452355,2.07071608452355
"Qwen","Stable positive",1,24,5.4479603767395,2.77132434920433,2.5
"Qwen","Stable positive",1,25,6.64928865432739,3.49789110846297,2.5
"Qwen","Stable positive",1,26,6.04205226898193,3.13063281542566,2.5
"Qwen","Stable positive",1,27,0.340962886810303,-0.317402258688558,-0.317402258688558
"Qwen","Stable positive",2,0,-0.726110816001892,-0.0928777199685966,-0.0928777199685966
"Qwen","Stable positive",2,1,-0.430041491985321,0.1249005602293,0.1249005602293
"Qwen","Stable positive",2,2,-0.329154014587402,0.199109873856109,0.199109873856109
"Qwen","Stable positive",2,3,-0.430283308029175,0.124722688771899,0.124722688771899
"Qwen","Stable positive",2,4,-0.443195402622223,0.115225001824536,0.115225001824536
"Qwen","Stable positive",2,5,-0.421402961015701,0.131254762658913,0.131254762658913
"Qwen","Stable positive",2,6,-0.810804903507233,-0.155175740140423,-0.155175740140423
"Qwen","Stable positive",2,7,-0.805658042430878,-0.15138988844049,-0.15138988844049
"Qwen","Stable positive",2,8,-0.38248884677887,0.159878629390366,0.159878629390366
"Qwen","Stable positive",2,9,-0.221457004547119,0.278328042462174,0.278328042462174
"Qwen","Stable positive",2,10,-0.856963872909546,-0.189128669933245,-0.189128669933245
"Qwen","Stable positive",2,11,-0.193636402487755,0.298791908114866,0.298791908114866
"Qwen","Stable positive",2,12,0.0497539043426514,0.477821338517448,0.477821338517448
"Qwen","Stable positive",2,13,-0.410517483949661,0.139261740357296,0.139261740357296
"Qwen","Stable positive",2,14,-0.840609490871429,-0.177098956264696,-0.177098956264696
"Qwen","Stable positive",2,15,-0.918227195739746,-0.234191835897791,-0.234191835897791
"Qwen","Stable positive",2,16,-0.00277614593505859,0.439182063590241,0.439182063590241
"Qwen","Stable positive",2,17,-0.53563666343689,0.047228430864633,0.047228430864633
"Qwen","Stable positive",2,18,-0.645272493362427,-0.0334158661038574,-0.0334158661038574
"Qwen","Stable positive",2,19,-0.835413634777069,-0.173277065536421,-0.173277065536421
"Qwen","Stable positive",2,20,1.29665422439575,1.39499777407473,1.39499777407473
"Qwen","Stable positive",2,21,0.483096212148666,0.79657284323497,0.79657284323497
"Qwen","Stable positive",2,22,1.06519031524658,1.22474098631117,1.22474098631117
"Qwen","Stable positive",2,23,2.04236960411072,1.9435200279451,1.9435200279451
"Qwen","Stable positive",2,24,2.45871543884277,2.24976951919746,2.24976951919746
"Qwen","Stable positive",2,25,1.91635119915009,1.85082527952167,1.85082527952167
"Qwen","Stable positive",2,26,2.37352681159973,2.18710773282349,2.18710773282349
"Qwen","Stable positive",2,27,2.81671404838562,2.51310082431813,2.5
"Qwen","Stable positive",3,0,-0.557374358177185,-0.679823079980271,-0.679823079980271
