prompt_id,graph_id,condition,mechanism,split
g000_clean,0,clean,stable,test
g000_redundant,0,redundant,stable,test
g000_irrelevant,0,irrelevant,stable,test
g000_paraphrase,0,paraphrase,stable,test
g000_weak_distractor,0,weak_distractor,competition,test
g000_competition_balanced,0,competition_balanced,competition,test
g000_direct_conflict,0,direct_conflict,competition,test
g000_closure_update,0,closure_update,closure,test
g000_closure_override,0,closure_override,closure,test
g000_exception_override,0,exception_override,closure,test
g001_clean,1,clean,stable,train
g001_redundant,1,redundant,stable,train
g001_irrelevant,1,irrelevant,stable,train
g001_paraphrase,1,paraphrase,stable,train
g001_weak_distractor,1,weak_distractor,competition,train
g001_competition_balanced,1,competition_balanced,competition,train
g001_direct_conflict,1,direct_conflict,competition,train
g001_closure_update,1,closure_update,closure,train
g001_closure_override,1,closure_override,closure,train
g001_exception_override,1,exception_override,closure,train
g002_clean,2,clean,stable,train
g002_redundant,2,redundant,stable,train
g002_irrelevant,2,irrelevant,stable,train
g002_paraphrase,2,paraphrase,stable,train
g002_weak_distractor,2,weak_distractor,competition,train
g002_competition_balanced,2,competition_balanced,competition,train
g002_direct_conflict,2,direct_conflict,competition,train
g002_closure_update,2,closure_update,closure,train
g002_closure_override,2,closure_override,closure,train
g002_exception_override,2,exception_override,closure,train
g003_clean,3,clean,stable,train
g003_redundant,3,redundant,stable,train
g003_irrelevant,3,irrelevant,stable,train
g003_paraphrase,3,paraphrase,stable,train
g003_weak_distractor,3,weak_distractor,competition,train
g003_competition_balanced,3,competition_balanced,competition,train
g003_direct_conflict,3,direct_conflict,competition,train
g003_closure_update,3,closure_update,closure,train
g003_closure_override,3,closure_override,closure,train
g003_exception_override,3,exception_override,closure,train
g004_clean,4,clean,stable,test
g004_redundant,4,redundant,stable,test
g004_irrelevant,4,irrelevant,stable,test
g004_paraphrase,4,paraphrase,stable,test
g004_weak_distractor,4,weak_distractor,competition,test
g004_competition_balanced,4,competition_balanced,competition,test
g004_direct_conflict,4,direct_conflict,competition,test
g004_closure_update,4,closure_update,closure,test
g004_closure_override,4,closure_override,closure,test
g004_exception_override,4,exception_override,closure,test
g005_clean,5,clean,stable,train
g005_redundant,5,redundant,stable,train
g005_irrelevant,5,irrelevant,stable,train
g005_paraphrase,5,paraphrase,stable,train
g005_weak_distractor,5,weak_distractor,competition,train
g005_competition_balanced,5,competition_balanced,competition,train
g005_direct_conflict,5,direct_conflict,competition,train
g005_closure_update,5,closure_update,closure,train
g005_closure_override,5,closure_override,closure,train
g005_exception_override,5,exception_override,closure,train
g006_clean,6,clean,stable,train
g006_redundant,6,redundant,stable,train
g006_irrelevant,6,irrelevant,stable,train
g006_paraphrase,6,paraphrase,stable,train
g006_weak_distractor,6,weak_distractor,competition,train
g006_competition_balanced,6,competition_balanced,competition,train
g006_direct_conflict,6,direct_conflict,competition,train
g006_closure_update,6,closure_update,closure,train
g006_closure_override,6,closure_override,closure,train
g006_exception_override,6,exception_override,closure,train
g007_clean,7,clean,stable,train
g007_redundant,7,redundant,stable,train
g007_irrelevant,7,irrelevant,stable,train
g007_paraphrase,7,paraphrase,stable,train
g007_weak_distractor,7,weak_distractor,competition,train
g007_competition_balanced,7,competition_balanced,competition,train
g007_direct_conflict,7,direct_conflict,competition,train
g007_closure_update,7,closure_update,closure,train
g007_closure_override,7,closure_override,closure,train
g007_exception_override,7,exception_override,closure,train
g008_clean,8,clean,stable,train
g008_redundant,8,redundant,stable,train
