prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,control,final_margin,baseline_DeltaU,baseline_margin,baseline_pair_choice,margin_shift,DeltaU_shift,pair_flip,crossed
g000_clean,0,clean,stable,Red,Blue,14.033369064331055,15.734375,13.5,clean,none,2.234375,14.033369,2.234375,clean,0.0,0.0,False,False
g000_redundant,0,redundant,stable,Red,Blue,0.5456867218017578,15.5,13.5390625,clean,none,1.9609375,0.5456867,1.9609375,clean,0.0,0.0,False,False
g000_irrelevant,0,irrelevant,stable,Red,Blue,29.015430450439453,15.671875,13.0625,clean,none,2.609375,29.01543,2.609375,clean,0.0,0.0,False,False
g000_paraphrase,0,paraphrase,stable,Red,Blue,-20.187650680541992,15.875,15.1015625,clean,none,0.7734375,-20.18765,0.7734375,clean,0.0,0.0,False,False
g000_weak_distractor,0,weak_distractor,competition,Red,Blue,15.50217056274414,15.6328125,13.6171875,clean,none,2.015625,15.502171,2.015625,clean,0.0,0.0,False,False
g000_competition_balanced,0,competition_balanced,competition,Red,Blue,18.4614315032959,15.421875,13.40625,clean,none,2.015625,18.461432,2.015625,clean,0.0,0.0,False,False
g000_direct_conflict,0,direct_conflict,competition,Red,Blue,-6.107564926147461,15.21875,14.1953125,clean,none,1.0234375,-6.107565,1.0234375,clean,0.0,0.0,False,False
g000_closure_update,0,closure_update,closure,Red,Blue,-29.478731155395508,14.78125,13.921875,clean,none,0.859375,-29.478731,0.859375,clean,0.0,0.0,False,False
g000_closure_override,0,closure_override,closure,Red,Blue,-91.11321258544922,13.90625,15.9375,conflict,none,-2.03125,-91.22327,-2.046875,conflict,0.015625,0.11005401611328125,False,False
g000_exception_override,0,exception_override,closure,Red,Blue,-100.0439682006836,13.4140625,16.171875,conflict,none,-2.7578125,-99.975685,-2.765625,conflict,0.0078125,-0.0682830810546875,False,False
g004_clean,4,clean,stable,Copper,Silver,14.033369064331055,16.40625,14.4765625,clean,none,1.9296875,14.033369,1.9296875,clean,0.0,0.0,False,False
g004_redundant,4,redundant,stable,Copper,Silver,-1.5954132080078125,15.671875,14.46875,clean,none,1.203125,-1.5954132,1.203125,clean,0.0,0.0,False,False
g004_irrelevant,4,irrelevant,stable,Copper,Silver,39.83217239379883,16.78125,14.0078125,clean,none,2.7734375,39.84052,2.7734375,clean,0.0,-0.0083465576171875,False,False
g004_paraphrase,4,paraphrase,stable,Copper,Silver,-5.148918151855469,16.609375,15.28125,clean,none,1.328125,-5.2304974,1.3125,clean,0.015625,0.08157920837402344,False,False
g004_weak_distractor,4,weak_distractor,competition,Copper,Silver,43.052101135253906,16.03125,13.484375,clean,none,2.546875,43.0521,2.546875,clean,0.0,0.0,False,False
g004_competition_balanced,4,competition_balanced,competition,Copper,Silver,63.68281555175781,16.125,12.75,clean,none,3.375,63.682816,3.375,clean,0.0,0.0,False,False
g004_direct_conflict,4,direct_conflict,competition,Copper,Silver,43.06721496582031,15.8359375,13.421875,clean,none,2.4140625,43.44471,2.4296875,clean,-0.015625,-0.37749481201171875,False,False
g004_closure_update,4,closure_update,closure,Copper,Silver,17.398319244384766,15.5703125,13.09375,clean,none,2.4765625,17.46078,2.484375,clean,-0.0078125,-0.06245994567871094,False,False
g004_closure_override,4,closure_override,closure,Copper,Silver,-42.05784606933594,15.921875,15.734375,clean,none,0.1875,-42.07113,0.1875,clean,0.0,0.01328277587890625,False,False
g004_exception_override,4,exception_override,closure,Copper,Silver,-55.26507568359375,15.28125,16.015625,conflict,none,-0.734375,-55.27063,-0.734375,conflict,0.0,0.00555419921875,False,False
g009_clean,9,clean,stable,East,West,14.033369064331055,17.0625,13.0,clean,none,4.0625,14.033369,4.0625,clean,0.0,0.0,False,False
g009_redundant,9,redundant,stable,East,West,7.668300628662109,16.671875,12.75,clean,none,3.921875,7.6683006,3.921875,clean,0.0,0.0,False,False
g009_irrelevant,9,irrelevant,stable,East,West,28.774681091308594,17.171875,12.2734375,clean,none,4.8984375,28.797169,4.8984375,clean,0.0,-0.022487640380859375,False,False
g009_paraphrase,9,paraphrase,stable,East,West,-21.553762435913086,16.125,13.8984375,clean,none,2.2265625,-21.351347,2.234375,clean,-0.0078125,-0.20241546630859375,False,False
g009_weak_distractor,9,weak_distractor,competition,East,West,28.4371337890625,16.75,11.7421875,clean,none,5.0078125,28.437134,5.0078125,clean,0.0,0.0,False,False
g009_competition_balanced,9,competition_balanced,competition,East,West,0.7692384719848633,16.53125,13.0,clean,none,3.53125,0.7692385,3.53125,clean,0.0,0.0,False,False
g009_direct_conflict,9,direct_conflict,competition,East,West,1.8798112869262695,16.515625,13.0859375,clean,none,3.4296875,1.8218842,3.4296875,clean,0.0,0.05792713165283203,False,False
g009_closure_update,9,closure_update,closure,East,West,-20.387514114379883,16.25,13.375,clean,none,2.875,-20.358526,2.875,clean,0.0,-0.028987884521484375,False,False
g009_closure_override,9,closure_override,closure,East,West,-67.86408996582031,15.8359375,15.6171875,clean,none,0.21875,-67.86409,0.21875,clean,0.0,0.0,False,False
g009_exception_override,9,exception_override,closure,East,West,-68.45319366455078,15.6875,15.6171875,clean,none,0.0703125,-68.45319,0.0703125,clean,0.0,0.0,False,False
g010_clean,10,clean,stable,Copper,Silver,13.830657005310059,16.515625,13.765625,clean,none,2.75,14.033369,2.7578125,clean,-0.0078125,-0.2027120590209961,False,False
g010_redundant,10,redundant,stable,Copper,Silver,-0.7369928359985352,16.03125,13.921875,clean,none,2.109375,-0.8294058,2.125,clean,-0.015625,0.09241294860839844,False,False
g010_irrelevant,10,irrelevant,stable,Copper,Silver,43.721702575683594,16.84375,13.0,clean,none,3.84375,43.765434,3.8515625,clean,-0.0078125,-0.043731689453125,False,False
g010_paraphrase,10,paraphrase,stable,Copper,Silver,2.7188119888305664,16.171875,13.984375,clean,none,2.1875,2.7552605,2.1875,clean,0.0,-0.03644847869873047,False,False
g010_weak_distractor,10,weak_distractor,competition,Copper,Silver,46.404502868652344,16.0,12.7265625,clean,none,3.2734375,46.404503,3.2734375,clean,0.0,0.0,False,False
g010_competition_balanced,10,competition_balanced,competition,Copper,Silver,63.61326599121094,16.25,12.390625,clean,none,3.859375,63.613266,3.859375,clean,0.0,0.0,False,False
g010_direct_conflict,10,direct_conflict,competition,Copper,Silver,50.633514404296875,15.984375,12.8359375,clean,none,3.1484375,50.803535,3.15625,clean,-0.0078125,-0.17002105712890625,False,False
g010_closure_update,10,closure_update,closure,Copper,Silver,23.19606590270996,15.8359375,12.5390625,clean,none,3.296875,23.095333,3.296875,clean,0.0,0.10073280334472656,False,False
g010_closure_override,10,closure_override,closure,Copper,Silver,-54.652626037597656,15.5703125,15.953125,conflict,none,-0.3828125,-54.64991,-0.3828125,conflict,0.0,-0.002716064453125,False,False
g010_exception_override,10,exception_override,closure,Copper,Silver,-46.65553283691406,15.75,15.9375,conflict,none,-0.1875,-46.589584,-0.171875,conflict,-0.015625,-0.065948486328125,False,False
g011_clean,11,clean,stable,Gold,Iron,14.033369064331055,16.15625,12.9453125,clean,none,3.2109375,14.033369,3.2109375,clean,0.0,0.0,False,False
