prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,action_label,alpha,beta,final_margin,baseline_margin,margin_shift,dose,crossed
g001_clean,1,clean,stable,Green,Yellow,14.033369064331055,16.1875,13.6875,clean,a0.0_b0.0,0.0,0.0,2.5,2.5,0.0,0.0,False
g001_redundant,1,redundant,stable,Green,Yellow,-6.894962310791016,15.90625,13.7421875,clean,a0.0_b0.0,0.0,0.0,2.1640625,2.1640625,0.0,0.0,False
g001_irrelevant,1,irrelevant,stable,Green,Yellow,29.034698486328125,16.0625,13.0078125,clean,a0.0_b0.0,0.0,0.0,3.0546875,3.0546875,0.0,0.0,False
g001_paraphrase,1,paraphrase,stable,Green,Yellow,-20.408987045288086,16.171875,14.9921875,clean,a0.0_b0.0,0.0,0.0,1.1796875,1.1796875,0.0,0.0,False
g001_weak_distractor,1,weak_distractor,competition,Green,Yellow,27.827898025512695,15.640625,12.5078125,clean,a0.0_b0.0,0.0,0.0,3.1328125,3.1328125,0.0,0.0,False
g001_competition_balanced,1,competition_balanced,competition,Green,Yellow,23.803863525390625,15.671875,12.4609375,clean,a0.0_b0.0,0.0,0.0,3.2109375,3.2109375,0.0,0.0,False
g001_direct_conflict,1,direct_conflict,competition,Green,Yellow,5.997498512268066,15.3203125,13.0859375,clean,a0.0_b0.0,0.0,0.0,2.234375,2.2421875,-0.0078125,0.0,False
g001_closure_update,1,closure_update,closure,Green,Yellow,-22.126562118530273,15.1640625,13.65625,clean,a0.0_b0.0,0.0,0.0,1.5078125,1.5078125,0.0,0.0,False
g001_closure_override,1,closure_override,closure,Green,Yellow,-74.19905853271484,14.953125,15.53125,conflict,a0.0_b0.0,0.0,0.0,-0.578125,-0.578125,0.0,0.0,False
g001_exception_override,1,exception_override,closure,Green,Yellow,-115.04545593261719,13.296875,15.8515625,conflict,a0.0_b0.0,0.0,0.0,-2.5546875,-2.5546875,0.0,0.0,False
g002_clean,2,clean,stable,North,South,14.033369064331055,15.4375,14.7421875,clean,a0.0_b0.0,0.0,0.0,0.6953125,0.6953125,0.0,0.0,False
g002_redundant,2,redundant,stable,North,South,21.80739974975586,15.46875,14.4140625,clean,a0.0_b0.0,0.0,0.0,1.0546875,1.0546875,0.0,0.0,False
g002_irrelevant,2,irrelevant,stable,North,South,39.25567626953125,15.8359375,14.1171875,clean,a0.0_b0.0,0.0,0.0,1.71875,1.7109375,0.0078125,0.0,False
g002_paraphrase,2,paraphrase,stable,North,South,-38.38257598876953,14.5859375,15.4375,conflict,a0.0_b0.0,0.0,0.0,-0.8515625,-0.8671875,0.015625,0.0,False
g002_weak_distractor,2,weak_distractor,competition,North,South,53.986595153808594,15.765625,13.234375,clean,a0.0_b0.0,0.0,0.0,2.53125,2.53125,0.0,0.0,False
g002_competition_balanced,2,competition_balanced,competition,North,South,7.419407844543457,15.3671875,14.953125,clean,a0.0_b0.0,0.0,0.0,0.4140625,0.4140625,0.0,0.0,False
g002_direct_conflict,2,direct_conflict,competition,North,South,8.483541488647461,15.1015625,14.953125,clean,a0.0_b0.0,0.0,0.0,0.1484375,0.1328125,0.015625,0.0,False
