prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_final_margin,best_margin_shift,best_crossed,best_utility
g001_clean,stable,a0.0_b0.0,0.0,0.0,2.5,0.0,False,-0.0
g001_redundant,stable,a0.0_b0.0,0.0,0.0,2.1640625,0.0,False,-0.0
g001_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.0546875,0.0,False,-0.0
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.1796875,0.0,False,-0.0
g001_weak_distractor,competition,a0.0_b0.0,0.0,0.0,3.1328125,0.0,False,-0.0
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,3.2109375,0.0,False,-0.0
g001_direct_conflict,competition,a0.0_b0.0,0.0,0.0,2.234375,-0.0078125,False,-0.0078125
g001_closure_update,closure,a0.6_b0.6,0.6,0.6,1.6640625,0.15625,False,0.13465
g001_closure_override,closure,a0.6_b0.6,0.6,0.6,0.9140625,1.4921875,True,6.4705875
g001_exception_override,closure,a1.0_b0.6,1.0,0.6,0.953125,3.5078125,True,8.4670125
g002_clean,stable,a0.0_b0.0,0.0,0.0,0.6953125,0.0,False,-0.0
g002_redundant,stable,a0.0_b0.0,0.0,0.0,1.0546875,0.0,False,-0.0
g002_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.71875,0.0078125,False,-0.0078125
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.8515625,0.015625,False,-0.015625
g002_weak_distractor,competition,a0.0_b0.0,0.0,0.0,2.53125,0.0,False,-0.0
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.4140625,0.0,False,-0.0
g002_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.1484375,0.015625,False,-0.015625
g002_closure_update,closure,a0.9_b0.6,0.9,0.6,1.53125,0.59375,False,0.55865
g002_closure_override,closure,a0.9_b0.9,0.9,0.9,1.0,2.921875,True,7.873275
g002_exception_override,closure,a1.0_b0.6,1.0,0.6,1.515625,3.515625,True,8.474825
g003_clean,stable,a0.0_b0.0,0.0,0.0,2.1171875,0.0,False,-0.0
g003_redundant,stable,a0.0_b0.0,0.0,0.0,1.9296875,0.0,False,-0.0
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.1875,0.0,False,-0.0
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.15625,0.0,False,-0.0
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,3.296875,0.0,False,-0.0
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,2.96875,0.0,False,-0.0
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,2.265625,0.015625,False,-0.015625
g003_closure_update,closure,a0.3_b0.3,0.3,0.3,2.4375,0.0625,False,0.0571
g003_closure_override,closure,a0.6_b0.6,0.6,0.6,1.1484375,1.75,True,6.7284
g003_exception_override,closure,a0.6_b0.6,0.6,0.6,0.578125,1.1171875,True,6.0955875
g005_clean,stable,a0.0_b0.0,0.0,0.0,1.7109375,0.0,False,-0.0
g005_redundant,stable,a0.0_b0.0,0.0,0.0,1.0,0.0,False,-0.0
g005_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.078125,0.0,False,-0.0
g005_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.0078125,0.0,False,-0.0
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,2.7734375,0.0,False,-0.0
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,1.671875,0.0,False,-0.0
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.5234375,0.0,False,-0.0
g005_closure_update,closure,a0.6_b0.6,0.6,0.6,2.5,0.625,False,0.6034
g005_closure_override,closure,a0.6_b0.6,0.6,0.6,1.3515625,0.703125,False,0.681525
g005_exception_override,closure,a1.0_b0.6,1.0,0.6,0.40625,2.265625,True,7.224825
g006_clean,stable,a0.0_b0.0,0.0,0.0,2.671875,0.0,False,-0.0
g006_redundant,stable,a0.0_b0.0,0.0,0.0,2.28125,0.0,False,-0.0
g006_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.53125,0.0,False,-0.0
g006_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.2421875,0.0,False,-0.0
g006_weak_distractor,competition,a0.0_b0.0,0.0,0.0,2.484375,0.0,False,-0.0
g006_competition_balanced,competition,a0.0_b0.0,0.0,0.0,1.703125,0.0,False,-0.0
g006_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.859375,0.0,False,-0.0
g006_closure_update,closure,a0.0_b0.0,0.0,0.0,1.1875,0.0,False,0.0
g006_closure_override,closure,a0.9_b0.3,0.9,0.3,-1.09375,1.6015625,False,1.5745625
g006_exception_override,closure,a0.9_b0.9,0.9,0.9,-1.140625,1.78125,False,1.73265
g007_clean,stable,a0.0_b0.0,0.0,0.0,3.6640625,0.0,False,-0.0
g007_redundant,stable,a0.0_b0.0,0.0,0.0,3.7734375,0.0,False,-0.0
g007_irrelevant,stable,a0.0_b0.0,0.0,0.0,4.3671875,0.0,False,-0.0
g007_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.3984375,0.0,False,-0.0
g007_weak_distractor,competition,a0.0_b0.0,0.0,0.0,4.0859375,0.0,False,-0.0
g007_competition_balanced,competition,a0.0_b0.0,0.0,0.0,2.546875,0.0,False,-0.0
g007_direct_conflict,competition,a0.0_b0.0,0.0,0.0,2.453125,0.0,False,-0.0
g007_closure_update,closure,a0.6_b0.3,0.6,0.3,2.1015625,0.15625,False,0.14275
g007_closure_override,closure,a0.9_b0.3,0.9,0.3,0.8671875,2.375,True,7.348
g007_exception_override,closure,a1.0_b0.9,1.0,0.9,1.046875,2.6953125,True,7.6410125
g008_clean,stable,a0.0_b0.0,0.0,0.0,1.59375,0.0,False,-0.0
g008_redundant,stable,a0.0_b0.0,0.0,0.0,1.828125,0.0,False,-0.0
g008_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.15625,0.0,False,-0.0
g008_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.390625,0.0,False,-0.0
g008_weak_distractor,competition,a0.0_b0.0,0.0,0.0,2.7734375,0.0,False,-0.0
g008_competition_balanced,competition,a0.0_b0.0,0.0,0.0,1.125,0.0,False,-0.0
g008_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.2578125,0.0,False,-0.0
g008_closure_update,closure,a0.9_b0.3,0.9,0.3,1.125,0.984375,False,0.957375
g008_closure_override,closure,a1.0_b0.6,1.0,0.6,0.25,2.046875,True,7.006075
g008_exception_override,closure,a1.0_b0.6,1.0,0.6,0.8828125,3.1640625,True,8.1232625
g013_clean,stable,a0.0_b0.0,0.0,0.0,3.15625,0.0,False,-0.0
g013_redundant,stable,a0.0_b0.0,0.0,0.0,3.109375,0.0,False,-0.0
g013_irrelevant,stable,a0.0_b0.0,0.0,0.0,4.3046875,0.0,False,-0.0
g013_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.21875,0.0,False,-0.0
g013_weak_distractor,competition,a0.0_b0.0,0.0,0.0,3.3828125,0.0,False,-0.0
g013_competition_balanced,competition,a0.0_b0.0,0.0,0.0,2.2265625,0.0,False,-0.0
g013_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.4921875,0.0,False,-0.0
g013_closure_update,closure,a0.6_b0.6,0.6,0.6,1.9609375,0.0703125,False,0.048712500000000006
g013_closure_override,closure,a0.9_b0.6,0.9,0.6,0.5703125,2.9609375,True,7.9258375
g013_exception_override,closure,a0.9_b0.6,0.9,0.6,0.6484375,2.3125,True,7.2774
g014_clean,stable,a0.0_b0.0,0.0,0.0,0.8125,0.0,False,-0.0
g014_redundant,stable,a0.0_b0.0,0.0,0.0,1.4453125,0.0,False,-0.0
g014_irrelevant,stable,a0.0_b0.0,0.0,0.0,2.6875,0.0,False,-0.0
g014_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.59375,0.0,False,-0.0
g014_weak_distractor,competition,a0.0_b0.0,0.0,0.0,2.46875,0.0,False,-0.0
g014_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.0234375,0.0,False,-0.0
g014_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.328125,0.0,False,-0.0
g014_closure_update,closure,a0.9_b0.3,0.9,0.3,1.3046875,0.6875,False,0.6605
g014_closure_override,closure,a1.0_b0.9,1.0,0.9,1.0625,3.15625,True,8.10195
g014_exception_override,closure,a1.0_b0.6,1.0,0.6,1.203125,3.03125,True,7.99045
g016_clean,stable,a0.0_b0.0,0.0,0.0,2.84375,0.0,False,-0.0
g016_redundant,stable,a0.0_b0.0,0.0,0.0,2.390625,0.0,False,-0.0
g016_irrelevant,stable,a0.0_b0.0,0.0,0.0,3.7734375,0.0,False,-0.0
g016_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.6796875,0.015625,False,-0.015625
