action_label,alpha,beta,closure_crossings,closure_crossing_rate,closure_mean_margin_shift,nonclosure_flip_rate,nonclosure_mean_abs_margin_shift,dose,selected
a0.0_b0.0,0.0,0.0,0,0.0,0.0010105721393034825,0.0,0.001382595948827292,0.0,False
a0.3_b0.3,0.3,0.3,17,0.0845771144278607,0.5250310945273632,0.029850746268656716,0.3679537579957356,0.18,False
a0.6_b0.3,0.6,0.3,74,0.3681592039800995,1.1804648631840795,0.03411513859275053,0.48722348081023453,0.44999999999999996,False
a0.6_b0.6,0.6,0.6,78,0.3880597014925373,1.2097714552238805,0.03411513859275053,0.5000333155650319,0.72,False
a0.9_b0.3,0.9,0.3,102,0.5074626865671642,1.4968128109452736,0.03837953091684435,0.7809668176972282,0.9,False
a0.9_b0.6,0.9,0.6,102,0.5074626865671642,1.5114272388059702,0.03624733475479744,0.783315565031983,1.17,False
a0.9_b0.9,0.9,0.9,102,0.5074626865671642,1.5265080845771144,0.03624733475479744,0.7864472281449894,1.62,False
a1.0_b0.6,1.0,0.6,101,0.5024875621890548,1.5145366915422886,0.03837953091684435,0.9301705756929638,1.3599999999999999,False
a1.0_b0.9,1.0,0.9,101,0.5024875621890548,1.5260027985074627,0.03837953091684435,0.931603144989339,1.81,False
a1.0_b1.2,1.0,1.2,102,0.5074626865671642,1.5350979477611941,0.03837953091684435,0.9333688699360341,2.44,True
