prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin
g000_clean,0,clean,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,2.234375
g000_redundant,0,redundant,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.9609375
g000_irrelevant,0,irrelevant,stable,none,Red,Blue,4075,7640,5231, **,other,2,4,2.609375
g000_paraphrase,0,paraphrase,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,0.7734375
g000_weak_distractor,0,weak_distractor,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,2.015625
g000_competition_balanced,0,competition_balanced,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,2.015625
g000_direct_conflict,0,direct_conflict,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,1.0234375
g000_closure_update,0,closure_update,closure,none,Red,Blue,4075,7640,5231, **,other,2,3,0.859375
g000_closure_override,0,closure_override,closure,none,Red,Blue,4075,7640,5231, **,other,3,2,-2.03125
g000_exception_override,0,exception_override,closure,none,Red,Blue,4075,7640,5231, **,other,3,2,-2.7578125
g004_clean,4,clean,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.9296875
g004_redundant,4,redundant,stable,none,Copper,Silver,38315,15934,5231, **,other,2,3,1.203125
g004_irrelevant,4,irrelevant,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.7734375
g004_paraphrase,4,paraphrase,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.328125
g004_weak_distractor,4,weak_distractor,competition,none,Copper,Silver,38315,15934,5231, **,other,1,3,2.546875
g004_competition_balanced,4,competition_balanced,competition,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,3.375
g004_direct_conflict,4,direct_conflict,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.4140625
g004_closure_update,4,closure_update,closure,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.4765625
g004_closure_override,4,closure_override,closure,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,0.1875
g004_exception_override,4,exception_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.734375
g009_clean,9,clean,stable,none,East,West,5571,4589,5571, East,clean,1,6,4.0625
g009_redundant,9,redundant,stable,none,East,West,5571,4589,5231, **,other,2,6,3.921875
g009_irrelevant,9,irrelevant,stable,none,East,West,5571,4589,5571, East,clean,1,6,4.8984375
g009_paraphrase,9,paraphrase,stable,none,East,West,5571,4589,5231, **,other,2,7,2.2265625
g009_weak_distractor,9,weak_distractor,competition,none,East,West,5571,4589,5231, **,other,2,7,5.0078125
g009_competition_balanced,9,competition_balanced,competition,none,East,West,5571,4589,5231, **,other,2,4,3.53125
g009_direct_conflict,9,direct_conflict,competition,none,East,West,5571,4589,5231, **,other,2,4,3.4296875
g009_closure_update,9,closure_update,closure,none,East,West,5571,4589,5231, **,other,2,3,2.875
g009_closure_override,9,closure_override,closure,none,East,West,5571,4589,5231, **,other,2,3,0.21875
g009_exception_override,9,exception_override,closure,none,East,West,5571,4589,5231, **,other,2,3,0.0703125
g010_clean,10,clean,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.75
g010_redundant,10,redundant,stable,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.109375
g010_irrelevant,10,irrelevant,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,4,3.84375
g010_paraphrase,10,paraphrase,stable,none,Copper,Silver,38315,15934,5231, **,other,2,4,2.1875
g010_weak_distractor,10,weak_distractor,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,3.2734375
g010_competition_balanced,10,competition_balanced,competition,none,Copper,Silver,38315,15934,38315, Copper,clean,1,4,3.859375
g010_direct_conflict,10,direct_conflict,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,3.1484375
g010_closure_update,10,closure_update,closure,none,Copper,Silver,38315,15934,5231, **,other,2,4,3.296875
g010_closure_override,10,closure_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.3828125
g010_exception_override,10,exception_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.1875
g011_clean,11,clean,stable,none,Gold,Iron,6863,17186,5231, **,other,2,6,3.2109375
g011_redundant,11,redundant,stable,none,Gold,Iron,6863,17186,5231, **,other,2,4,2.875
g011_irrelevant,11,irrelevant,stable,none,Gold,Iron,6863,17186,5231, **,other,2,4,3.4140625
g011_paraphrase,11,paraphrase,stable,none,Gold,Iron,6863,17186,6863, Gold,clean,1,4,2.46875
g011_weak_distractor,11,weak_distractor,competition,none,Gold,Iron,6863,17186,5231, **,other,2,4,3.1875
g011_competition_balanced,11,competition_balanced,competition,none,Gold,Iron,6863,17186,5231, **,other,2,3,2.265625
g011_direct_conflict,11,direct_conflict,competition,none,Gold,Iron,6863,17186,5231, **,other,2,3,2.1640625
g011_closure_update,11,closure_update,closure,none,Gold,Iron,6863,17186,5231, **,other,2,3,0.921875
g011_closure_override,11,closure_override,closure,none,Gold,Iron,6863,17186,5231, **,other,3,2,-1.328125
g011_exception_override,11,exception_override,closure,none,Gold,Iron,6863,17186,5231, **,other,3,2,-1.8203125
g012_clean,12,clean,stable,none,Red,Blue,4075,7640,5231, **,other,2,5,2.4453125
g012_redundant,12,redundant,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,2.4765625
g012_irrelevant,12,irrelevant,stable,none,Red,Blue,4075,7640,5231, **,other,2,7,3.7265625
g012_paraphrase,12,paraphrase,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.9140625
g012_weak_distractor,12,weak_distractor,competition,none,Red,Blue,4075,7640,5231, **,other,2,4,2.75
g012_competition_balanced,12,competition_balanced,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,1.7421875
g012_direct_conflict,12,direct_conflict,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,0.8828125
g012_closure_update,12,closure_update,closure,none,Red,Blue,4075,7640,5231, **,other,2,3,1.6328125
g012_closure_override,12,closure_override,closure,none,Red,Blue,4075,7640,7640, Blue,conflict,3,1,-2.2578125
g012_exception_override,12,exception_override,closure,none,Red,Blue,4075,7640,5231, **,other,3,2,-2.171875
g015_clean,15,clean,stable,none,East,West,5571,4589,5231, **,other,2,3,1.203125
g015_redundant,15,redundant,stable,none,East,West,5571,4589,5231, **,other,2,3,1.09375
g015_irrelevant,15,irrelevant,stable,none,East,West,5571,4589,5571, East,clean,1,3,2.9375
g015_paraphrase,15,paraphrase,stable,none,East,West,5571,4589,5231, **,other,2,5,1.6640625
g015_weak_distractor,15,weak_distractor,competition,none,East,West,5571,4589,5231, **,other,2,3,2.71875
g015_competition_balanced,15,competition_balanced,competition,none,East,West,5571,4589,5231, **,other,2,3,1.5078125
g015_direct_conflict,15,direct_conflict,competition,none,East,West,5571,4589,5231, **,other,2,3,1.1796875
g015_closure_update,15,closure_update,closure,none,East,West,5571,4589,5231, **,other,2,3,1.2265625
g015_closure_override,15,closure_override,closure,none,East,West,5571,4589,4589, West,conflict,3,1,-2.7109375
g015_exception_override,15,exception_override,closure,none,East,West,5571,4589,5231, **,other,3,2,-1.796875
g018_clean,18,clean,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.6796875
g018_redundant,18,redundant,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.5234375
g018_irrelevant,18,irrelevant,stable,none,Red,Blue,4075,7640,5231, **,other,2,6,2.78125
g018_paraphrase,18,paraphrase,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.21875
g018_weak_distractor,18,weak_distractor,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,2.046875
g018_competition_balanced,18,competition_balanced,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,1.171875
g018_direct_conflict,18,direct_conflict,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,0.3671875
g018_closure_update,18,closure_update,closure,none,Red,Blue,4075,7640,5231, **,other,2,3,0.84375
g018_closure_override,18,closure_override,closure,none,Red,Blue,4075,7640,7640, Blue,conflict,3,1,-2.765625
