prompt_id,layer,alpha,beta,policy_conf,action_label,mean_p_closure,mean_entropy,gate_open
g000_clean,8,0.0,0.0,0.9947410505825388,a0.0_b0.0_confidence_gate_gate,3.483136758742282e-05,0.03919489641683465,False
g000_clean,9,0.0,0.0,0.9952745221299079,a0.0_b0.0_confidence_gate_gate,3.483136758742282e-05,0.03919489641683465,False
g000_clean,10,0.0,0.0,0.9953120675660082,a0.0_b0.0_confidence_gate_gate,3.483136758742282e-05,0.03919489641683465,False
g000_clean,11,0.0,0.0,0.9945422365654359,a0.0_b0.0_confidence_gate_gate,3.483136758742282e-05,0.03919489641683465,False
g000_redundant,8,0.0,0.0,0.9734964352377873,a0.0_b0.0_confidence_gate_gate,0.01599129981359585,0.6763527970504865,False
g000_redundant,9,0.0,0.0,0.9839156261255129,a0.0_b0.0_confidence_gate_gate,0.01599129981359585,0.6763527970504865,False
g000_redundant,10,0.0,0.0,0.9840706353350548,a0.0_b0.0_confidence_gate_gate,0.01599129981359585,0.6763527970504865,False
g000_redundant,11,0.0,0.0,0.9842207221260787,a0.0_b0.0_confidence_gate_gate,0.01599129981359585,0.6763527970504865,False
g000_irrelevant,8,0.0,0.0,0.9925813864850356,a0.0_b0.0_confidence_gate_gate,0.039959310354191986,0.7158309078577115,False
g000_irrelevant,9,0.0,0.0,0.9941866436106239,a0.0_b0.0_confidence_gate_gate,0.039959310354191986,0.7158309078577115,False
g000_irrelevant,10,0.0,0.0,0.9827325885497483,a0.0_b0.0_confidence_gate_gate,0.039959310354191986,0.7158309078577115,False
g000_irrelevant,11,0.0,0.0,0.9952691774046721,a0.0_b0.0_confidence_gate_gate,0.039959310354191986,0.7158309078577115,False
g000_paraphrase,8,0.0,0.0,0.8359165263472144,a0.0_b0.0_confidence_gate_gate,0.2695872423832008,0.91379616878913,False
g000_paraphrase,9,0.0,0.0,0.8112200383126981,a0.0_b0.0_confidence_gate_gate,0.2695872423832008,0.91379616878913,False
g000_paraphrase,10,0.0,0.0,0.6769245799862896,a0.0_b0.0_confidence_gate_gate,0.2695872423832008,0.91379616878913,False
g000_paraphrase,11,0.0,0.0,0.6965029518137051,a0.0_b0.0_confidence_gate_gate,0.2695872423832008,0.91379616878913,False
g000_weak_distractor,8,0.0,0.0,0.983538592631265,a0.0_b0.0_confidence_gate_gate,0.047956457542131965,0.7250589753602636,False
g000_weak_distractor,9,0.0,0.0,0.9825752591463411,a0.0_b0.0_confidence_gate_gate,0.047956457542131965,0.7250589753602636,False
