prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_final_margin,best_margin_shift,best_crossed,best_utility
g001_clean,stable,a0.0_b0.0,0.0,0.0,0.53125,0.0,False,-0.0
g001_redundant,stable,a0.0_b0.0,0.0,0.0,0.703125,0.0,False,-0.0
g001_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.015625,-0.015625,False,-0.015625
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.296875,-0.015625,False,-0.015625
g001_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.59375,0.0,False,-0.0
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.203125,0.0,False,-0.0
g001_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.09375,0.0,False,-0.0
g001_closure_update,closure,a1.0_b1.2,1.0,1.2,0.640625,1.03125,True,5.95805
g001_closure_override,closure,a1.0_b1.2,1.0,1.2,1.03125,1.09375,True,6.02055
g001_exception_override,closure,a1.0_b1.2,1.0,1.2,0.859375,1.671875,True,6.598675
g002_clean,stable,a0.0_b0.0,0.0,0.0,1.390625,0.0,False,-0.0
g002_redundant,stable,a0.0_b0.0,0.0,0.0,1.28125,0.0,False,-0.0
g002_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.71875,0.0,False,-0.0
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.625,-0.015625,False,-0.015625
g002_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.265625,0.0,False,-0.0
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.671875,0.0,False,-0.0
g002_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.078125,0.0,False,-0.0
g002_closure_update,closure,a1.0_b0.9,1.0,0.9,1.765625,1.15625,False,1.10195
g002_closure_override,closure,a1.0_b1.2,1.0,1.2,1.78125,0.609375,False,0.536175
g002_exception_override,closure,a0.9_b0.9,0.9,0.9,1.5625,0.984375,False,0.935775
g003_clean,stable,a0.0_b0.0,0.0,0.0,-0.53125,0.0,False,-0.0
g003_redundant,stable,a0.0_b0.0,0.0,0.0,-0.21875,0.0,False,-0.0
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.421875,-0.015625,False,-0.015625
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.734375,0.015625,False,-0.015625
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.265625,0.0,False,-0.0
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.515625,0.0,False,-0.0
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.359375,-0.015625,False,-0.015625
g003_closure_update,closure,a1.0_b1.2,1.0,1.2,-0.78125,0.1875,False,0.1143
g003_closure_override,closure,a0.0_b0.0,0.0,0.0,-0.890625,0.0,False,0.0
g003_exception_override,closure,a0.9_b0.9,0.9,0.9,-1.15625,0.265625,False,0.217025
g005_clean,stable,a0.0_b0.0,0.0,0.0,0.71875,0.0,False,-0.0
g005_redundant,stable,a0.0_b0.0,0.0,0.0,0.59375,0.0,False,-0.0
g005_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.234375,0.0,False,-0.0
g005_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.59375,0.0,False,-0.0
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.21875,0.0,False,-0.0
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.765625,0.0,False,-0.0
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.953125,0.0,False,-0.0
g005_closure_update,closure,a1.0_b1.2,1.0,1.2,1.5,0.953125,False,0.879925
g005_closure_override,closure,a1.0_b1.2,1.0,1.2,2.296875,1.296875,False,1.223675
g005_exception_override,closure,a1.0_b0.9,1.0,0.9,2.078125,1.265625,False,1.211325
g006_clean,stable,a0.0_b0.0,0.0,0.0,0.125,0.0,False,-0.0
g006_redundant,stable,a0.0_b0.0,0.0,0.0,0.078125,0.0,False,-0.0
g006_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.171875,0.0,False,-0.0
g006_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.078125,0.0,False,-0.0
g006_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.375,0.0,False,-0.0
g006_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.078125,0.0,False,-0.0
g006_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.328125,0.0,False,-0.0
g006_closure_update,closure,a1.0_b1.2,1.0,1.2,-0.515625,0.6875,False,0.6143
g006_closure_override,closure,a1.0_b1.2,1.0,1.2,-0.203125,0.859375,False,0.786175
g006_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.6875,0.9375,False,0.8643
