prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_final_margin,best_margin_shift,best_crossed,best_utility
g001_clean,stable,a0.0_b0.0,0.0,0.0,-1.8125,0.0,False,-0.0
g001_redundant,stable,a0.0_b0.0,0.0,0.0,-0.265625,0.0,False,-0.0
g001_irrelevant,stable,a0.0_b0.0,0.0,0.0,-1.921875,0.015625,False,-0.015625
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.359375,0.0,False,-0.0
g001_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.828125,0.0,False,-0.0
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-3.4375,0.0,False,-0.0
g001_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-5.28125,0.015625,False,-0.015625
g001_closure_update,closure,a0.6_b0.6,0.6,0.6,-2.109375,2.265625,False,2.244025
g001_closure_override,closure,a1.0_b1.2,1.0,1.2,0.453125,5.078125,True,10.004925
g001_exception_override,closure,a1.0_b1.2,1.0,1.2,1.09375,4.28125,True,9.20805
g002_clean,stable,a0.0_b0.0,0.0,0.0,-0.5625,0.0,False,-0.0
g002_redundant,stable,a0.0_b0.0,0.0,0.0,-0.171875,0.0,False,-0.0
g002_irrelevant,stable,a0.0_b0.0,0.0,0.0,-1.46875,0.0,False,-0.0
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.90625,-0.015625,False,-0.015625
g002_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.234375,0.0,False,-0.0
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-1.765625,0.0,False,-0.0
g002_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-2.96875,0.0,False,-0.0
g002_closure_update,closure,a0.6_b0.6,0.6,0.6,-2.15625,2.015625,False,1.994025
g002_closure_override,closure,a1.0_b1.2,1.0,1.2,-1.40625,2.984375,False,2.911175
g002_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.375,3.9375,False,3.8643
g003_clean,stable,a0.0_b0.0,0.0,0.0,-0.8125,0.0,False,-0.0
g003_redundant,stable,a0.0_b0.0,0.0,0.0,0.78125,0.0,False,-0.0
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.34375,0.03125,False,-0.03125
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.453125,0.0,False,-0.0
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.015625,0.0,False,-0.0
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-1.609375,0.0,False,-0.0
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-4.109375,0.03125,False,-0.03125
g003_closure_update,closure,a1.0_b1.2,1.0,1.2,-1.234375,4.109375,False,4.036175
g003_closure_override,closure,a1.0_b1.2,1.0,1.2,0.75,4.125,True,9.0518
g003_exception_override,closure,a1.0_b1.2,1.0,1.2,0.640625,4.640625,True,9.567425
g005_clean,stable,a0.0_b0.0,0.0,0.0,-3.53125,0.0,False,-0.0
g005_redundant,stable,a0.0_b0.0,0.0,0.0,-1.015625,0.0,False,-0.0
g005_irrelevant,stable,a0.0_b0.0,0.0,0.0,-3.71875,0.0,False,-0.0
g005_paraphrase,stable,a0.0_b0.0,0.0,0.0,3.625,0.0,False,-0.0
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-5.140625,0.0,False,-0.0
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-5.765625,0.0,False,-0.0
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-9.171875,0.0,False,-0.0
g005_closure_update,closure,a0.6_b0.6,0.6,0.6,-3.125,4.9375,False,4.9159
g005_closure_override,closure,a0.9_b0.9,0.9,0.9,-2.078125,5.4375,False,5.3889
g005_exception_override,closure,a1.0_b1.2,1.0,1.2,-1.359375,5.21875,False,5.14555
g006_clean,stable,a0.0_b0.0,0.0,0.0,-3.21875,0.0,False,-0.0
g006_redundant,stable,a0.0_b0.0,0.0,0.0,-1.15625,0.0,False,-0.0
g006_irrelevant,stable,a0.0_b0.0,0.0,0.0,-1.734375,0.0,False,-0.0
g006_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.359375,0.0,False,-0.0
g006_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.453125,0.0,False,-0.0
g006_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-3.40625,0.0,False,-0.0
g006_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-3.03125,0.0,False,-0.0
g006_closure_update,closure,a0.9_b0.3,0.9,0.3,-2.5625,4.75,False,4.723
g006_closure_override,closure,a0.9_b0.9,0.9,0.9,-1.1875,5.671875,False,5.623275
g006_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.40625,4.96875,False,4.89555
g007_clean,stable,a0.0_b0.0,0.0,0.0,0.125,0.0,False,-0.0
g007_redundant,stable,a0.0_b0.0,0.0,0.0,0.46875,0.0,False,-0.0
g007_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.453125,0.0,False,-0.0
g007_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.6875,0.0,False,-0.0
g007_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.78125,0.0,False,-0.0
g007_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-2.75,0.0,False,-0.0
g007_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-5.0,0.0,False,-0.0
g007_closure_update,closure,a0.9_b0.3,0.9,0.3,-2.671875,3.890625,False,3.863625
g007_closure_override,closure,a1.0_b1.2,1.0,1.2,0.703125,5.3125,True,10.2393
g007_exception_override,closure,a1.0_b1.2,1.0,1.2,1.078125,4.0,True,8.9268
g008_clean,stable,a0.0_b0.0,0.0,0.0,-1.65625,0.0,False,-0.0
g008_redundant,stable,a0.0_b0.0,0.0,0.0,-0.390625,0.0,False,-0.0
g008_irrelevant,stable,a0.0_b0.0,0.0,0.0,-2.671875,0.0,False,-0.0
g008_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.671875,0.0,False,-0.0
g008_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-1.8125,0.0,False,-0.0
g008_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-2.90625,0.0,False,-0.0
g008_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-4.65625,0.0,False,-0.0
g008_closure_update,closure,a1.0_b0.6,1.0,0.6,-2.90625,2.90625,False,2.86545
g008_closure_override,closure,a1.0_b1.2,1.0,1.2,-1.78125,3.109375,False,3.036175
g008_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.59375,4.0625,False,3.9893
g013_clean,stable,a0.0_b0.0,0.0,0.0,-0.796875,0.0,False,-0.0
