prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin
g000_clean,0,clean,stable,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.328125
g000_redundant,0,redundant,stable,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.421875
g000_irrelevant,0,irrelevant,stable,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.515625
g000_paraphrase,0,paraphrase,stable,shuffle_boundary_labels,Red,Blue,3731,8697,3731, Red,clean,1,2,0.953125
g000_weak_distractor,0,weak_distractor,competition,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.078125
g000_competition_balanced,0,competition_balanced,competition,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.71875
g000_direct_conflict,0,direct_conflict,competition,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.328125
g000_closure_update,0,closure_update,closure,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.453125
g000_closure_override,0,closure_override,closure,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.328125
g000_exception_override,0,exception_override,closure,shuffle_boundary_labels,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.703125
g004_clean,4,clean,stable,shuffle_boundary_labels,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-0.9375
g004_redundant,4,redundant,stable,shuffle_boundary_labels,Copper,Silver,42540,14997,42540, Copper,clean,1,2,2.671875
g004_irrelevant,4,irrelevant,stable,shuffle_boundary_labels,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.5
g004_paraphrase,4,paraphrase,stable,shuffle_boundary_labels,Copper,Silver,42540,14997,42540, Copper,clean,1,2,3.0
g004_weak_distractor,4,weak_distractor,competition,shuffle_boundary_labels,Copper,Silver,42540,14997,42540, Copper,clean,1,2,0.359375
g004_competition_balanced,4,competition_balanced,competition,shuffle_boundary_labels,Copper,Silver,42540,14997,42540, Copper,clean,1,2,0.515625
g004_direct_conflict,4,direct_conflict,competition,shuffle_boundary_labels,Copper,Silver,42540,14997,42540, Copper,clean,1,2,0.203125
g004_closure_update,4,closure_update,closure,shuffle_boundary_labels,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-0.453125
g004_closure_override,4,closure_override,closure,shuffle_boundary_labels,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.53125
g004_exception_override,4,exception_override,closure,shuffle_boundary_labels,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.203125
