prompt_id,graph_id,condition,mechanism,model,cutoff_layer,n_observed_layers,feature_set,observed_final_margin,predicted_final_margin,predicted_boundary_probability
g000_clean,0,clean,stable,qwen,20,1,current_R,-1.234375,-2.5033671760421043,0.5141101405673697
g000_redundant,0,redundant,stable,qwen,20,1,current_R,-0.140625,-2.5107669844263802,0.5057624923793748
g000_irrelevant,0,irrelevant,stable,qwen,20,1,current_R,-1.1875,-2.4922384440480827,0.5266480748500111
g000_paraphrase,0,paraphrase,stable,qwen,20,1,current_R,1.78125,-2.427428686107895,0.5985100092415349
g000_weak_distractor,0,weak_distractor,competition,qwen,20,1,current_R,-0.40625,-2.484702012845719,0.5351207448934036
g000_competition_balanced,0,competition_balanced,competition,qwen,20,1,current_R,-4.078125,-2.5064508723585432,0.5106321434724529
g000_direct_conflict,0,direct_conflict,competition,qwen,20,1,current_R,-3.359375,-2.4911907518641283,0.527826950833118
g000_closure_update,0,closure_update,closure,qwen,20,1,current_R,-6.03125,-2.4978421589339677,0.5203379831215493
g000_closure_override,0,closure_override,closure,qwen,20,1,current_R,-6.4375,-2.495578692637184,0.5228876660744225
g000_exception_override,0,exception_override,closure,qwen,20,1,current_R,-5.640625,-2.4942946209086294,0.5243335878697554
g004_clean,4,clean,stable,qwen,20,1,current_R,3.28125,-2.5337204016703985,0.4798692871224415
g004_redundant,4,redundant,stable,qwen,20,1,current_R,3.21875,-2.5399891855380123,0.47281053782149596
g004_irrelevant,4,irrelevant,stable,qwen,20,1,current_R,0.1875,-2.5458059865021636,0.46627037606697397
g004_paraphrase,4,paraphrase,stable,qwen,20,1,current_R,4.203125,-2.645115001557781,0.3581439331272044
g004_weak_distractor,4,weak_distractor,competition,qwen,20,1,current_R,1.078125,-2.5420428113243334,0.4705003466443543
g004_competition_balanced,4,competition_balanced,competition,qwen,20,1,current_R,-1.28125,-2.557052838957061,0.45365967491792225
g004_direct_conflict,4,direct_conflict,competition,qwen,20,1,current_R,-1.40625,-2.5690799032219678,0.44024004058882454
g004_closure_update,4,closure_update,closure,qwen,20,1,current_R,-2.078125,-2.570524617108322,0.43863351459608263
g004_closure_override,4,closure_override,closure,qwen,20,1,current_R,-6.96875,-2.570773803404162,0.4383565477845213
g004_exception_override,4,exception_override,closure,qwen,20,1,current_R,-5.65625,-2.5757126237937955,0.43287526365575746
g009_clean,9,clean,stable,qwen,20,1,current_R,-0.21875,-2.4901857844837108,0.528957460975883
g009_redundant,9,redundant,stable,qwen,20,1,current_R,2.046875,-2.4804283600600403,0.539916631164254
g009_irrelevant,9,irrelevant,stable,qwen,20,1,current_R,1.5625,-2.4737377454828398,0.5474096757314099
g009_paraphrase,9,paraphrase,stable,qwen,20,1,current_R,1.9375,-2.463924516741524,0.5583601503658947
g009_weak_distractor,9,weak_distractor,competition,qwen,20,1,current_R,0.390625,-2.5041532710472154,0.5132236468914393
g009_competition_balanced,9,competition_balanced,competition,qwen,20,1,current_R,-0.171875,-2.5324342219779696,0.4813186327164576
g009_direct_conflict,9,direct_conflict,competition,qwen,20,1,current_R,-3.0,-2.532065409335725,0.4817342923374956
g009_closure_update,9,closure_update,closure,qwen,20,1,current_R,-4.125,-2.5370706907607476,0.47609562888135304
g009_closure_override,9,closure_override,closure,qwen,20,1,current_R,-2.953125,-2.5362169091839135,0.4770570591273806
g009_exception_override,9,exception_override,closure,qwen,20,1,current_R,-3.21875,-2.524533441996007,0.4902276950187295
g010_clean,10,clean,stable,qwen,20,1,current_R,2.4375,-2.5445469647155834,0.4676850611722035
