model,cutoff_layer,n_observed_layers,observed_layers,feature_set,n_train,n_test,n_test_graphs,n_features,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,boundary_auroc_ci_low,boundary_auroc_ci_high,boundary_average_precision_ci_low,boundary_average_precision_ci_high,boundary_brier_ci_low,boundary_brier_ci_high,boundary_accuracy_ci_low,boundary_accuracy_ci_high,order_null_r2_mean,order_null_r2_sd,order_null_r2_q95,real_r2_vs_order_null_z,real_r2_exceeds_order_null_q95
qwen,20,1,20,current_R,670,290,29,1,-0.02119606876936908,2.5546630933835512,0.05627404886376015,0.11498340732118859,0.58207095547249,0.40836602666898625,0.24089231253864746,0.7620689655172413,-0.06748284113663787,-0.0006913241596858188,2.3246255539413316,2.8125091054295153,-0.06808247377050447,0.2230390537096088,-0.022161427561349555,0.29574752905174656,0.519353934082142,0.6681527766649307,0.35471327138450887,0.506520153409473,0.23194641435137986,0.25016271605808227,0.7103448275862069,0.8068965517241379,,,,,False
qwen,20,1,20,ordered_R_history,670,290,29,7,-0.021192574524837804,2.5546208502357404,0.05627404886376033,0.11498340732118859,0.58207095547249,0.40836602666898625,0.2408720121646913,0.7620689655172413,-0.07040296491150937,-0.0007132840102583144,2.3376198493555718,2.801504445075807,-0.07062403746121124,0.22662798750509808,-0.0140912438653964,0.2911074454032346,0.5228855407084511,0.6692543987086361,0.36142312601167076,0.5059146283144176,0.2321673019511306,0.24930130030224842,0.7137931034482758,0.8068965517241379,,,,,False
qwen,20,1,20,ordered_R_dR_history,670,290,29,14,0.0685761476494231,2.363150719502031,0.27396878079715614,0.30055725541939976,0.715128860908912,0.5523813598230267,0.23704272014876343,0.7620689655172413,-0.014407325721758412,0.14159025539052686,2.147040333003083,2.59953043482311,0.17484593450396516,0.3925655503415625,0.21916544453472653,0.40011096689178866,0.6709219097432241,0.7710662596069096,0.4929061851204903,0.6646477683769686,0.21403014764617526,0.26064872386827936,0.7137931034482758,0.8103448275862069,,,,,False
qwen,21,2,20;21,current_R,670,290,29,1,0.008905378892892557,2.3224081016133162,0.24117605086948188,0.30704425841107913,0.6089579644566857,0.485633898028078,0.2411739712130682,0.7862068965517242,-0.16031380755343594,0.16582476047763878,2.0259637176068432,2.628558561404807,0.08950196460000195,0.40987951756836977,0.18547565676165925,0.44654382336318005,0.533872595658773,0.7094792107945035,0.3999657159862313,0.602535208014431,0.22103042969699818,0.2613700432371355,0.7310344827586207,0.8379310344827586,,,,,False
qwen,21,2,20;21,ordered_R_history,670,290,29,7,0.1167155311142557,2.1993413370748782,0.358786873215143,0.3271830470145332,0.6173519575054102,0.38807350732698065,0.24808320104731826,0.7793103448275862,-0.03283672262262906,0.26191222706753403,1.9325580264883222,2.476598723454053,0.153068943285618,0.5188906573666993,0.16038899968060716,0.5040024298434687,0.5374020415365373,0.7057197837950527,0.3299957953203345,0.4893933051701155,0.21454874039434968,0.2812411285603893,0.7275862068965517,0.8310344827586207,,,,,False
qwen,21,2,20;21,ordered_R_dR_history,670,290,29,14,0.1591422276674792,2.1393476818902792,0.40411229717039127,0.38437116444592045,0.6719129123221195,0.4275679003301751,0.24127024134047187,0.7931034482758621,-0.0029829234959156837,0.3157885047352737,1.8919262727607258,2.4161000239029007,0.17942976715536996,0.5661039552861588,0.21167008281864172,0.5678175953708714,0.5963763515218541,0.7571246174368268,0.3695711070659655,0.5347266867417685,0.20432435023155804,0.2775377487735985,0.7344827586206897,0.8482758620689655,,,,,False
qwen,22,3,20;21;22,current_R,670,290,29,1,0.2999598573543085,2.0035103206362463,0.5760388942307246,0.5604696287370727,0.7376221391566661,0.6023206861359698,0.20158586910682047,0.7793103448275862,0.11032356230827381,0.48362229994076983,1.6723703786715842,2.3256968329897347,0.4861054583650555,0.7097335290057479,0.4696574004067993,0.7012300153188321,0.6680092485980843,0.8406865505219122,0.5031261566125534,0.7368829451850075,0.1669643134177343,0.23342259505078872,0.7310344827586207,0.8310344827586207,,,,,False
qwen,22,3,20;21;22,ordered_R_history,670,290,29,7,0.3825779090983247,1.9171775382122311,0.6378470073102748,0.6449967439860175,0.8163158239884583,0.7261850518683186,0.17467170785820665,0.7931034482758621,0.22842123155784091,0.5260802084464841,1.6304703850096407,2.2112553306155416,0.5687079010937169,0.7350455205628335,0.5751913012876378,0.7476015309769565,0.7591822682758279,0.8976521241470394,0.6405997359824409,0.8456456036823624,0.14488029254822746,0.19994932736109042,0.7344827586206897,0.8517241379310345,0.383152146874957,0.0067430360254175205,0.39623001237131694,-0.08516012289831877,False
qwen,22,3,20;21;22,ordered_R_dR_history,670,290,29,14,0.6216023335772078,1.4549188411325948,0.7936960538560816,0.8104505008498343,0.9542265066561741,0.8838291835694702,0.09963057598084694,0.8724137931034482,0.5043446612759996,0.7293593506727182,1.1827824736909756,1.7696244139673365,0.7416935336886628,0.8576696435791548,0.7592677206856785,0.8705998705398948,0.9277868777654867,0.9787683315195614,0.8290471368298302,0.9401058044945696,0.07447447713104204,0.12953087210667377,0.830948275862069,0.9172413793103448,,,,,False
qwen,23,4,20;21;22;23,current_R,670,290,29,1,0.4037892662142424,1.86561517741152,0.6503515695222979,0.639162180767318,0.7746737490983016,0.6532528902237575,0.19822997972136935,0.8172413793103448,0.25663753776152676,0.5364400233987087,1.5729065831160591,2.1498333685281548,0.5804615660651706,0.7419648628771037,0.554084794615678,0.7480006566452584,0.7099863361701824,0.8668315020487238,0.5733615849777733,0.7926856012980886,0.16588408268158905,0.23072269258856423,0.7551724137931034,0.8793103448275862,,,,,False
