model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,22,3,0,independent_within_prompt_precurrent,0.3798677758867358,1.9275759599115618,0.6290372972812198,0.6228270766774543,0.7813627123090039,0.6558706299370642,0.19294647652857316,0.8137931034482758
qwen,22,3,1,independent_within_prompt_precurrent,0.37402410491066984,1.9436732211352081,0.6295103808472452,0.6279388389711859,0.7890353465801037,0.6745376914401164,0.1935053899251161,0.8068965517241379
qwen,22,3,2,independent_within_prompt_precurrent,0.378810321609522,1.937160219399301,0.6293580230152531,0.6261035445871626,0.794084858023477,0.6732599695756084,0.19250737319071234,0.8137931034482758
qwen,22,3,3,independent_within_prompt_precurrent,0.3818807327788607,1.929617203216336,0.6328398583442296,0.6297935687783108,0.7862810676109909,0.659148445536452,0.19702919457569762,0.8
qwen,22,3,4,independent_within_prompt_precurrent,0.36937172167351473,1.9694812367233139,0.624438899470616,0.6220587624199068,0.782608695652174,0.6216112879837524,0.19375906395359804,0.7965517241379311
qwen,22,3,5,independent_within_prompt_precurrent,0.38497418451437926,1.9129472555537403,0.6324943846791594,0.6326766538837224,0.7921830939733753,0.6742810597607716,0.19419891473274994,0.8137931034482758
qwen,22,3,6,independent_within_prompt_precurrent,0.3962850655115253,1.9167057830064342,0.6420635440668269,0.6357937021203948,0.7874614728834677,0.6484836307137328,0.1916827883144091,0.8137931034482758
qwen,22,3,7,independent_within_prompt_precurrent,0.3819494385205445,1.9291905705076158,0.6331180912909254,0.6299807884869224,0.786740114105843,0.6574809032085362,0.19189152980364144,0.8103448275862069
qwen,22,3,8,independent_within_prompt_precurrent,0.3823010156521762,1.9319958523833412,0.6323934517410095,0.6314017885354639,0.7877893632369335,0.6831564728594647,0.19572906398442505,0.8068965517241379
qwen,22,3,9,independent_within_prompt_precurrent,0.38781369161545143,1.9227791571854354,0.6341035924429412,0.6339168306920148,0.7944783264476358,0.676919554961338,0.19126446864313573,0.8206896551724138
