prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,null_id,null_seed,strict_conflict_to_clean
g000_closure_update,0,closure_update,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,0.9375,0,3042,False
g000_closure_override,0,closure_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-1.1015625,0,3042,False
g000_exception_override,0,exception_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-0.609375,0,3042,False
g004_closure_update,4,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,2.4765625,0,3042,False
g004_closure_override,4,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.328125,0,3042,False
g004_exception_override,4,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.0859375,0,3042,False
g009_closure_update,9,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,2.875,0,3042,False
g009_closure_override,9,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.296875,0,3042,False
g009_exception_override,9,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.046875,0,3042,False
g010_closure_update,10,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,4,3.296875,0,3042,False
g010_closure_override,10,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.484375,0,3042,False
g010_exception_override,10,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,0.671875,0,3042,False
g011_closure_update,11,closure_update,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,1.484375,0,3042,False
g011_closure_override,11,closure_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,0.21875,0,3042,False
