model,null_id,seed,strict_crossings,controlled_top1_clean,mean_margin,closure_override_crossings,closure_update_crossings,exception_override_crossings
gemma,0,3042,8,18,0.9156788793103449,8,0,0
gemma,1,3043,8,22,0.9604885057471264,8,0,0
gemma,2,3044,8,19,0.9409123563218391,8,0,0
gemma,3,3045,9,20,0.9421695402298851,8,0,1
gemma,4,3046,10,21,0.9286099137931034,9,0,1
gemma,5,3047,8,15,0.9541127873563219,8,0,0
gemma,6,3048,8,22,0.9765625,7,0,1
gemma,7,3049,8,19,0.9369612068965517,8,0,0
gemma,8,3050,8,21,0.9438757183908046,7,0,1
gemma,9,3051,7,17,0.9215158045977011,6,0,1
gemma,10,3052,9,21,0.9815014367816092,9,0,0
gemma,11,3053,8,22,0.9581537356321839,8,0,0
gemma,12,3054,8,16,0.9341774425287356,8,0,0
gemma,13,3055,9,21,0.9127155172413793,8,0,1
gemma,14,3056,8,17,0.9160380747126436,8,0,0
gemma,15,3057,6,16,0.9319324712643678,6,0,0
gemma,16,3058,8,19,0.9548311781609196,8,0,0
gemma,17,3059,9,21,0.9901221264367817,9,0,0
gemma,18,3060,8,19,0.953753591954023,7,0,1
gemma,19,3061,7,18,0.9365122126436781,6,0,1
gemma,20,3062,8,20,0.9447737068965517,7,0,1
gemma,21,3063,7,19,0.9449533045977011,7,0,0
gemma,22,3064,8,19,0.9131645114942529,8,0,0
gemma,23,3065,9,23,0.9949712643678161,8,0,1
gemma,24,3066,8,17,0.9080459770114943,7,0,1
gemma,25,3067,7,20,0.9740481321839081,7,0,0
gemma,26,3068,7,19,0.9559087643678161,7,0,0
gemma,27,3069,9,23,0.9557291666666666,9,0,0
gemma,28,3070,7,18,0.9598599137931034,6,0,1
gemma,29,3071,8,19,0.9480962643678161,8,0,0
gemma,30,3072,9,25,1.0105962643678161,8,0,1
gemma,31,3073,7,16,0.9341774425287356,7,0,0
gemma,32,3074,8,18,0.9788972701149425,7,0,1
gemma,33,3075,10,23,0.9729705459770115,9,0,1
gemma,34,3076,9,22,0.9961386494252874,8,0,1
gemma,35,3077,7,20,0.9719827586206896,6,0,1
gemma,36,3078,9,19,0.9167564655172413,8,0,1
gemma,37,3079,6,18,0.9330100574712644,6,0,0
gemma,38,3080,8,20,0.9553699712643678,8,0,0
gemma,39,3081,8,18,0.9171156609195402,7,0,1
gemma,40,3082,8,19,0.9510596264367817,8,0,0
gemma,41,3083,7,18,0.9744971264367817,7,0,0
gemma,42,3084,7,18,0.9722521551724138,7,0,0
gemma,43,3085,8,22,0.9816810344827587,8,0,0
gemma,44,3086,7,17,0.9488146551724138,6,0,1
gemma,45,3087,7,18,0.9549209770114943,7,0,0
gemma,46,3088,7,18,0.9401939655172413,7,0,0
gemma,47,3089,7,17,1.0027837643678161,7,0,0
gemma,48,3090,7,20,0.9812320402298851,6,0,1
gemma,49,3091,9,22,0.9756645114942529,8,0,1
