model,null_id,seed,strict_crossings,controlled_top1_clean,mean_margin,closure_override_crossings,closure_update_crossings,exception_override_crossings
llama,0,3042,14,53,0.4416307471264368,3,3,8
llama,1,3043,13,53,0.4608477011494253,3,3,7
llama,2,3044,12,53,0.44198994252873564,2,4,6
llama,3,3045,13,53,0.4482758620689655,2,3,8
llama,4,3046,15,56,0.44486350574712646,3,4,8
llama,5,3047,14,53,0.4380387931034483,3,4,7
llama,6,3048,13,53,0.45563936781609193,3,4,6
llama,7,3049,13,53,0.4551005747126437,2,4,7
llama,8,3050,14,52,0.45977011494252873,3,4,7
llama,9,3051,15,55,0.44719827586206895,3,4,8
llama,10,3052,15,55,0.4410919540229885,3,4,8
llama,11,3053,13,53,0.45761494252873564,3,4,6
llama,12,3054,15,55,0.4394755747126437,3,4,8
llama,13,3055,12,52,0.42438936781609193,2,4,6
llama,14,3056,15,55,0.44486350574712646,3,4,8
llama,15,3057,16,56,0.43426724137931033,3,4,9
llama,16,3058,15,55,0.43732040229885055,3,4,8
llama,17,3059,14,54,0.44719827586206895,3,3,8
llama,18,3060,14,54,0.45545977011494254,2,4,8
llama,19,3061,14,54,0.44450431034482757,3,3,8
llama,20,3062,14,54,0.4489942528735632,3,4,7
llama,21,3063,13,52,0.4473778735632184,3,4,6
llama,22,3064,13,53,0.44360632183908044,2,3,8
llama,23,3065,16,57,0.4405531609195402,3,5,8
llama,24,3066,14,54,0.44863505747126436,3,4,7
llama,25,3067,16,56,0.45079022988505746,3,4,9
llama,26,3068,15,55,0.42852011494252873,3,4,8
llama,27,3069,15,55,0.4405531609195402,3,4,8
llama,28,3070,13,52,0.4551005747126437,3,4,6
llama,29,3071,14,54,0.46426005747126436,3,4,7
llama,30,3072,15,55,0.45079022988505746,3,4,8
llama,31,3073,13,55,0.45348419540229884,2,4,7
llama,32,3074,15,54,0.4394755747126437,3,4,8
llama,33,3075,14,54,0.44989224137931033,3,3,8
llama,34,3076,15,54,0.4482758620689655,3,4,8
llama,35,3077,16,56,0.45707614942528735,3,4,9
llama,36,3078,14,53,0.4522270114942529,2,4,8
llama,37,3079,15,55,0.4545617816091954,3,4,8
llama,38,3080,12,52,0.4389367816091954,2,3,7
llama,39,3081,12,51,0.4326508620689655,3,4,5
llama,40,3082,15,55,0.4588721264367816,3,4,8
llama,41,3083,15,55,0.45330459770114945,3,4,8
llama,42,3084,13,53,0.4348060344827586,2,4,7
llama,43,3085,15,55,0.4385775862068966,3,4,8
llama,44,3086,14,55,0.4421695402298851,3,3,8
llama,45,3087,15,55,0.4583333333333333,3,4,8
llama,46,3088,16,56,0.453125,3,4,9
llama,47,3089,15,56,0.44504310344827586,3,4,8
llama,48,3090,15,55,0.43732040229885055,3,4,8
llama,49,3091,13,54,0.44342672413793105,2,3,8
