prompt_id,baseline_margin,final_margin,margin_shift,crossed,strict_conflict_to_clean,top1_class,candidate_crossed_recomputed,strict_top1_flip,boundary_headroom
g000_closure_update,-6.03125,-2.0625,3.96875,False,False,conflict,False,False,-2.0625
g000_closure_override,-6.4375,-1.34375,5.09375,False,False,conflict,False,False,-1.34375
g000_exception_override,-5.640625,-0.59375,5.046875,False,False,conflict,False,False,-0.59375
g004_closure_update,-2.078125,-0.84375,1.234375,False,False,conflict,False,False,-0.84375
g004_closure_override,-6.96875,-1.96875,5.0,False,False,conflict,False,False,-1.96875
g004_exception_override,-5.65625,-1.109375,4.546875,False,False,conflict,False,False,-1.109375
g009_closure_update,-4.125,-1.03125,3.09375,False,False,conflict,False,False,-1.03125
g009_closure_override,-2.953125,1.421875,4.375,True,True,clean,True,True,1.421875
g009_exception_override,-3.21875,0.6875,3.90625,True,True,clean,True,True,0.6875
g010_closure_update,-3.671875,-1.515625,2.15625,False,False,conflict,False,False,-1.515625
g010_closure_override,-7.28125,-2.484375,4.796875,False,False,conflict,False,False,-2.484375
g010_exception_override,-6.453125,-1.765625,4.6875,False,False,conflict,False,False,-1.765625
g011_closure_update,-6.1875,-1.46875,4.71875,False,False,conflict,False,False,-1.46875
g011_closure_override,-6.34375,0.65625,7.0,True,True,clean,True,True,0.65625
g011_exception_override,-6.015625,-0.25,5.765625,False,False,conflict,False,False,-0.25
g012_closure_update,-6.34375,-2.3125,4.03125,False,False,conflict,False,False,-2.3125
g012_closure_override,-6.6875,-1.078125,5.609375,False,False,conflict,False,False,-1.078125
g012_exception_override,-5.28125,-0.78125,4.5,False,False,conflict,False,False,-0.78125
g015_closure_update,-5.25,-1.78125,3.46875,False,False,conflict,False,False,-1.78125
g015_closure_override,-3.90625,-2.0,1.90625,False,False,conflict,False,False,-2.0
g015_exception_override,-4.5,-2.28125,2.21875,False,False,conflict,False,False,-2.28125
g018_closure_update,-5.828125,-2.453125,3.375,False,False,conflict,False,False,-2.453125
