n_prompts,n_steps,hidden_dim,real_cross_half_identity_advantage,real_cross_half_identity_advantage_ci_low,real_cross_half_identity_advantage_ci_high,independent_layer_donor_cross_half_identity_advantage_mean,independent_layer_donor_cross_half_identity_advantage_q95,independent_layer_donor_cross_half_identity_advantage_p,lag1_matched_markov_donor_cross_half_identity_advantage_mean,lag1_matched_markov_donor_cross_half_identity_advantage_q95,lag1_matched_markov_donor_cross_half_identity_advantage_p,contiguous_block_donor_k4_cross_half_identity_advantage_mean,contiguous_block_donor_k4_cross_half_identity_advantage_q95,contiguous_block_donor_k4_cross_half_identity_advantage_p,real_quarter_identity_advantage,real_quarter_identity_advantage_ci_low,real_quarter_identity_advantage_ci_high,independent_layer_donor_quarter_identity_advantage_mean,independent_layer_donor_quarter_identity_advantage_q95,independent_layer_donor_quarter_identity_advantage_p,lag1_matched_markov_donor_quarter_identity_advantage_mean,lag1_matched_markov_donor_quarter_identity_advantage_q95,lag1_matched_markov_donor_quarter_identity_advantage_p,contiguous_block_donor_k4_quarter_identity_advantage_mean,contiguous_block_donor_k4_quarter_identity_advantage_q95,contiguous_block_donor_k4_quarter_identity_advantage_p,real_cross_half_self_cosine,real_cross_half_self_cosine_ci_low,real_cross_half_self_cosine_ci_high,independent_layer_donor_cross_half_self_cosine_mean,independent_layer_donor_cross_half_self_cosine_q95,independent_layer_donor_cross_half_self_cosine_p,lag1_matched_markov_donor_cross_half_self_cosine_mean,lag1_matched_markov_donor_cross_half_self_cosine_q95,lag1_matched_markov_donor_cross_half_self_cosine_p,contiguous_block_donor_k4_cross_half_self_cosine_mean,contiguous_block_donor_k4_cross_half_self_cosine_q95,contiguous_block_donor_k4_cross_half_self_cosine_p,real_lag1_cosine,real_lag1_cosine_ci_low,real_lag1_cosine_ci_high,independent_layer_donor_lag1_cosine_mean,independent_layer_donor_lag1_cosine_q95,independent_layer_donor_lag1_cosine_p,lag1_matched_markov_donor_lag1_cosine_mean,lag1_matched_markov_donor_lag1_cosine_q95,lag1_matched_markov_donor_lag1_cosine_p,contiguous_block_donor_k4_lag1_cosine_mean,contiguous_block_donor_k4_lag1_cosine_q95,contiguous_block_donor_k4_lag1_cosine_p,real_lag2_cosine,real_lag2_cosine_ci_low,real_lag2_cosine_ci_high,independent_layer_donor_lag2_cosine_mean,independent_layer_donor_lag2_cosine_q95,independent_layer_donor_lag2_cosine_p,lag1_matched_markov_donor_lag2_cosine_mean,lag1_matched_markov_donor_lag2_cosine_q95,lag1_matched_markov_donor_lag2_cosine_p,contiguous_block_donor_k4_lag2_cosine_mean,contiguous_block_donor_k4_lag2_cosine_q95,contiguous_block_donor_k4_lag2_cosine_p,real_cross_half_unbiased_cka,independent_layer_donor_cross_half_unbiased_cka_mean,independent_layer_donor_cross_half_unbiased_cka_q95,independent_layer_donor_cross_half_unbiased_cka_p,lag1_matched_markov_donor_cross_half_unbiased_cka_mean,lag1_matched_markov_donor_cross_half_unbiased_cka_q95,lag1_matched_markov_donor_cross_half_unbiased_cka_p,contiguous_block_donor_k4_cross_half_unbiased_cka_mean,contiguous_block_donor_k4_cross_half_unbiased_cka_q95,contiguous_block_donor_k4_cross_half_unbiased_cka_p,real_quarter_unbiased_cka,independent_layer_donor_quarter_unbiased_cka_mean,independent_layer_donor_quarter_unbiased_cka_q95,independent_layer_donor_quarter_unbiased_cka_p,lag1_matched_markov_donor_quarter_unbiased_cka_mean,lag1_matched_markov_donor_quarter_unbiased_cka_q95,lag1_matched_markov_donor_quarter_unbiased_cka_p,contiguous_block_donor_k4_quarter_unbiased_cka_mean,contiguous_block_donor_k4_quarter_unbiased_cka_q95,contiguous_block_donor_k4_quarter_unbiased_cka_p,lag1_fidelity_absolute_error,lag1_null_fidelity_pass,passes_strong_multistep_gate,fingerprint_explained_fraction,fingerprint_null_cross_half_unbiased_cka_mean,fingerprint_null_cross_half_unbiased_cka_q95,fingerprint_null_cross_half_unbiased_cka_p,fingerprint_null_quarter_unbiased_cka_mean,fingerprint_null_quarter_unbiased_cka_q95,fingerprint_null_quarter_unbiased_cka_p,passes_beyond_fingerprint_gate,task,model,init_seed,passes_all_three_nulls
96,27,1536,-0.0871034488081932,-0.08994940424648425,-0.08420051902843019,-0.04715995657159455,-0.04624044895172119,1.0,-0.0472285980779921,-0.046374044567346576,1.0,-0.048980936445483014,-0.04803946539759636,1.0,-0.023130087181925774,-0.026362147840942877,-0.019803788543019132,-0.013785063527786552,-0.012978097423911095,1.0,-0.013745196603575543,-0.01309278914704919,1.0,-0.013896061407037117,-0.013160832226276398,1.0,-0.24828100204467773,-0.2506615274469368,-0.24582546713839595,-0.20059166444306398,-0.19965618550777436,1.0,-0.20073217685198663,-0.19987208843231202,1.0,-0.20466707938879578,-0.20368249714374542,1.0,-0.0276015792042017,-0.028237813067971726,-0.0269643483722272,-0.023420486440086485,-0.023285826668143272,1.0,-0.027601578914040897,-0.02760157734155655,1.0,-0.026770183835272215,-0.02669987492263317,1.0,-0.02406926639378071,-0.02490639648506961,-0.023288731295906473,-0.020327694246068072,-0.020184835605323314,1.0,-0.020055460673405898,-0.01990512292832136,1.0,-0.022194251390033632,-0.02208755612373352,1.0,0.9863419496055571,0.9737170933608544,0.974779502571244,0.005,0.9736364697792999,0.9747238785851388,0.005,0.9579113945797684,0.959595453124096,0.005,0.9719528575215177,0.9588183926302019,0.9600948795096177,0.005,0.9588437068374744,0.9602259337160289,0.005,0.9378142383806467,0.9399630545674875,0.005,2.9016080163590807e-10,True,True,0.022662194445729256,0.9769214351836639,0.9778724026642794,0.005,0.961033030843448,0.9622868893305179,0.005,True,lexical_category,qwen,1801,True
96,27,1536,-0.0405099093914032,-0.04312215457127119,-0.03783442938389878,-0.024648830163568707,-0.024290929175913335,1.0,-0.02474431206832579,-0.02439290452748537,1.0,-0.025482706753677458,-0.025034830160439014,1.0,-0.011291849426925182,-0.012685128625404711,-0.009877886722097174,-0.007130147514855442,-0.006838526809588075,1.0,-0.007152726946295655,-0.006788476742804051,1.0,-0.007190276161959423,-0.006918729189783335,1.0,-0.2539459764957428,-0.2560836671191889,-0.25186871834642566,-0.2333988800420234,-0.23304780721664428,1.0,-0.23352681998930983,-0.2331538677215576,1.0,-0.23562520001102333,-0.23515889644622803,1.0,-0.03158320114016533,-0.03203977312417313,-0.03111194106847203,-0.02987988715308096,-0.02981187663972378,1.0,-0.03158320385457283,-0.03158320114016533,0.275,-0.031223851485393157,-0.03119315579533577,1.0,-0.028872095048427582,-0.029471625121853626,-0.028275803351910628,-0.027364809290697827,-0.027302118390798567,1.0,-0.027233733023381113,-0.027177450060844422,1.0,-0.028221369688235336,-0.028180613368749618,1.0,0.9921065663614483,0.97148497157418,0.9726062479242072,0.005,0.9714240931564705,0.9722694972377277,0.005,0.9432201891751517,0.9458883616306316,0.005,0.9824163385891813,0.9543549413243043,0.9559861778352214,0.005,0.9543793682479099,0.9558743422000991,0.005,0.9167857908224684,0.9197749686066491,0.005,2.7144075043228355e-09,True,True,0.023374879732728004,0.97365153680739,0.9746636868722092,0.005,0.9559212746471888,0.9574994151665734,0.005,True,arithmetic_addition,qwen,1801,True
96,27,1536,-0.21233515441417694,-0.21655999816721305,-0.2080819818074815,-0.005683046497109734,-0.0017781496164388955,1.0,-0.0067241992438726835,-0.0027117695426568393,1.0,-0.009966094861153383,-0.005729568377137184,1.0,-0.07014625519514084,-0.07484586987896667,-0.06535940507698494,-0.0021273010640091264,0.0016923933872021735,1.0,-0.0019941200400042628,0.0022025239188224067,1.0,-0.002296271891030863,0.0014555056695826352,1.0,-0.24076604843139648,-0.24500247283140197,-0.23661327649606392,-0.028761276881673827,-0.02490596566349268,1.0,-0.030044204326131235,-0.026136788912117483,1.0,-0.03486579753009219,-0.03068318422883749,1.0,-0.030288010835647583,-0.03128681814656981,-0.02931563800763494,-0.005612023120942577,-0.004847748577594757,1.0,-0.03028801132236893,-0.030288010835647583,0.75,-0.02595392725051348,-0.025599623285233974,1.0,-0.024502402171492577,-0.02550527511945499,-0.023481159737275447,-0.004638616400466642,-0.0038657132303342224,1.0,-0.003376447939636869,-0.00266881724819541,1.0,-0.016227482663626648,-0.015708276256918906,1.0,0.4268220288210261,0.02774073755632523,0.05111730125614931,0.005,0.026017563145443363,0.0502326427864855,0.005,0.02244260215801051,0.0452246765179428,0.005,0.3405396236150604,0.004359723030437745,0.026091602659268322,0.005,0.004948005846880601,0.02553794212254262,0.005,0.0023926357379264423,0.026397765910075564,0.005,4.867213472536935e-10,True,True,0.02278735488653183,0.018576867144024903,0.040013495252267724,0.005,-0.018389674314257084,0.0035525497196127994,0.005,True,arc_challenge,qwen,1801,True
96,27,1536,-0.07949171215295792,-0.08250012314335133,-0.07650891651088992,-0.04191961568129721,-0.04115962535142899,1.0,-0.04213268562552318,-0.04122690409421921,1.0,-0.0438788410781616,-0.043082442879676816,1.0,-0.01781361550092697,-0.02173883419551809,-0.013673907147798064,-0.00965107925910147,-0.008971142023801804,1.0,-0.00961687059689257,-0.008877388760447502,1.0,-0.009777534710964066,-0.009131400287151337,1.0,-0.23857958614826202,-0.24100181835625942,-0.23614526505504424,-0.19350492422604681,-0.1926508679986,1.0,-0.19376891297311638,-0.19290876686573027,1.0,-0.19763543587833193,-0.19677498787641526,1.0,-0.025698810815811157,-0.026320792529440952,-0.02510617369407555,-0.02189401319091344,-0.021754965558648108,1.0,-0.02569881105917183,-0.025698810815811157,0.865,-0.025038710547302237,-0.02497291937470436,1.0,-0.024458924308419228,-0.025102684968927255,-0.023826322614331732,-0.020755776667490077,-0.020609024353325366,1.0,-0.020536014089482513,-0.020376097410917282,1.0,-0.02270979187147102,-0.022606959193944932,1.0,0.9896284596470277,0.9715829292587377,0.9731117801800941,0.005,0.9714803435345765,0.9729893189365991,0.005,0.9507352829355962,0.9525804833439512,0.005,0.9781547003631005,0.9586775282671315,0.9601553713384967,0.005,0.95861121269522,0.9600278950275719,0.005,0.9307278749853979,0.933143064500938,0.005,2.433606718921233e-10,True,True,0.022681506350636482,0.975632131022882,0.9767454131098968,0.005,0.9618220214281726,0.9631435380648564,0.005,True,lexical_category,qwen,1802,True
96,27,1536,-0.037677161395549774,-0.03980558347733071,-0.0354925231814074,-0.023486772935893668,-0.023064787685871124,1.0,-0.023459262649842244,-0.023066494427621365,1.0,-0.02385917178649998,-0.02344611044973135,1.0,-0.009530098177492619,-0.011738962854724377,-0.007338258923846297,-0.006025097068474071,-0.005667321011424064,1.0,-0.006013205628280514,-0.005667537916451693,1.0,-0.006055329261750133,-0.005753990774974227,1.0,-0.2628556191921234,-0.2646365897264331,-0.26101113301313794,-0.24322127532120327,-0.24279786348342897,1.0,-0.24308750602468174,-0.24270139187574385,1.0,-0.2452182240372327,-0.24474452137947084,1.0,-0.025297537446022034,-0.02569785989568724,-0.024916247285727874,-0.023456543393844936,-0.02338602300733328,1.0,-0.025297538943626175,-0.025297537446022034,0.38,-0.024925966892185524,-0.024889099784195422,1.0,-0.020410040393471718,-0.020924906987056603,-0.01987220329392585,-0.018732965909805728,-0.018660293705761433,1.0,-0.018609559556572283,-0.01854268591850996,1.0,-0.019662309306949826,-0.019612534344196318,1.0,0.990748145451205,0.9678807765261178,0.969313790297922,0.005,0.9677140372896892,0.9689785525094553,0.005,0.9307585316934323,0.9335996378647429,0.005,0.9831648987052041,0.9470878550034406,0.9491330354308654,0.005,0.9467774053016944,0.9486787679588122,0.005,0.8996985742038623,0.9034742732503935,0.005,1.497604141392772e-09,True,True,0.023026736453175545,0.9709068708641593,0.9722026211747336,0.005,0.9489686121849762,0.9507344848262717,0.005,True,arithmetic_addition,qwen,1802,True
96,27,1536,-0.216033935546875,-0.22046172508659462,-0.21156577621198572,-0.005172731396075264,-0.0008247363381087783,1.0,-0.0060499384338589006,-0.0021300319698639237,1.0,-0.008927385962741384,-0.005314822122454644,1.0,-0.07237794250249863,-0.07655353716885051,-0.06818357436568476,-0.002181388600830867,0.0011981365620158612,1.0,-0.0022425456739544264,0.0015216895146295427,1.0,-0.002588598753669915,0.001077276107389479,1.0,-0.23450542986392975,-0.23912078995102395,-0.23008128919561083,-0.020850479448373295,-0.01657205931842327,1.0,-0.0219176703848731,-0.01797561589628458,1.0,-0.025802035231012196,-0.02223389241844416,1.0,-0.029040956869721413,-0.029908506540717403,-0.0281710845088431,-0.005387054323382563,-0.004749894002452493,1.0,-0.029040956074119214,-0.029040955007076263,1.0,-0.024452026250149736,-0.02407353986054659,1.0,-0.02478289045393467,-0.025635935303095415,-0.02389316613213547,-0.004143532977472223,-0.0033094337210059165,1.0,-0.003001546467322126,-0.002232099557295442,1.0,-0.015986289917935978,-0.015440576616674662,1.0,0.4562015501269093,0.026796556746602484,0.05458678690034999,0.005,0.02489782276268839,0.05062516559484959,0.005,0.020475178413029555,0.04280600026140141,0.005,0.3165540740483683,0.004979133265466754,0.028506742259660683,0.005,0.004398149462136722,0.027552181336935468,0.005,0.0006598018498103359,0.025061126308190237,0.005,7.956021987054473e-10,True,True,0.023077890276908875,-0.0034289111442154514,0.01968519206078222,0.005,-0.027784051343492204,-0.0025844444543056057,0.005,True,arc_challenge,qwen,1802,True
96,15,2048,-0.08095258474349976,-0.08331915814002665,-0.07875467193856214,-0.04671880441844164,-0.046146108955144885,1.0,-0.04690066489142988,-0.04623170793056488,1.0,-0.05017786181003005,-0.049121758341789244,1.0,-0.01862531714141369,-0.021331538344869234,-0.015900376240218367,-0.012199187473436096,-0.011601191014051437,1.0,-0.012170295240404319,-0.011605329439043998,1.0,-0.012316076684013084,-0.01179479928687215,1.0,-0.2242751568555832,-0.22703395306986446,-0.22150462668699522,-0.18460196091901118,-0.1840196132659912,1.0,-0.18503690791789013,-0.1844029724597931,1.0,-0.19045888089654434,-0.18941949158906937,1.0,-0.04007677361369133,-0.0409402874696146,-0.039222616853658104,-0.03428863833223156,-0.03410437889397144,1.0,-0.04007677361369133,-0.04007677361369133,0.99,-0.038782363186529535,-0.03870084397494793,1.0,-0.03677666559815407,-0.03757469139721555,-0.035921235958812754,-0.03145856400904943,-0.031286007910966876,1.0,-0.030970652461351462,-0.03081585057079792,1.0,-0.03426027344773762,-0.03413405790925026,1.0,0.9869655800555938,0.9716550122624585,0.9725410694473707,0.005,0.9716930303030923,0.9725446229864946,0.005,0.9560046585341161,0.9578703542145167,0.005,0.9724771926935649,0.9514330956356208,0.9528640670445775,0.005,0.9512845716721857,0.9527574907298506,0.005,0.921281402992367,0.9240903209741194,0.005,0.0,True,True,0.042972952127456665,0.9741441628399581,0.9750546675160486,0.005,0.9532864135701388,0.9547102984605914,0.005,True,lexical_category,llama,1801,True
96,15,2048,-0.05240214988589287,-0.05458883953979239,-0.05025911007542163,-0.036150468092168396,-0.03582153581082821,1.0,-0.03623202171682113,-0.03585140742361546,1.0,-0.03784647720617865,-0.03728385120630264,1.0,-0.010521971620619297,-0.013133438735773478,-0.008165862670284695,-0.007377649631688193,-0.007057386124506593,1.0,-0.0073363873288597,-0.007048000767827034,1.0,-0.007388234664990225,-0.007034591399133205,1.0,-0.2333943396806717,-0.23538032010352858,-0.23146504290246714,-0.21333596042951747,-0.21298370659351348,1.0,-0.21356685197533076,-0.21319003403186798,1.0,-0.21674520638420355,-0.21614435464143752,1.0,-0.038436029106378555,-0.039317622438344794,-0.03753962086242003,-0.03521427587049091,-0.03511696457862854,1.0,-0.03843602921869887,-0.038436029106378555,0.97,-0.03778787144464464,-0.037744179368019104,1.0,-0.036610860377550125,-0.037213662113936154,-0.036013216421512576,-0.03378324133891556,-0.0336938913911581,1.0,-0.03348462246171194,-0.03339234441518783,1.0,-0.03527252830976817,-0.035192765295505524,1.0,0.9949243748973137,0.9788822802645707,0.9797514493679588,0.005,0.9788268074006184,0.9798167088208594,0.005,0.9618058688507487,0.9633589098204477,0.005,0.9880736405889966,0.9631520948366418,0.9643940944855488,0.005,0.9630906315116605,0.9646182824157145,0.005,0.9292988570879993,0.9315908627449979,0.005,1.1232031277286225e-10,True,True,0.043014850467443466,0.9805998343296003,0.98135987508046,0.005,0.9645500495941939,0.9659264399696149,0.005,True,arithmetic_addition,llama,1801,True
96,15,2048,-0.20499514043331146,-0.208240757494544,-0.20180231530684978,-0.005853124778371435,-0.0021517509827390312,1.0,-0.009028839865867892,-0.005682678939774632,1.0,-0.01856073155418862,-0.014228175207972527,1.0,-0.0604807548224926,-0.06425476400011879,-0.05665768228063826,-0.0016505486508404331,0.0018951440346427263,1.0,-0.0017948683736741813,0.0016523682745173572,1.0,-0.002076991145597148,0.0015615652897395188,1.0,-0.22293321788311005,-0.22618231895612553,-0.2195785021642223,-0.02174873911218727,-0.01816813349723816,1.0,-0.025360798903146582,-0.022080324031412604,1.0,-0.03610422598881338,-0.03179860711097717,1.0,-0.040398407727479935,-0.04153256708571765,-0.03926415046735201,-0.005320920794968254,-0.004293531738221646,1.0,-0.040398407821080194,-0.040398407727479935,0.975,-0.035054609610057956,-0.034659506380558015,1.0,-0.03227465972304344,-0.033420679304981604,-0.031189763988368212,-0.0020595242287764727,-0.0010760313132777812,1.0,-0.00010138017071095698,0.0008509520324878394,1.0,-0.020571866685796025,-0.019845854863524436,1.0,0.513405689587091,0.030200970042251,0.05451053837307944,0.005,0.029167101573979823,0.052210177173631,0.005,0.035246587528376026,0.05621901937655255,0.005,0.36597923773935676,0.003729419449618965,0.027103326477351534,0.005,0.0029377725286066896,0.0241889017115322,0.005,0.0022024690174219166,0.026524750452556704,0.005,9.360025948756956e-11,True,True,0.04262157902121544,0.039518710460820484,0.0629296760929018,0.005,-0.005889320517479771,0.019598147942673113,0.005,True,arc_challenge,llama,1801,True
96,15,2048,-0.09571508318185806,-0.09887273042501572,-0.09262280325832155,-0.05184263822121836,-0.05100079365074635,1.0,-0.05233870122825081,-0.051431430876255034,1.0,-0.05707205511891662,-0.05600463151931763,1.0,-0.023437127470970154,-0.02680038773760316,-0.020046565402299165,-0.015571930314690324,-0.014863989595323802,1.0,-0.01557814333606605,-0.014898084197193384,1.0,-0.01587452501264499,-0.015147845260798931,1.0,-0.21025188267230988,-0.21298703255985554,-0.20749803531216457,-0.16088554562635757,-0.16009459197521209,1.0,-0.1618211386940587,-0.1608920529484749,1.0,-0.16856244633245707,-0.16747914105653763,1.0,-0.04257209226489067,-0.043366777494763184,-0.041739392538632576,-0.03503636293225552,-0.034822675958275796,1.0,-0.04257209331321357,-0.04257209226489067,0.725,-0.04103138634757181,-0.04092971459031105,1.0,-0.034666452556848526,-0.03549712195284276,-0.03381981149577768,-0.028232259900501027,-0.027986946888267993,1.0,-0.0275529121240629,-0.02733362652361393,1.0,-0.03179609464790354,-0.03160768449306488,1.0,0.9897962073470915,0.9713996575256199,0.9725441471847664,0.005,0.9713319553510872,0.972440537926209,0.005,0.9543025594955127,0.9559920291945964,0.005,0.9812107916420139,0.9588544183233189,0.9603577700929621,0.005,0.9587563639710961,0.9603714985033844,0.005,0.9268741223914273,0.9288608565163049,0.005,1.048322900709664e-09,True,True,0.04329279810190201,0.9758375771349801,0.976956863126316,0.005,0.9620501175394209,0.9633725121250264,0.005,True,lexical_category,llama,1802,True
