null_index,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
0,0.9767610412219104,0.9619938056599088,lexical_category,qwen,1801
1,0.9770500126791898,0.9620671714205883,lexical_category,qwen,1801
2,0.976896004662257,0.9604819480599733,lexical_category,qwen,1801
3,0.9768286949772872,0.9597033358870113,lexical_category,qwen,1801
4,0.9773266788904197,0.9618212725090558,lexical_category,qwen,1801
5,0.9759164171904074,0.9617216787015436,lexical_category,qwen,1801
6,0.9763108797844602,0.9609242004758535,lexical_category,qwen,1801
7,0.9769951733766986,0.9597421784808313,lexical_category,qwen,1801
8,0.9761854750216449,0.9610185821537911,lexical_category,qwen,1801
9,0.9756908875743082,0.9611644359152719,lexical_category,qwen,1801
10,0.9764184818563273,0.9612874703409728,lexical_category,qwen,1801
11,0.9768616746203427,0.9593055386680949,lexical_category,qwen,1801
12,0.9776198419067703,0.9606172852873393,lexical_category,qwen,1801
13,0.9774912926962501,0.961360970742,lexical_category,qwen,1801
14,0.9776600915255739,0.9607263126620246,lexical_category,qwen,1801
15,0.9771776320535902,0.9608120777791693,lexical_category,qwen,1801
16,0.9773665492428584,0.9615552913797718,lexical_category,qwen,1801
17,0.9763119459722307,0.9622864268970891,lexical_category,qwen,1801
18,0.9765887450686627,0.9603188881299554,lexical_category,qwen,1801
19,0.9771011025156373,0.9611099087731876,lexical_category,qwen,1801
20,0.977588764562387,0.960260525255038,lexical_category,qwen,1801
21,0.9776758883331742,0.9620494574405254,lexical_category,qwen,1801
22,0.9771182396349088,0.9619507305179406,lexical_category,qwen,1801
23,0.9767937217419053,0.9617739800312477,lexical_category,qwen,1801
24,0.9776728794520253,0.9610082072625413,lexical_category,qwen,1801
25,0.9763270418682334,0.9595495226060206,lexical_category,qwen,1801
26,0.976056283507378,0.960816444920221,lexical_category,qwen,1801
27,0.9759874102064287,0.9601175587210735,lexical_category,qwen,1801
28,0.9766124984446599,0.9614763075469792,lexical_category,qwen,1801
29,0.9764103586371518,0.9610922850478255,lexical_category,qwen,1801
30,0.9762250050808347,0.9615626247370502,lexical_category,qwen,1801
31,0.9765611892434498,0.9606579789078186,lexical_category,qwen,1801
32,0.976724204449103,0.9618604593094244,lexical_category,qwen,1801
33,0.9778634764515243,0.9619730167077737,lexical_category,qwen,1801
34,0.9764589651503252,0.9615299166653947,lexical_category,qwen,1801
35,0.9769306842683342,0.9611093156420957,lexical_category,qwen,1801
36,0.9768421649908409,0.9606705837586552,lexical_category,qwen,1801
37,0.9767229569454117,0.9602116292689243,lexical_category,qwen,1801
38,0.9774871161489164,0.9616079432629394,lexical_category,qwen,1801
39,0.9773353767422075,0.961571008294162,lexical_category,qwen,1801
40,0.9763756403678439,0.9608553398338968,lexical_category,qwen,1801
41,0.976366523046156,0.960591571596936,lexical_category,qwen,1801
42,0.9779399469606482,0.9613222103645379,lexical_category,qwen,1801
43,0.976330081217268,0.9617492827584568,lexical_category,qwen,1801
44,0.9766203471741179,0.9607698654677207,lexical_category,qwen,1801
45,0.9776400200853779,0.9626049061497794,lexical_category,qwen,1801
46,0.9774046798033543,0.9616031691618665,lexical_category,qwen,1801
47,0.976973854405501,0.9600334166783462,lexical_category,qwen,1801
48,0.9774968645653113,0.9598338929985577,lexical_category,qwen,1801
49,0.977181546333766,0.9612273018948689,lexical_category,qwen,1801
50,0.977781255991345,0.9601228947851486,lexical_category,qwen,1801
51,0.977935421496154,0.9610060268768529,lexical_category,qwen,1801
52,0.9770782045130784,0.9620259920863625,lexical_category,qwen,1801
53,0.9770278973964002,0.9617588228842313,lexical_category,qwen,1801
54,0.9763826598574411,0.9616938650540182,lexical_category,qwen,1801
55,0.9769655255715695,0.9599059175184025,lexical_category,qwen,1801
56,0.9766130912282833,0.9605523406999891,lexical_category,qwen,1801
57,0.9773181994809168,0.9603401767578503,lexical_category,qwen,1801
