prompt_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,task,model,init_seed
0,-0.0732898861169815,-0.03637630492448807,-0.25210103392601013,-0.0285631250590086,-0.02750287763774395,lexical_category,qwen,1801
1,-0.07148317992687225,-0.04225995019078255,-0.2306007295846939,-0.03118571825325489,-0.024756701663136482,lexical_category,qwen,1801
2,-0.09284619987010956,-0.015936553478240967,-0.2502129375934601,-0.02569483034312725,-0.02116766758263111,lexical_category,qwen,1801
3,-0.0788489580154419,-0.015393681824207306,-0.23951463401317596,-0.02643432468175888,-0.02442808821797371,lexical_category,qwen,1801
4,-0.09965355694293976,0.013204436749219894,-0.2555297017097473,-0.023928413167595863,-0.020405812188982964,lexical_category,qwen,1801
5,-0.09395430982112885,-0.019401628524065018,-0.23433765769004822,-0.0298863984644413,-0.01927768439054489,lexical_category,qwen,1801
6,-0.078652024269104,-0.04461973160505295,-0.2580822706222534,-0.030195418745279312,-0.027773279696702957,lexical_category,qwen,1801
7,-0.0688406229019165,-0.04418930411338806,-0.22746531665325165,-0.02956811524927616,-0.025102052837610245,lexical_category,qwen,1801
8,-0.10186663269996643,-0.036406971514225006,-0.25890445709228516,-0.026340894401073456,-0.0267186276614666,lexical_category,qwen,1801
9,-0.06821562349796295,-0.03297907114028931,-0.23092016577720642,-0.02584690786898136,-0.026359209790825844,lexical_category,qwen,1801
10,-0.09477221965789795,0.010926999151706696,-0.2582870125770569,-0.026514198631048203,-0.021164773032069206,lexical_category,qwen,1801
11,-0.09455402195453644,-0.013716887682676315,-0.24083206057548523,-0.028513768687844276,-0.019423555582761765,lexical_category,qwen,1801
12,-0.08204834163188934,-0.036680810153484344,-0.2693227529525757,-0.02505834959447384,-0.03186354413628578,lexical_category,qwen,1801
13,-0.09645065665245056,-0.055672600865364075,-0.25280970335006714,-0.027015898376703262,-0.026778681203722954,lexical_category,qwen,1801
14,-0.09049934148788452,-0.026425868272781372,-0.24729329347610474,-0.021604152396321297,-0.023494135588407516,lexical_category,qwen,1801
15,-0.05821967124938965,0.0031762011349201202,-0.2302287518978119,-0.029834311455488205,-0.025463921949267387,lexical_category,qwen,1801
16,-0.07820636034011841,0.000946536660194397,-0.26235657930374146,-0.025319542735815048,-0.020520396530628204,lexical_category,qwen,1801
17,-0.1072285920381546,-0.013323675841093063,-0.2623361647129059,-0.03233785182237625,-0.022111432626843452,lexical_category,qwen,1801
18,-0.0871036946773529,-0.013593807816505432,-0.26306575536727905,-0.028908133506774902,-0.028657536953687668,lexical_category,qwen,1801
19,-0.07991538941860199,-0.03319752588868141,-0.24620826542377472,-0.024048009887337685,-0.02725319191813469,lexical_category,qwen,1801
20,-0.10571213066577911,-0.014879770576953888,-0.2601087689399719,-0.027583332732319832,-0.02453172206878662,lexical_category,qwen,1801
21,-0.0587598979473114,0.005133964121341705,-0.22688153386116028,-0.032771240919828415,-0.019947201013565063,lexical_category,qwen,1801
22,-0.08147397637367249,0.02166915498673916,-0.2531062364578247,-0.032068248838186264,-0.016396524384617805,lexical_category,qwen,1801
23,-0.1189512312412262,-0.01951006054878235,-0.26366907358169556,-0.03227076679468155,-0.022702226415276527,lexical_category,qwen,1801
24,-0.08039793372154236,-0.03093181550502777,-0.26138365268707275,-0.03249908983707428,-0.03566616401076317,lexical_category,qwen,1801
25,-0.08537666499614716,-0.03576105460524559,-0.2390432357788086,-0.029507342725992203,-0.028223274275660515,lexical_category,qwen,1801
26,-0.08708152174949646,-0.01571296900510788,-0.2436193823814392,-0.024779120460152626,-0.02893594279885292,lexical_category,qwen,1801
27,-0.08211036026477814,-0.030063532292842865,-0.2471313774585724,-0.028195399791002274,-0.025191552937030792,lexical_category,qwen,1801
28,-0.09115496277809143,-0.007726680487394333,-0.26023542881011963,-0.02321094274520874,-0.02115919440984726,lexical_category,qwen,1801
29,-0.1054280698299408,-0.025380488485097885,-0.2629258632659912,-0.029940184205770493,-0.02364121377468109,lexical_category,qwen,1801
30,-0.0784873515367508,-0.037139102816581726,-0.2580927610397339,-0.028038283810019493,-0.03011135384440422,lexical_category,qwen,1801
31,-0.08755941689014435,-0.04487311467528343,-0.241286039352417,-0.028553668409585953,-0.02681110054254532,lexical_category,qwen,1801
32,-0.09645277261734009,-0.006415970623493195,-0.25537800788879395,-0.024931607767939568,-0.026851484552025795,lexical_category,qwen,1801
33,-0.0715583860874176,-0.007512617856264114,-0.22909878194332123,-0.027716265991330147,-0.02313137985765934,lexical_category,qwen,1801
34,-0.09743104875087738,0.0029017776250839233,-0.2652142643928528,-0.029858771711587906,-0.018298253417015076,lexical_category,qwen,1801
35,-0.09422679245471954,0.018459104001522064,-0.23874323070049286,-0.032075636088848114,-0.022791970521211624,lexical_category,qwen,1801
36,-0.09056086838245392,-0.040791530162096024,-0.2635883092880249,-0.02380317822098732,-0.03131864592432976,lexical_category,qwen,1801
37,-0.0968472957611084,-0.032859932631254196,-0.24277885258197784,-0.02596653439104557,-0.028311438858509064,lexical_category,qwen,1801
