null_type,null_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
independent_layer_donor,0,-0.04726957157254219,-0.013963674195110798,-0.20074844360351562,-0.02324751578271389,-0.020368868485093117,0.9738850659431679,0.9587320976406138,lexical_category,qwen,1801
lag1_matched_markov_donor,0,-0.04755778983235359,-0.01410595327615738,-0.20090673863887787,-0.0276015792042017,-0.019857294857501984,0.9741157591913728,0.9585172027808004,lexical_category,qwen,1801
contiguous_block_donor_k4,0,-0.05003790184855461,-0.014561179094016552,-0.20582157373428345,-0.026875300332903862,-0.02212892472743988,0.9612395961632149,0.9375475299842618,lexical_category,qwen,1801
independent_layer_donor,1,-0.046968430280685425,-0.014124483801424503,-0.20040373504161835,-0.023470856249332428,-0.020233094692230225,0.9728901683115214,0.9571888343963693,lexical_category,qwen,1801
lag1_matched_markov_donor,1,-0.04801049828529358,-0.014473999850451946,-0.2014060616493225,-0.0276015792042017,-0.020018376410007477,0.973235090553702,0.9593815244446947,lexical_category,qwen,1801
contiguous_block_donor_k4,1,-0.04853138327598572,-0.01354682445526123,-0.20421947538852692,-0.026737311854958534,-0.022203758358955383,0.9586835243922732,0.9385401297946949,lexical_category,qwen,1801
independent_layer_donor,2,-0.046313438564538956,-0.012860248796641827,-0.19985389709472656,-0.02345220558345318,-0.020308339968323708,0.9738724376616236,0.9584936908527363,lexical_category,qwen,1801
lag1_matched_markov_donor,2,-0.046960532665252686,-0.01350216194987297,-0.2005387544631958,-0.0276015792042017,-0.020024225115776062,0.9738647810254684,0.9584522103441822,lexical_category,qwen,1801
contiguous_block_donor_k4,2,-0.04823373630642891,-0.01323613803833723,-0.20387990772724152,-0.026803242042660713,-0.02205429971218109,0.9571716853194381,0.9369545905426414,lexical_category,qwen,1801
independent_layer_donor,3,-0.04718228057026863,-0.013590686954557896,-0.20062483847141266,-0.02343139611184597,-0.020298628136515617,0.9736424664640695,0.9587900166614912,lexical_category,qwen,1801
lag1_matched_markov_donor,3,-0.04719233512878418,-0.013369058258831501,-0.20070700347423553,-0.02760157734155655,-0.020028159022331238,0.9735016525350303,0.9590895892224724,lexical_category,qwen,1801
contiguous_block_donor_k4,3,-0.04951706528663635,-0.01480896770954132,-0.20511846244335175,-0.026746610179543495,-0.02220405451953411,0.9573250326360976,0.9366094822689032,lexical_category,qwen,1801
independent_layer_donor,4,-0.047518979758024216,-0.013957043178379536,-0.2009974718093872,-0.023305682465434074,-0.020385952666401863,0.974730705970333,0.9598184278190858,lexical_category,qwen,1801
lag1_matched_markov_donor,4,-0.04719529673457146,-0.013607331551611423,-0.200656458735466,-0.0276015792042017,-0.02021789737045765,0.9733735667440317,0.9580487201001413,lexical_category,qwen,1801
contiguous_block_donor_k4,4,-0.050459519028663635,-0.01397003699094057,-0.20599818229675293,-0.026749148964881897,-0.02212337590754032,0.957460019698949,0.9383114604201692,lexical_category,qwen,1801
independent_layer_donor,5,-0.04788029193878174,-0.014645613729953766,-0.20138336718082428,-0.02345116436481476,-0.02034025266766548,0.9726964747869955,0.9586738074388778,lexical_category,qwen,1801
