"task","task_scope","gamma","real_future_alignment","donor_future_alignment_mean","radial_effect","passes_joint_direction_gate"
"relation_graph","original",0,-0.225053623318672,-0.164151199723608,-0.0609024235950643,"False"
"relation_graph","original",0.25,-0.190090253949165,-0.149082217833505,-0.0410080361156607,"False"
"relation_graph","original",0.5,-0.141737401485443,-0.120101578533649,-0.0216358229517937,"False"
"relation_graph","original",0.75,-0.0968813300132751,-0.0886078336131034,-0.00827349640017179,"False"
"relation_graph","original",1,-0.0601252317428589,-0.0606268639278472,0.00050163218498829,"False"
"relation_graph","original",1.25,-0.0310763958841562,-0.0376468679526044,0.00657047206844816,"True"
"lexical_category","original",0,-0.224693849682808,-0.203119274359852,-0.0215745753229563,"False"
"lexical_category","original",0.25,-0.191449046134949,-0.177644755223289,-0.0138042909116601,"False"
"lexical_category","original",0.5,-0.145227372646332,-0.138833593708187,-0.00639377893814488,"False"
"lexical_category","original",0.75,-0.0992332100868225,-0.0980832021889375,-0.001150007897885,"False"
"lexical_category","original",1,-0.0590523928403854,-0.0613970907414379,0.00234469790105245,"True"
"lexical_category","original",1.25,-0.0255839582532644,-0.0303789561043433,0.00479499785107883,"True"
"arithmetic_addition","original",0,-0.226077064871788,-0.210680940417788,-0.0153961244539999,"False"
"arithmetic_addition","original",0.25,-0.185943901538849,-0.176128218596305,-0.00981568294254379,"False"
"arithmetic_addition","original",0.5,-0.132670506834984,-0.127971262413653,-0.00469924442133113,"False"
"arithmetic_addition","original",0.75,-0.0817581042647362,-0.0804913592098945,-0.00126674505484164,"False"
"arithmetic_addition","original",1,-0.038662064820528,-0.0396066527607752,0.000944587940247217,"True"
"arithmetic_addition","original",1.25,-0.00362816895358264,-0.00608776533863877,0.00245959638505612,"True"
"arc_challenge","original",0,-0.22712616622448,-0.192342204664221,-0.0347839615602589,"False"
"arc_challenge","original",0.25,-0.196699097752571,-0.172007866091465,-0.0246912316611065,"False"
"arc_challenge","original",0.5,-0.152718141674995,-0.138350863103292,-0.0143672785717039,"False"
"arc_challenge","original",0.75,-0.107733152806759,-0.101125633521895,-0.00660751928486417,"False"
"arc_challenge","original",1,-0.0674975663423538,-0.0662422502160671,-0.00125531612628668,"False"
"arc_challenge","original",1.25,-0.0332981161773205,-0.0358436481474931,0.00254553197017267,"True"
"lexical_disjoint","independent",0,-0.224811151623726,-0.203128522963979,-0.0216826286597468,"False"
"lexical_disjoint","independent",0.25,-0.191534161567688,-0.177706843045489,-0.0138273185221993,"False"
"lexical_disjoint","independent",0.5,-0.145314440131187,-0.138954227518796,-0.00636021261239172,"False"
"lexical_disjoint","independent",0.75,-0.0993655025959015,-0.098281613845921,-0.00108388874998044,"False"
"lexical_disjoint","independent",1,-0.0592594258487225,-0.0616947789138286,0.00243535306510614,"True"
"lexical_disjoint","independent",1.25,-0.0258808732032776,-0.0307612917830597,0.00488041857978207,"True"
"addition_disjoint","independent",0,-0.226296201348305,-0.210498233087099,-0.015797968261206,"False"
"addition_disjoint","independent",0.25,-0.185883715748787,-0.17578837238065,-0.0100953433681373,"False"
"addition_disjoint","independent",0.5,-0.132354915142059,-0.127483726071952,-0.00487118907010736,"False"
"addition_disjoint","independent",0.75,-0.0812325701117516,-0.0798744832975181,-0.00135808681423341,"False"
"addition_disjoint","independent",1,-0.0379740558564663,-0.0388726204746033,0.000898564618137011,"True"
"addition_disjoint","independent",1.25,-0.0028177488129586,-0.00526955456533774,0.00245180575237914,"True"
"arithmetic_mixed","independent",0,-0.226306483149529,-0.20877228752153,-0.0175341956279985,"False"
"arithmetic_mixed","independent",0.25,-0.185998812317848,-0.174671071408382,-0.0113277409094662,"False"
"arithmetic_mixed","independent",0.5,-0.132577463984489,-0.127039374343714,-0.00553808964077551,"False"
"arithmetic_mixed","independent",0.75,-0.0814832374453545,-0.07987162991235,-0.00161160753300442,"False"
"arithmetic_mixed","independent",1,-0.0381853245198727,-0.0391248497906043,0.000939525270731607,"True"
"arithmetic_mixed","independent",1.25,-0.00294962688349187,-0.00563972944571594,0.00269010256222407,"True"
