"condition","E","B","N","W","n_prompts","candidate_pair_accuracy","candidate_pair_accuracy_ci_low","candidate_pair_accuracy_ci_high","candidate_margin_mean","candidate_margin_ci_low","candidate_margin_ci_high"
"0000",0,0,0,0,53,0.471698113207547,0.339622641509434,0.60377358490566,0.0424067659198113,-0.226329011737176,0.336863161482901
"0001",0,0,0,1,53,0.60377358490566,0.471698113207547,0.735849056603774,0.191125257959906,-0.0999922842349646,0.4647084362102
"0010",0,0,1,0,53,0.528301886792453,0.39622641509434,0.660377358490566,0.461633070459906,-1.44499143204599,2.44327726544074
"0011",0,0,1,1,53,0.60377358490566,0.471698113207547,0.735849056603774,1.20047169811321,-0.700471698113208,3.05672169811321
"0100",0,1,0,0,53,0.528301886792453,0.39622641509434,0.660377358490566,0.0451314674233491,-0.165065779775943,0.252938324550413
"0101",0,1,0,1,53,0.39622641509434,0.264150943396226,0.528301886792453,0.0224056603773585,-0.0188679245283019,0.0613207547169811
"0110",0,1,1,0,53,0.547169811320755,0.415094339622642,0.679245283018868,0.434754569575472,-1.54346900795991,2.45060159935141
"0111",0,1,1,1,53,0.528301886792453,0.39622641509434,0.660377358490566,0.141509433962264,-0.226415094339623,0.509433962264151
"1000",1,0,0,0,53,0.452830188679245,0.320754716981132,0.584905660377358,-0.0409108287883255,-0.282081056990713,0.20604262441959
"1001",1,0,0,1,53,0.547169811320755,0.415094339622642,0.679245283018868,0.0621499115566038,-0.301457127984965,0.42474791328862
"1010",1,0,1,0,53,0.509433962264151,0.377358490566038,0.641509433962264,-0.139980100235849,-1.93956045474646,1.60570552034198
"1011",1,0,1,1,53,0.528301886792453,0.39622641509434,0.660377358490566,0.299528301886792,-2.27382075471698,2.83490566037736
"1100",1,1,0,0,53,0.584905660377358,0.452830188679245,0.716981132075472,0.113806382665094,-0.0804492302660672,0.304668268167747
"1101",1,1,0,1,53,0.886792452830189,0.792452830188679,0.962264150943396,0.475235849056604,0.378537735849057,0.576650943396226
"1110",1,1,1,0,53,0.566037735849057,0.433962264150943,0.69811320754717,0.888082252358491,-1.07881504274764,2.79841907429245
"1111",1,1,1,1,53,0.849056603773585,0.735849056603774,0.943396226415094,3.15094339622642,2.42452830188679,3.89622641509434
