task,model,horizon,cutoff_layers,feature_model,balanced_accuracy,roc_auc
lexical_category,qwen,0.25,7,prompt_only,0.6580246913580248,0.6471965020576133
lexical_category,qwen,0.25,7,current_margin,0.5219135802469136,0.47808641975308647
lexical_category,qwen,0.25,7,current_hidden,0.7731481481481481,0.8243827160493827
lexical_category,qwen,0.25,7,unordered_prefix,0.5058641975308642,0.5119341563786008
lexical_category,qwen,0.25,7,ordered_prefix,0.5314814814814814,0.5359567901234568
lexical_category,qwen,0.5,14,prompt_only,0.6580246913580248,0.6471965020576133
lexical_category,qwen,0.5,14,current_margin,0.3682098765432099,0.38991769547325106
lexical_category,qwen,0.5,14,current_hidden,0.8179012345679013,0.8567901234567901
lexical_category,qwen,0.5,14,unordered_prefix,0.38981481481481484,0.3961934156378601
lexical_category,qwen,0.5,14,ordered_prefix,0.6228395061728396,0.6493827160493827
lexical_category,qwen,0.75,21,prompt_only,0.6580246913580248,0.6471965020576133
lexical_category,qwen,0.75,21,current_margin,0.5842592592592593,0.6723251028806584
lexical_category,qwen,0.75,21,current_hidden,0.7932098765432098,0.8469650205761315
lexical_category,qwen,0.75,21,unordered_prefix,0.5623456790123457,0.6218621399176956
lexical_category,qwen,0.75,21,ordered_prefix,0.5848765432098766,0.6778292181069959
lexical_category,llama,0.25,4,prompt_only,0.6200851349837571,0.61983309062395
lexical_category,llama,0.25,4,current_margin,0.6078469810686682,0.5568780105298532
lexical_category,llama,0.25,4,current_hidden,0.6103394197378739,0.6509745715245883
lexical_category,llama,0.25,4,unordered_prefix,0.6536910496247339,0.6938221126918338
lexical_category,llama,0.25,4,ordered_prefix,0.5895037526604683,0.6182648146073709
lexical_category,llama,0.5,8,prompt_only,0.6200851349837571,0.61983309062395
lexical_category,llama,0.5,8,current_margin,0.5607426907135655,0.531869609051193
lexical_category,llama,0.5,8,current_hidden,0.58692729920466,0.5861431611963706
lexical_category,llama,0.5,8,unordered_prefix,0.5426795115940406,0.5138344348605355
lexical_category,llama,0.5,8,ordered_prefix,0.5939565363503976,0.6047944438221127
lexical_category,llama,0.75,12,prompt_only,0.6200851349837571,0.61983309062395
lexical_category,llama,0.75,12,current_margin,0.6910216198050857,0.7659908143833314
lexical_category,llama,0.75,12,current_hidden,0.5793659684104402,0.5923042455472163
lexical_category,llama,0.75,12,unordered_prefix,0.6511706060266607,0.7218550464881819
lexical_category,llama,0.75,12,ordered_prefix,0.6271423770583622,0.6976867928755461
lexical_category,gemma,0.25,6,prompt_only,0.5511049723756907,0.5465846308387745
lexical_category,gemma,0.25,6,current_margin,0.26443997990959317,0.25477147162230035
lexical_category,gemma,0.25,6,current_hidden,0.47287795077850325,0.5277498744349574
lexical_category,gemma,0.25,6,unordered_prefix,0.4279256654947263,0.27561526870919134
lexical_category,gemma,0.25,6,ordered_prefix,0.3533400301356102,0.2047965846308388
lexical_category,gemma,0.5,13,prompt_only,0.5511049723756907,0.5465846308387745
lexical_category,gemma,0.5,13,current_margin,0.4193872425916625,0.3587393269713711
lexical_category,gemma,0.5,13,current_hidden,0.6307132094424912,0.7998493219487695
lexical_category,gemma,0.5,13,unordered_prefix,0.41398794575590153,0.28842290306378704
lexical_category,gemma,0.5,13,ordered_prefix,0.39339527875439473,0.35999497739829234
lexical_category,gemma,0.75,19,prompt_only,0.5511049723756907,0.5465846308387745
lexical_category,gemma,0.75,19,current_margin,0.8524610748367655,0.9401054746358614
lexical_category,gemma,0.75,19,current_hidden,0.8194374686087393,0.9335760924158716
lexical_category,gemma,0.75,19,unordered_prefix,0.9283023606228026,0.98041185334003
lexical_category,gemma,0.75,19,ordered_prefix,0.8972877950778504,0.9790306378704168
arithmetic_addition,qwen,0.25,7,prompt_only,0.5859060402684564,0.5968156504355278
arithmetic_addition,qwen,0.25,7,current_margin,0.6744395259174639,0.7578466371555048
arithmetic_addition,qwen,0.25,7,current_hidden,0.6679708696273026,0.7402256175924604
arithmetic_addition,qwen,0.25,7,unordered_prefix,0.707339711552192,0.7895758960445525
arithmetic_addition,qwen,0.25,7,ordered_prefix,0.8161073825503355,0.855262030558332
arithmetic_addition,qwen,0.5,14,prompt_only,0.5859060402684564,0.5968156504355278
arithmetic_addition,qwen,0.5,14,current_margin,0.6588890475510496,0.7477366842781664
arithmetic_addition,qwen,0.5,14,current_hidden,0.8138940454091104,0.8830215621876341
arithmetic_addition,qwen,0.5,14,unordered_prefix,0.7512066257318293,0.7908039411680708
arithmetic_addition,qwen,0.5,14,ordered_prefix,0.8088247893759817,0.8607168356418677
arithmetic_addition,qwen,0.75,21,prompt_only,0.5859060402684564,0.5968156504355278
