task,model,horizon,contrast,balanced_accuracy_difference,p,order_null_mean,order_null_q95,q
lexical_category,qwen,0.25,ordered_vs_current_margin,0.009567901234567903,0.4586554134458655,,,0.5896998172875414
lexical_category,qwen,0.25,ordered_vs_current_hidden,-0.24166666666666667,0.999680003199968,,,1.0
lexical_category,qwen,0.25,ordered_vs_unordered_prefix,0.025617283950617284,0.36496635033649666,,,0.5972176641869945
lexical_category,qwen,0.25,ordered_vs_order_shuffle,-0.01877908058812583,0.78,0.5502605620696073,0.5957407407407407,0.9112500000000001
lexical_category,qwen,0.5,ordered_vs_current_margin,0.2546296296296296,0.001009989900100999,,,0.0030299697003029966
lexical_category,qwen,0.5,ordered_vs_current_hidden,-0.19506172839506172,0.998690013099869,,,1.0
lexical_category,qwen,0.5,ordered_vs_unordered_prefix,0.23302469135802467,0.0003099969000309997,,,0.001979980200197998
lexical_category,qwen,0.5,ordered_vs_order_shuffle,0.11668527824306718,0.015,0.5061542279297724,0.5691358024691358,0.024545454545454547
lexical_category,qwen,0.75,ordered_vs_current_margin,0.000617283950617286,0.4982350176498235,,,0.5978820211797882
lexical_category,qwen,0.75,ordered_vs_current_hidden,-0.20833333333333334,1.0,,,1.0
lexical_category,qwen,0.75,ordered_vs_unordered_prefix,0.02253086419753086,0.3994460055399446,,,0.5991690083099169
lexical_category,qwen,0.75,ordered_vs_order_shuffle,-0.020671257522178688,0.78,0.6055478007320553,0.6540123456790123,0.9112500000000001
lexical_category,llama,0.25,ordered_vs_current_margin,-0.018343228408199835,0.6330636693633064,,,0.676750879550028
lexical_category,llama,0.25,ordered_vs_current_hidden,-0.02083566707740562,0.6524534754652453,,,0.9033971198749551
lexical_category,llama,0.25,ordered_vs_unordered_prefix,-0.06418729696426571,0.936920630793692,,,0.992580074199258
lexical_category,llama,0.25,ordered_vs_order_shuffle,0.04784606914937639,0.01,0.5416576835110919,0.5678139352526045,0.018
lexical_category,llama,0.5,ordered_vs_current_margin,0.03321384563683208,0.2776272237277627,,,0.4164408355916441
lexical_category,llama,0.5,ordered_vs_current_hidden,0.007029237145737652,0.45517544824551753,,,0.7448325516744831
lexical_category,llama,0.5,ordered_vs_unordered_prefix,0.05127702475635712,0.18423815761842383,,,0.3316286837131629
lexical_category,llama,0.5,ordered_vs_order_shuffle,0.07417112446966534,0.005,0.5197854118807322,0.5487957880586982,0.01
lexical_category,llama,0.75,ordered_vs_current_margin,-0.06387924274672342,0.980710192898071,,,0.980710192898071
lexical_category,llama,0.75,ordered_vs_current_hidden,0.04777640864792203,0.1920180798192018,,,0.3840361596384036
lexical_category,llama,0.75,ordered_vs_unordered_prefix,-0.024028228968298423,0.7699523004769953,,,0.989938672041851
lexical_category,llama,0.75,ordered_vs_order_shuffle,-0.03046218546524493,0.99,0.6576045625236071,0.6860087375378066,0.99
lexical_category,gemma,0.25,ordered_vs_current_margin,0.08890005022601709,0.08307916920830792,,,0.14954250457495427
lexical_category,gemma,0.25,ordered_vs_current_hidden,-0.11953792064289304,0.9289207107928921,,,1.0
lexical_category,gemma,0.25,ordered_vs_unordered_prefix,-0.074585635359116,0.8613813861861381,,,0.992580074199258
lexical_category,gemma,0.25,ordered_vs_order_shuffle,-0.05499054791789193,0.81,0.40833057805350215,0.5119286790557509,0.9112500000000001
lexical_category,gemma,0.5,ordered_vs_current_margin,-0.025991963837267727,0.6391536084639153,,,0.676750879550028
lexical_category,gemma,0.5,ordered_vs_current_hidden,-0.23731793068809642,0.982630173698263,,,1.0
lexical_category,gemma,0.5,ordered_vs_unordered_prefix,-0.020592667001506762,0.6021139788602115,,,0.8336962784218312
lexical_category,gemma,0.5,ordered_vs_order_shuffle,-0.06018603817682089,0.89,0.4535813169312156,0.5452159718734304,0.9423529411764706
lexical_category,gemma,0.75,ordered_vs_current_margin,0.044826720241084875,0.25923740762592373,,,0.4164408355916441
lexical_category,gemma,0.75,ordered_vs_current_hidden,0.077850326469111,0.11476885231147689,,,0.258229917700823
lexical_category,gemma,0.75,ordered_vs_unordered_prefix,-0.031014565544952286,0.975450245497545,,,0.992580074199258
lexical_category,gemma,0.75,ordered_vs_order_shuffle,0.012861267664288079,0.335,0.8844265274135623,0.933965344048217,0.5025000000000001
arithmetic_addition,qwen,0.25,ordered_vs_current_margin,0.14166785663287162,0.00043999560004399956,,,0.002609973900260997
arithmetic_addition,qwen,0.25,ordered_vs_current_hidden,0.14813651292303298,0.004309956900430996,,,0.015515844841551584
arithmetic_addition,qwen,0.25,ordered_vs_unordered_prefix,0.10876767099814365,0.001969980300196998,,,0.007091929080709193
arithmetic_addition,qwen,0.25,ordered_vs_order_shuffle,0.0884244153797692,0.005,0.7276829671705664,0.743904041125232,0.01
arithmetic_addition,qwen,0.5,ordered_vs_current_margin,0.1499357418249322,0.0008399916000839992,,,0.003023969760302397
arithmetic_addition,qwen,0.5,ordered_vs_current_hidden,-0.005069256033128657,0.5392346076539235,,,0.8088519114808852
arithmetic_addition,qwen,0.5,ordered_vs_unordered_prefix,0.05761816364415251,9.99990000099999e-06,,,0.00017999820001799984
arithmetic_addition,qwen,0.5,ordered_vs_order_shuffle,0.0808033455869952,0.005,0.7280214437889865,0.744528059403113,0.01
arithmetic_addition,qwen,0.75,ordered_vs_current_margin,0.16450092817363987,0.0033699663003369964,,,0.007582424175758242
arithmetic_addition,qwen,0.75,ordered_vs_current_hidden,0.0426388690561188,0.2144678553214468,,,0.3860421395786042
arithmetic_addition,qwen,0.75,ordered_vs_unordered_prefix,0.07905183492788806,0.06541934580654193,,,0.13083869161308387
arithmetic_addition,qwen,0.75,ordered_vs_order_shuffle,0.08350132785877129,0.005,0.7163987149800121,0.7352977295444809,0.01
arithmetic_addition,llama,0.25,ordered_vs_current_margin,0.02033120698865601,0.33600663993360064,,,0.4652399629849855
arithmetic_addition,llama,0.25,ordered_vs_current_hidden,0.16389089652138392,0.01160988390116099,,,0.03482965170348297
arithmetic_addition,llama,0.25,ordered_vs_unordered_prefix,-0.04124375451717312,0.992580074199258,,,0.992580074199258
arithmetic_addition,llama,0.25,ordered_vs_order_shuffle,-0.008893886520873973,0.81,0.6435763488908579,0.656617855010527,0.9112500000000001
arithmetic_addition,llama,0.5,ordered_vs_current_margin,0.09430286270936115,0.012289877101228988,,,0.024579754202457976
arithmetic_addition,llama,0.5,ordered_vs_current_hidden,0.24513716494359428,0.0001999980000199998,,,0.0011999880001199988
arithmetic_addition,llama,0.5,ordered_vs_unordered_prefix,0.08727964051157969,0.019029809701902982,,,0.04281707182928171
arithmetic_addition,llama,0.5,ordered_vs_order_shuffle,0.09751132875829993,0.005,0.6898280169979142,0.708641548565503,0.01
arithmetic_addition,llama,0.75,ordered_vs_current_margin,0.17232819030261132,0.00027999720002799973,,,0.002519974800251998
arithmetic_addition,llama,0.75,ordered_vs_current_hidden,0.22571724853093678,0.0001799982000179998,,,0.0011999880001199988
arithmetic_addition,llama,0.75,ordered_vs_unordered_prefix,0.13356691700970996,0.003909960900390996,,,0.01005418517243399
arithmetic_addition,llama,0.75,ordered_vs_order_shuffle,0.19967456615004764,0.005,0.5889060202183023,0.6197577224020363,0.01
arithmetic_addition,gemma,0.25,ordered_vs_current_margin,0.14239473397889238,0.0005799942000579994,,,0.002609973900260997
arithmetic_addition,gemma,0.25,ordered_vs_current_hidden,0.16793602437166794,0.0010999890001099988,,,0.004949950500494994
