task,model,horizon,passes_incremental_ordered_path_gate
arithmetic_addition,gemma,0.25,True
arithmetic_addition,gemma,0.5,True
arithmetic_addition,gemma,0.75,True
arithmetic_addition,llama,0.25,False
arithmetic_addition,llama,0.5,True
arithmetic_addition,llama,0.75,True
arithmetic_addition,qwen,0.25,True
arithmetic_addition,qwen,0.5,False
arithmetic_addition,qwen,0.75,False
lexical_category,gemma,0.25,False
lexical_category,gemma,0.5,False
lexical_category,gemma,0.75,False
lexical_category,llama,0.25,False
lexical_category,llama,0.5,False
lexical_category,llama,0.75,False
lexical_category,qwen,0.25,False
lexical_category,qwen,0.5,False
lexical_category,qwen,0.75,False
