task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.25,0,0.5496913580246914
lexical_category,qwen,0.25,1,0.5401234567901234
lexical_category,qwen,0.25,2,0.538888888888889
lexical_category,qwen,0.25,3,0.5654320987654321
lexical_category,qwen,0.25,4,0.5645061728395062
lexical_category,qwen,0.25,5,0.5475308641975309
lexical_category,qwen,0.25,6,0.508641975308642
lexical_category,qwen,0.25,7,0.5975308641975309
lexical_category,qwen,0.25,8,0.5722222222222222
lexical_category,qwen,0.25,9,0.5361111111111112
lexical_category,qwen,0.25,10,0.5765432098765433
lexical_category,qwen,0.25,11,0.5756172839506173
lexical_category,qwen,0.25,12,0.5719135802469135
lexical_category,qwen,0.25,13,0.5469135802469136
lexical_category,qwen,0.25,14,0.5506172839506173
lexical_category,qwen,0.25,15,0.5950617283950617
lexical_category,qwen,0.25,16,0.47870370370370374
lexical_category,qwen,0.25,17,0.549074074074074
lexical_category,qwen,0.25,18,0.55
lexical_category,qwen,0.25,19,0.5092592592592593
lexical_category,qwen,0.25,20,0.5348765432098765
lexical_category,qwen,0.25,21,0.5339506172839505
lexical_category,qwen,0.25,22,0.5487654320987654
lexical_category,qwen,0.25,23,0.5734567901234568
lexical_category,qwen,0.25,24,0.5401234567901234
lexical_category,qwen,0.25,25,0.5774691358024692
lexical_category,qwen,0.25,26,0.5697530864197531
lexical_category,qwen,0.25,27,0.5558641975308642
lexical_category,qwen,0.25,28,0.5398148148148147
lexical_category,qwen,0.25,29,0.5506172839506173
lexical_category,qwen,0.25,30,0.5030864197530864
lexical_category,qwen,0.25,31,0.5222222222222223
lexical_category,qwen,0.25,32,0.5481481481481482
lexical_category,qwen,0.25,33,0.567283950617284
lexical_category,qwen,0.25,34,0.5873456790123457
lexical_category,qwen,0.25,35,0.5768518518518518
lexical_category,qwen,0.25,36,0.582716049382716
lexical_category,qwen,0.25,37,0.5712962962962963
lexical_category,qwen,0.25,38,0.5629629629629629
lexical_category,qwen,0.25,39,0.5330246913580248
lexical_category,qwen,0.25,40,0.5459876543209876
lexical_category,qwen,0.25,41,0.6450617283950617
lexical_category,qwen,0.25,42,0.5354938271604939
lexical_category,qwen,0.25,43,0.5567901234567901
lexical_category,qwen,0.25,44,0.575
lexical_category,qwen,0.25,45,0.5268518518518519
lexical_category,qwen,0.25,46,0.5506172839506173
lexical_category,qwen,0.25,47,0.5049382716049382
lexical_category,qwen,0.25,48,0.6018518518518519
lexical_category,qwen,0.25,49,0.5145061728395062
lexical_category,qwen,0.25,50,0.5629629629629629
lexical_category,qwen,0.25,51,0.5780864197530864
lexical_category,qwen,0.25,52,0.5802469135802469
lexical_category,qwen,0.25,53,0.5632716049382716
lexical_category,qwen,0.25,54,0.5358024691358025
lexical_category,qwen,0.25,55,0.5496913580246914
lexical_category,qwen,0.25,56,0.5719135802469135
lexical_category,qwen,0.25,57,0.5354938271604939
lexical_category,qwen,0.25,58,0.528395061728395
lexical_category,qwen,0.25,59,0.483641975308642
lexical_category,qwen,0.25,60,0.5719135802469135
lexical_category,qwen,0.25,61,0.5459876543209876
lexical_category,qwen,0.25,62,0.557716049382716
lexical_category,qwen,0.25,63,0.549074074074074
lexical_category,qwen,0.25,64,0.5725308641975309
lexical_category,qwen,0.25,65,0.5231481481481481
lexical_category,qwen,0.25,66,0.5123456790123457
lexical_category,qwen,0.25,67,0.5506172839506173
lexical_category,qwen,0.25,68,0.5685185185185185
lexical_category,qwen,0.25,69,0.5432098765432098
lexical_category,qwen,0.25,70,0.5614197530864198
lexical_category,qwen,0.25,71,0.5929012345679012
lexical_category,qwen,0.25,72,0.5641975308641975
lexical_category,qwen,0.25,73,0.5601851851851851
lexical_category,qwen,0.25,74,0.5780864197530864
lexical_category,qwen,0.25,75,0.5666666666666667
lexical_category,qwen,0.25,76,0.5660493827160493
lexical_category,qwen,0.25,77,0.5166666666666667
lexical_category,qwen,0.25,78,0.533641975308642
lexical_category,qwen,0.25,79,0.5469135802469136
lexical_category,qwen,0.25,80,0.5734567901234568
