task,gamma,metric,null_index,value
relation_graph,0.0,future_alignment,0,-0.16475419700145721
relation_graph,0.0,future_alignment,1,-0.1641208827495575
relation_graph,0.0,future_alignment,2,-0.1645355522632599
relation_graph,0.0,future_alignment,3,-0.16480761766433716
relation_graph,0.0,future_alignment,4,-0.16325074434280396
relation_graph,0.0,future_alignment,5,-0.16419126093387604
relation_graph,0.0,future_alignment,6,-0.16505339741706848
relation_graph,0.0,future_alignment,7,-0.16267740726470947
relation_graph,0.0,future_alignment,8,-0.16398459672927856
relation_graph,0.0,future_alignment,9,-0.16402435302734375
relation_graph,0.0,future_alignment,10,-0.16407310962677002
relation_graph,0.0,future_alignment,11,-0.16393369436264038
relation_graph,0.0,future_alignment,12,-0.1638268530368805
relation_graph,0.0,future_alignment,13,-0.16338559985160828
relation_graph,0.0,future_alignment,14,-0.16503497958183289
relation_graph,0.0,future_alignment,15,-0.16377444565296173
relation_graph,0.0,future_alignment,16,-0.16450482606887817
relation_graph,0.0,future_alignment,17,-0.16332563757896423
relation_graph,0.0,future_alignment,18,-0.16344325244426727
relation_graph,0.0,future_alignment,19,-0.16313225030899048
relation_graph,0.0,future_alignment,20,-0.16414770483970642
relation_graph,0.0,future_alignment,21,-0.16397683322429657
relation_graph,0.0,future_alignment,22,-0.16322728991508484
relation_graph,0.0,future_alignment,23,-0.16408473253250122
relation_graph,0.0,future_alignment,24,-0.16379962861537933
relation_graph,0.0,future_alignment,25,-0.16369904577732086
relation_graph,0.0,future_alignment,26,-0.163287952542305
relation_graph,0.0,future_alignment,27,-0.16357898712158203
relation_graph,0.0,future_alignment,28,-0.1642076075077057
relation_graph,0.0,future_alignment,29,-0.1643255650997162
relation_graph,0.0,future_alignment,30,-0.1640741378068924
relation_graph,0.0,future_alignment,31,-0.1649712771177292
relation_graph,0.0,future_alignment,32,-0.16467560827732086
relation_graph,0.0,future_alignment,33,-0.16540588438510895
relation_graph,0.0,future_alignment,34,-0.16391809284687042
relation_graph,0.0,future_alignment,35,-0.16361497342586517
relation_graph,0.0,future_alignment,36,-0.16411210596561432
relation_graph,0.0,future_alignment,37,-0.1623426377773285
relation_graph,0.0,future_alignment,38,-0.1643807291984558
