task,task_scope,gamma,n_prompts,real_future_alignment,real_future_alignment_ci95_low,real_future_alignment_ci95_high,donor_future_alignment_mean,donor_future_alignment_q95,donor_future_alignment_p,effect_future_alignment,real_leave_one_out_alignment,real_leave_one_out_alignment_ci95_low,real_leave_one_out_alignment_ci95_high,donor_leave_one_out_alignment_mean,donor_leave_one_out_alignment_q95,donor_leave_one_out_alignment_p,effect_leave_one_out_alignment,passes_joint_direction_gate
relation_graph,original,0.0,96,-0.22505362331867218,-0.22565774619579315,-0.2244657278060913,-0.16415119972360792,-0.1631978690624237,1.0,-0.06090242359506426,-0.3837449550628662,-0.3844996392726898,-0.382991224527359,-0.2614121258857861,-0.25929603576660154,1.0,-0.1223328291770801,False
relation_graph,original,0.25,96,-0.19009025394916534,-0.19069722294807434,-0.1894765943288803,-0.14908221783350462,-0.14837070256471635,1.0,-0.04100803611566073,-0.3266391158103943,-0.3276560306549072,-0.32565805315971375,-0.23871576127095437,-0.23721918165683747,1.0,-0.08792335453943992,False
relation_graph,original,0.5,96,-0.14173740148544312,-0.14253529906272888,-0.14096198976039886,-0.12010157853364944,-0.11962277516722679,1.0,-0.02163582295179367,-0.22454631328582764,-0.22603890299797058,-0.22305966913700104,-0.18016816016717171,-0.1791904553771019,1.0,-0.04437815311865592,False
relation_graph,original,0.75,96,-0.09688133001327515,-0.09785114228725433,-0.0958908349275589,-0.08860783361310336,-0.08831562250852584,1.0,-0.00827349640017179,-0.13716410100460052,-0.1387041062116623,-0.13566626608371735,-0.12000673166920792,-0.11951481699943542,1.0,-0.017157369335392608,False
relation_graph,original,1.0,96,-0.06012523174285889,-0.06121789664030075,-0.059060804545879364,-0.06062686392784718,-0.06031903252005577,0.015,0.0005016321849882904,-0.07436034083366394,-0.07586242258548737,-0.07283870875835419,-0.07253073062279716,-0.07207020968198777,1.0,-0.0018296102108667778,False
relation_graph,original,1.25,96,-0.031076395884156227,-0.03230014815926552,-0.0299154594540596,-0.03764686795260439,-0.037308895587921144,0.005,0.006570472068448165,-0.030631668865680695,-0.03206654265522957,-0.02912093512713909,-0.038169823249979834,-0.03772516809403896,0.005,0.007538154384299139,True
lexical_category,original,0.0,96,-0.22469384968280792,-0.22535517811775208,-0.22406631708145142,-0.20311927435985164,-0.20277398377656936,1.0,-0.021574575322956285,-0.3725384473800659,-0.37326303124427795,-0.3718087077140808,-0.3346429362368943,-0.3340787172317505,1.0,-0.037895511143171634,False
lexical_category,original,0.25,96,-0.19144904613494873,-0.19188672304153442,-0.19100961089134216,-0.1776447552232886,-0.1773920550942421,1.0,-0.013804290911660133,-0.3260231018066406,-0.32662931084632874,-0.3253730535507202,-0.2982004223456934,-0.29769101142883303,1.0,-0.02782267946094724,False
lexical_category,original,0.5,96,-0.1452273726463318,-0.1456782966852188,-0.1447797268629074,-0.1388335937081869,-0.1386223167181015,1.0,-0.006393778938144884,-0.23816943168640137,-0.23884794116020203,-0.23749995231628418,-0.22453366512030212,-0.22413445115089417,1.0,-0.013635766566099244,False
lexical_category,original,0.75,96,-0.09923321008682251,-0.09981810301542282,-0.09866440296173096,-0.09808320218893751,-0.09791977852582931,1.0,-0.001150007897884997,-0.15259906649589539,-0.1534094214439392,-0.1518126130104065,-0.14892101385186066,-0.1486564040184021,1.0,-0.0036780526440347294,False
lexical_category,original,1.0,96,-0.05905239284038544,-0.05977362394332886,-0.05834358185529709,-0.061397090741437885,-0.0611967708915472,0.005,0.0023446979010524477,-0.08426645398139954,-0.08513646572828293,-0.0833682045340538,-0.08653504981766993,-0.08626978918910026,0.005,0.0022685958362703984,True
lexical_category,original,1.25,96,-0.025583958253264427,-0.026386337354779243,-0.024804608896374702,-0.030378956104343262,-0.030172791704535483,0.005,0.004794997851078835,-0.03273758664727211,-0.03365181386470795,-0.03183038905262947,-0.03872184979556194,-0.03842940144240856,0.005,0.005984263148289828,True
arithmetic_addition,original,0.0,96,-0.22607706487178802,-0.22639086842536926,-0.22577916085720062,-0.21068094041778815,-0.21043682843446732,1.0,-0.015396124453999877,-0.3756045401096344,-0.37590041756629944,-0.3753012716770172,-0.3489306813208901,-0.34854973256587984,1.0,-0.026673858788744287,False
arithmetic_addition,original,0.25,96,-0.18594390153884888,-0.18632404506206512,-0.18556442856788635,-0.1761282185963051,-0.17595989853143693,1.0,-0.009815682942543785,-0.31853950023651123,-0.3189912438392639,-0.3181149661540985,-0.299406607546399,-0.2991066038608551,1.0,-0.019132892690112258,False
arithmetic_addition,original,0.5,96,-0.13267050683498383,-0.13312849402427673,-0.13222810626029968,-0.1279712624136527,-0.1278690740466118,1.0,-0.004699244421331128,-0.21945802867412567,-0.2200743705034256,-0.21884307265281677,-0.21022524965468364,-0.21002424955368043,1.0,-0.009232779019442028,False
arithmetic_addition,original,0.75,96,-0.08175810426473618,-0.08228836953639984,-0.08121830970048904,-0.08049135920989453,-0.08039586022496223,1.0,-0.0012667450548416448,-0.1276908963918686,-0.1284034252166748,-0.12695209681987762,-0.12487290286688349,-0.12472164332866668,1.0,-0.002817993524985102,False
arithmetic_addition,original,1.0,96,-0.03866206482052803,-0.03927096351981163,-0.03804238885641098,-0.03960665276077525,-0.03950156979262829,0.005,0.0009445879402472171,-0.056894559413194656,-0.05771013721823692,-0.056135278195142746,-0.05773176247225934,-0.057579556852579115,0.005,0.0008372030590646853,True
