task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,direction_only,0,-0.1645500659942627,-0.26204735040664673
relation_graph,direction_only,1,-0.16465525329113007,-0.2621684968471527
relation_graph,direction_only,2,-0.16365724802017212,-0.26067498326301575
relation_graph,direction_only,3,-0.16276642680168152,-0.25819551944732666
relation_graph,direction_only,4,-0.16398924589157104,-0.2610832452774048
relation_graph,direction_only,5,-0.16461314260959625,-0.262459397315979
relation_graph,direction_only,6,-0.163890078663826,-0.26103276014328003
relation_graph,direction_only,7,-0.16414819657802582,-0.2613540291786194
relation_graph,direction_only,8,-0.1636076271533966,-0.259880930185318
relation_graph,direction_only,9,-0.16401779651641846,-0.26087817549705505
relation_graph,direction_only,10,-0.16483640670776367,-0.26299652457237244
relation_graph,direction_only,11,-0.16439692676067352,-0.2622365653514862
relation_graph,direction_only,12,-0.16434542834758759,-0.2615489661693573
relation_graph,direction_only,13,-0.1639266312122345,-0.2609739899635315
relation_graph,direction_only,14,-0.16397418081760406,-0.26196739077568054
relation_graph,direction_only,15,-0.16382546722888947,-0.2605535387992859
relation_graph,direction_only,16,-0.1647191196680069,-0.262073278427124
relation_graph,direction_only,17,-0.16441115736961365,-0.26168718934059143
relation_graph,direction_only,18,-0.16404199600219727,-0.26124492287635803
relation_graph,direction_only,19,-0.16454251110553741,-0.261973112821579
relation_graph,direction_only,20,-0.1648510843515396,-0.26303598284721375
relation_graph,direction_only,21,-0.164555624127388,-0.2625800669193268
relation_graph,direction_only,22,-0.16403734683990479,-0.2613498866558075
relation_graph,direction_only,23,-0.16486361622810364,-0.2632458209991455
relation_graph,direction_only,24,-0.16442319750785828,-0.26150521636009216
relation_graph,direction_only,25,-0.16380654275417328,-0.26080232858657837
relation_graph,direction_only,26,-0.165061354637146,-0.2629130482673645
relation_graph,direction_only,27,-0.16403008997440338,-0.26155441999435425
relation_graph,direction_only,28,-0.16432780027389526,-0.26162612438201904
relation_graph,direction_only,29,-0.1639183610677719,-0.2614886462688446
relation_graph,direction_only,30,-0.1645992249250412,-0.26235127449035645
relation_graph,direction_only,31,-0.16334259510040283,-0.26008838415145874
relation_graph,direction_only,32,-0.16432736814022064,-0.26144465804100037
relation_graph,direction_only,33,-0.16486643254756927,-0.2625092566013336
relation_graph,direction_only,34,-0.16386745870113373,-0.26181939244270325
relation_graph,direction_only,35,-0.16386790573596954,-0.260970801115036
relation_graph,direction_only,36,-0.1643432229757309,-0.26182806491851807
relation_graph,direction_only,37,-0.16375267505645752,-0.2604588568210602
relation_graph,direction_only,38,-0.16440972685813904,-0.26156285405158997
relation_graph,direction_only,39,-0.16459713876247406,-0.262424498796463
relation_graph,direction_only,40,-0.16334019601345062,-0.26013636589050293
relation_graph,direction_only,41,-0.16349920630455017,-0.26031410694122314
relation_graph,direction_only,42,-0.1650547981262207,-0.2631725072860718
relation_graph,direction_only,43,-0.16419246792793274,-0.2617318630218506
relation_graph,direction_only,44,-0.16357290744781494,-0.2600240111351013
relation_graph,direction_only,45,-0.16481484472751617,-0.26244163513183594
relation_graph,direction_only,46,-0.16366659104824066,-0.26114895939826965
relation_graph,direction_only,47,-0.16389420628547668,-0.26119083166122437
relation_graph,direction_only,48,-0.16508053243160248,-0.2638132870197296
relation_graph,direction_only,49,-0.16383205354213715,-0.260956734418869
relation_graph,direction_only,50,-0.1637432873249054,-0.2611567974090576
relation_graph,direction_only,51,-0.1649402529001236,-0.26403215527534485
relation_graph,direction_only,52,-0.1638251692056656,-0.26117581129074097
relation_graph,direction_only,53,-0.16456817090511322,-0.26208603382110596
relation_graph,direction_only,54,-0.16423314809799194,-0.261356920003891
relation_graph,direction_only,55,-0.16380839049816132,-0.26063549518585205
relation_graph,direction_only,56,-0.16496947407722473,-0.2633335292339325
relation_graph,direction_only,57,-0.16423268616199493,-0.26137733459472656
relation_graph,direction_only,58,-0.16474011540412903,-0.26137322187423706
relation_graph,direction_only,59,-0.1629975438117981,-0.259034663438797
relation_graph,direction_only,60,-0.16435745358467102,-0.2613394856452942
relation_graph,direction_only,61,-0.16393013298511505,-0.2615867257118225
relation_graph,direction_only,62,-0.16445711255073547,-0.26225659251213074
relation_graph,direction_only,63,-0.16447708010673523,-0.2619597315788269
relation_graph,direction_only,64,-0.1648503690958023,-0.2630612850189209
relation_graph,direction_only,65,-0.16512475907802582,-0.263458251953125
relation_graph,direction_only,66,-0.16382931172847748,-0.26085713505744934
relation_graph,direction_only,67,-0.1642860323190689,-0.2617747485637665
relation_graph,direction_only,68,-0.16300207376480103,-0.25895369052886963
relation_graph,direction_only,69,-0.1630677580833435,-0.25817856192588806
relation_graph,direction_only,70,-0.16360150277614594,-0.2606765925884247
relation_graph,direction_only,71,-0.16313807666301727,-0.2592754065990448
relation_graph,direction_only,72,-0.16387644410133362,-0.2606891989707947
relation_graph,direction_only,73,-0.1637655645608902,-0.2604077160358429
relation_graph,direction_only,74,-0.16390769183635712,-0.26102930307388306
relation_graph,direction_only,75,-0.16431041061878204,-0.26137569546699524
relation_graph,direction_only,76,-0.16242356598377228,-0.25780415534973145
relation_graph,direction_only,77,-0.16348803043365479,-0.2609567642211914
relation_graph,direction_only,78,-0.1648896336555481,-0.26274189352989197
relation_graph,direction_only,79,-0.16421890258789062,-0.26174232363700867
relation_graph,direction_only,80,-0.16420456767082214,-0.2618277668952942
relation_graph,direction_only,81,-0.16396655142307281,-0.2614191770553589
relation_graph,direction_only,82,-0.1640898883342743,-0.26073524355888367
relation_graph,direction_only,83,-0.16334785521030426,-0.2596908211708069
relation_graph,direction_only,84,-0.16378818452358246,-0.2613600492477417
relation_graph,direction_only,85,-0.16297315061092377,-0.25893107056617737
relation_graph,direction_only,86,-0.16497181355953217,-0.2633013427257538
relation_graph,direction_only,87,-0.16481122374534607,-0.26189473271369934
relation_graph,direction_only,88,-0.16463932394981384,-0.2621261775493622
relation_graph,direction_only,89,-0.16419647634029388,-0.2613125443458557
