task,task_scope,representation,n_prompts,n_states,real_future_alignment,real_future_alignment_ci95_low,real_future_alignment_ci95_high,donor_future_alignment_mean,donor_future_alignment_q95,donor_future_alignment_p,real_leave_one_out_alignment,real_leave_one_out_alignment_ci95_low,real_leave_one_out_alignment_ci95_high,donor_leave_one_out_alignment_mean,donor_leave_one_out_alignment_q95,donor_leave_one_out_alignment_p,passes_joint_direction_gate
relation_graph,original,direction_only,96,16,-0.22505362331867218,-0.22566759586334229,-0.22445328533649445,-0.16411644527361022,-0.16301504224538804,1.0,-0.3837449550628662,-0.38446566462516785,-0.38300439715385437,-0.26136572786312007,-0.2589791715145111,1.0,False
relation_graph,original,norm_only_fixed_direction,96,16,0.988095223903656,0.9791666865348816,0.995535671710968,0.9546126016420335,0.9553798139095306,0.005,0.9888889193534851,0.980555534362793,0.9958333969116211,0.9589171999662964,0.9595579326152801,0.005,True
lexical_category,original,direction_only,96,16,-0.22469384968280792,-0.22533835470676422,-0.22405794262886047,-0.2031297125109476,-0.20281760543584823,1.0,-0.3725384473800659,-0.37324631214141846,-0.3718077838420868,-0.33466468893702905,-0.33413547873497007,1.0,False
lexical_category,original,norm_only_fixed_direction,96,16,0.9836309552192688,0.973214328289032,0.9925594925880432,0.9830266249239744,0.9830348789691925,0.005,0.9847223162651062,0.9763889312744141,0.993055522441864,0.9841818114620956,0.9841882586479187,0.005,True
arithmetic_addition,original,direction_only,96,16,-0.22607706487178802,-0.2263931781053543,-0.22577837109565735,-0.2106765632952877,-0.2104459211230278,1.0,-0.3756045401096344,-0.37590292096138,-0.3753107190132141,-0.34891916878858403,-0.3485394328832626,1.0,False
arithmetic_addition,original,norm_only_fixed_direction,96,16,1.0,1.0,1.0,0.999252647610765,0.9992647707462311,0.005,1.0,1.0,1.0,0.9993298383214366,0.9993398010730743,0.005,True
arc_challenge,original,direction_only,96,16,-0.22712616622447968,-0.22794269025325775,-0.22631719708442688,-0.19234230245777112,-0.1920127272605896,1.0,-0.3723229467868805,-0.3733338415622711,-0.37126344442367554,-0.30691362865007105,-0.3063323050737381,1.0,False
arc_challenge,original,norm_only_fixed_direction,96,16,0.9360119700431824,0.921130895614624,0.9494047164916992,0.9314308669698897,0.9314890682697297,0.005,0.9402778148651123,0.9277777671813965,0.9527778625488281,0.9361867386492053,0.9362310349941254,0.005,True
lexical_disjoint,independent,direction_only,96,16,-0.2248111516237259,-0.22540916502475739,-0.22422921657562256,-0.20313874950361013,-0.20279873609542848,1.0,-0.37294530868530273,-0.3736707270145416,-0.3722282350063324,-0.33487707091935315,-0.3342388927936554,1.0,False
lexical_disjoint,independent,norm_only_fixed_direction,96,16,0.9866071343421936,0.9776785969734192,0.9940476417541504,0.9859996390103096,0.9860090374946594,0.005,0.987500011920929,0.9791666865348816,0.9944444298744202,0.9869568979919855,0.9869639456272126,0.005,True
addition_disjoint,independent,direction_only,96,16,-0.22629620134830475,-0.22659631073474884,-0.22600890696048737,-0.21051402157874563,-0.21026353538036346,1.0,-0.37591564655303955,-0.37621259689331055,-0.3756258487701416,-0.34862139851004637,-0.3482205867767334,1.0,False
addition_disjoint,independent,norm_only_fixed_direction,96,16,1.0,1.0,1.0,0.9992353685537175,0.9992482364177704,0.005,1.0,1.0,1.0,0.9993144495403348,0.9993250072002411,0.005,True
arithmetic_mixed,independent,direction_only,96,16,-0.2263064831495285,-0.22659829258918762,-0.2260074019432068,-0.2087652172575045,-0.2084729015827179,1.0,-0.3758109509944916,-0.37614527344703674,-0.37547364830970764,-0.3458943778845533,-0.34542409479618075,1.0,False
arithmetic_mixed,independent,norm_only_fixed_direction,96,16,1.0,1.0,1.0,0.9992137329662265,0.9992277204990387,0.005,1.0,1.0,1.0,0.9992951870563641,0.9993067502975463,0.005,True
