task,model,horizon,cutoff_layers,feature_model,balanced_accuracy,roc_auc
arithmetic_mixed,qwen,0.25,7,prompt_only,0.5883800984669575,0.5866589280710883
arithmetic_mixed,qwen,0.25,7,current_margin,0.5813152944001921,0.6079734219269103
arithmetic_mixed,qwen,0.25,7,current_hidden,0.8400712484489452,0.8403314253692511
arithmetic_mixed,qwen,0.25,7,unordered_prefix,0.6853860625225152,0.6411559860705279
arithmetic_mixed,qwen,0.25,7,ordered_prefix,0.8672897570347837,0.8759956770604012
arithmetic_mixed,qwen,0.5,14,prompt_only,0.5883800984669575,0.5866589280710883
arithmetic_mixed,qwen,0.5,14,current_margin,0.7036384741624304,0.7273345875195132
arithmetic_mixed,qwen,0.5,14,current_hidden,0.8427730856982748,0.8770363847416244
arithmetic_mixed,qwen,0.5,14,unordered_prefix,0.7279550094063963,0.783612856742585
arithmetic_mixed,qwen,0.5,14,ordered_prefix,0.8706120161709963,0.8884841692350799
arithmetic_mixed,qwen,0.75,21,prompt_only,0.5883800984669575,0.5866589280710883
arithmetic_mixed,qwen,0.75,21,current_margin,0.42616979546091344,0.3672097025977665
arithmetic_mixed,qwen,0.75,21,current_hidden,0.8701917303766562,0.8376496017291758
arithmetic_mixed,qwen,0.75,21,unordered_prefix,0.8423728135131889,0.8818396509626546
arithmetic_mixed,qwen,0.75,21,ordered_prefix,0.9117399831885682,0.9535684265300404
arithmetic_mixed,llama,0.25,4,prompt_only,0.6511811023622047,0.6812235009085403
arithmetic_mixed,llama,0.25,4,current_margin,0.5588734100545124,0.6197153240460327
arithmetic_mixed,llama,0.25,4,current_hidden,0.8329800121138704,0.8642640823743185
arithmetic_mixed,llama,0.25,4,unordered_prefix,0.6517262265293762,0.6331920048455482
arithmetic_mixed,llama,0.25,4,ordered_prefix,0.6129921259842519,0.6473349485160509
arithmetic_mixed,llama,0.5,8,prompt_only,0.6511811023622047,0.6812235009085403
arithmetic_mixed,llama,0.5,8,current_margin,0.6219261053906724,0.6775590551181102
arithmetic_mixed,llama,0.5,8,current_hidden,0.8585705632949727,0.9123561477892187
arithmetic_mixed,llama,0.5,8,unordered_prefix,0.6357964869775894,0.7088431253785585
arithmetic_mixed,llama,0.5,8,ordered_prefix,0.7814354936402181,0.8599636583888552
arithmetic_mixed,llama,0.75,12,prompt_only,0.6511811023622047,0.6812235009085403
arithmetic_mixed,llama,0.75,12,current_margin,0.5080557238037553,0.4682919442761963
arithmetic_mixed,llama,0.75,12,current_hidden,0.8502422774076317,0.8991823137492428
arithmetic_mixed,llama,0.75,12,unordered_prefix,0.602695336159903,0.6457601453664445
arithmetic_mixed,llama,0.75,12,ordered_prefix,0.8169594185342217,0.8825560266505148
arithmetic_mixed,gemma,0.25,6,prompt_only,0.5991797676008201,0.6408885850991114
arithmetic_mixed,gemma,0.25,6,current_margin,0.6954613807245387,0.7344907723855092
arithmetic_mixed,gemma,0.25,6,current_hidden,0.8272317156527683,0.8933697881066303
arithmetic_mixed,gemma,0.25,6,unordered_prefix,0.7121394395078606,0.7502665755297334
arithmetic_mixed,gemma,0.25,6,ordered_prefix,0.7637047163362953,0.8492686261107314
arithmetic_mixed,gemma,0.5,13,prompt_only,0.5991797676008201,0.6408885850991114
arithmetic_mixed,gemma,0.5,13,current_margin,0.5512645249487355,0.4982911825017089
arithmetic_mixed,gemma,0.5,13,current_hidden,0.8625153793574847,0.9127546138072453
arithmetic_mixed,gemma,0.5,13,unordered_prefix,0.713069036226931,0.7314832535885167
arithmetic_mixed,gemma,0.5,13,ordered_prefix,0.7943403964456596,0.8409022556390977
arithmetic_mixed,gemma,0.75,19,prompt_only,0.5991797676008201,0.6408885850991114
arithmetic_mixed,gemma,0.75,19,current_margin,0.7198496240601504,0.7950512645249487
arithmetic_mixed,gemma,0.75,19,current_hidden,0.8443745727956254,0.8970881749829118
arithmetic_mixed,gemma,0.75,19,unordered_prefix,0.8873000683526999,0.9533834586466166
arithmetic_mixed,gemma,0.75,19,ordered_prefix,0.9069036226930964,0.9753110047846889
