task,model,horizon,contrast,balanced_accuracy_difference,p,order_null_mean,order_null_q95,q
arithmetic_mixed,qwen,0.25,ordered_vs_current_margin,0.28597446263459153,9.99990000099999e-06,,,1.7999820001799984e-05
arithmetic_mixed,qwen,0.25,ordered_vs_current_hidden,0.02721850858583837,0.31528684713152866,,,0.7197678023219768
arithmetic_mixed,qwen,0.25,ordered_vs_unordered_prefix,0.18190369451226837,4.999950000499995e-05,,,0.0003599964000359997
arithmetic_mixed,qwen,0.25,ordered_vs_order_shuffle,0.29957456497554025,0.005,0.5677151920592435,0.6125185125885603,0.005625
arithmetic_mixed,qwen,0.5,ordered_vs_current_margin,0.16697354200856585,0.0004699953000469995,,,0.0006042796714889994
arithmetic_mixed,qwen,0.5,ordered_vs_current_hidden,0.027838930472721447,0.3198968010319897,,,0.7197678023219768
arithmetic_mixed,qwen,0.5,ordered_vs_unordered_prefix,0.14265700676459991,0.0013199868001319986,,,0.0023759762402375977
arithmetic_mixed,qwen,0.5,ordered_vs_order_shuffle,0.24841123119500153,0.005,0.6222007849759947,0.6646959932754273,0.005625
arithmetic_mixed,qwen,0.75,ordered_vs_current_margin,0.4855701877276548,9.99990000099999e-06,,,1.7999820001799984e-05
arithmetic_mixed,qwen,0.75,ordered_vs_current_hidden,0.041548252811912094,0.2129478705212948,,,0.7197678023219768
arithmetic_mixed,qwen,0.75,ordered_vs_unordered_prefix,0.06936716967537926,0.0008799912000879991,,,0.001979980200197998
arithmetic_mixed,qwen,0.75,ordered_vs_order_shuffle,0.14716932136968708,0.005,0.7645706618188811,0.7830344634351359,0.005625
arithmetic_mixed,llama,0.25,ordered_vs_current_margin,0.05411871592973956,0.12649873501264988,,,0.12649873501264988
arithmetic_mixed,llama,0.25,ordered_vs_current_hidden,-0.2199878861296184,1.0,,,1.0
arithmetic_mixed,llama,0.25,ordered_vs_unordered_prefix,-0.03873410054512417,0.8859711402885971,,,0.8859711402885971
arithmetic_mixed,llama,0.25,ordered_vs_order_shuffle,-0.01938508411226325,0.98,0.6323772100965152,0.6499485160508783,0.98
arithmetic_mixed,llama,0.5,ordered_vs_current_margin,0.15950938824954572,0.00015999840001599985,,,0.0002399976000239998
arithmetic_mixed,llama,0.5,ordered_vs_current_hidden,-0.0771350696547547,0.9851001489985101,,,1.0
arithmetic_mixed,llama,0.5,ordered_vs_unordered_prefix,0.1456390066626287,0.00021999780002199978,,,0.0006599934000659993
arithmetic_mixed,llama,0.5,ordered_vs_order_shuffle,0.19926358016612444,0.005,0.5821719134740937,0.6129194427619624,0.005625
arithmetic_mixed,llama,0.75,ordered_vs_current_margin,0.3089036947304664,9.99990000099999e-06,,,1.7999820001799984e-05
arithmetic_mixed,llama,0.75,ordered_vs_current_hidden,-0.03328285887341005,0.7883221167788322,,,1.0
arithmetic_mixed,llama,0.75,ordered_vs_unordered_prefix,0.2142640823743186,7.999920000799993e-05,,,0.0003599964000359997
arithmetic_mixed,llama,0.75,ordered_vs_order_shuffle,0.32431265960328604,0.005,0.4926467589309357,0.5425075711689885,0.005625
arithmetic_mixed,gemma,0.25,ordered_vs_current_margin,0.06824333561175666,0.018919810801891982,,,0.02128478715212848
arithmetic_mixed,gemma,0.25,ordered_vs_current_hidden,-0.06352699931647299,0.938040619593804,,,1.0
arithmetic_mixed,gemma,0.25,ordered_vs_unordered_prefix,0.051565276828434724,0.017349826501734982,,,0.022306919787944975
arithmetic_mixed,gemma,0.25,ordered_vs_order_shuffle,0.05128059985505107,0.005,0.7124241164812443,0.7288174982911826,0.005625
arithmetic_mixed,gemma,0.5,ordered_vs_current_margin,0.2430758714969241,9.99990000099999e-06,,,1.7999820001799984e-05
arithmetic_mixed,gemma,0.5,ordered_vs_current_hidden,-0.06817498291182501,0.988860111398886,,,1.0
arithmetic_mixed,gemma,0.5,ordered_vs_unordered_prefix,0.08127136021872863,0.005529944700552994,,,0.00829491705082949
arithmetic_mixed,gemma,0.5,ordered_vs_order_shuffle,0.09774408611753238,0.005,0.6965963103281272,0.7203144224196856,0.005625
arithmetic_mixed,gemma,0.75,ordered_vs_current_margin,0.18705399863294597,9.99990000099999e-06,,,1.7999820001799984e-05
arithmetic_mixed,gemma,0.75,ordered_vs_current_hidden,0.06252904989747095,0.04052959470405296,,,0.3647663523364766
arithmetic_mixed,gemma,0.75,ordered_vs_unordered_prefix,0.019603554340396446,0.24277757222427776,,,0.2731247687523125
arithmetic_mixed,gemma,0.75,ordered_vs_order_shuffle,0.0491049231117997,0.005,0.8577986995812967,0.8783321941216677,0.005625
