analysis,revision,null_index,final_accuracy,final_macro_f1,evidence_first_mean,evidence_final_mean,evidence_progress_mean,native_mean_prompt_spearman,shuffle_mean,shuffle_q95,shuffle_q99,real_minus_shuffle_mean,empirical_p_upper
within_checkpoint,step0,0,0.03773584905660377,0.028571428571428574,-31446.54654768366,-31446.58618294344,-0.03963525977021069,-0.3105950653120464,-0.08523418643487254,0.030030347011478997,0.06163346087874377,-0.22536087887717385,1.0
within_checkpoint,step143000,0,0.11320754716981132,0.09273182957393485,-31446.541269734254,-31446.54206829687,-0.0007985626106025492,-0.10040902493732681,-0.008972159915556143,0.0555482253595461,0.07008576329331045,-0.09143686502177067,1.0
final_metric_transfer,step0,0,0.16981132075471697,0.07713419037989311,-31446.539580645487,-31446.540210763633,-0.0006301181414866937,-0.03522892202137487,-0.04864451348156323,-0.011333949069798127,-0.003908167304393728,0.013415591460188357,0.37
final_metric_transfer,step143000,0,0.11320754716981132,0.09273182957393485,-31446.541269734254,-31446.54206829687,-0.0007985626106025492,-0.10040902493732681,-0.008972159915556143,0.0555482253595461,0.07008576329331045,-0.09143686502177067,1.0
within_checkpoint,step0,1,0.1509433962264151,0.14038342609771182,-9433.946227418546,-9433.954412665422,-0.008185246878279123,-0.1545058714870035,-0.0723916830263314,-0.029502572898799328,-0.021200686106346546,-0.08211418846067212,1.0
within_checkpoint,step143000,1,0.1509433962264151,0.11904761904761904,-9433.960756204335,-9433.963060625725,-0.0023044213830850702,-0.09024937326824117,-0.03552479538757412,0.022892202137485152,0.03394906979812636,-0.05472457788066706,0.95
final_metric_transfer,step0,1,0.18867924528301888,0.15205320994794677,-9433.961301816436,-9433.963520740523,-0.00221892408277091,-0.0006597176408497275,-0.03236348176313871,0.015608919382504288,0.038532787966750214,0.03170376412228899,0.14
final_metric_transfer,step143000,1,0.1509433962264151,0.11904761904761904,-9433.960756204335,-9433.963060625725,-0.0023044213830850702,-0.09024937326824117,-0.03552479538757412,0.022892202137485152,0.03394906979812636,-0.05472457788066706,0.95
within_checkpoint,step0,2,0.1509433962264151,0.11972789115646257,-9433.965239816158,-9433.97812316812,-0.012883351972904902,-0.23499142367066897,-0.10106740981526571,-0.022997756960021133,-7.652724633865873e-05,-0.13392401385540326,1.0
within_checkpoint,step143000,2,0.11320754716981132,0.10532212885154062,-9433.962997227756,-9433.963064190935,-6.696318398104431e-05,-0.07533975458503762,-0.003783713903782515,0.05515239477503626,0.07263755112811711,-0.07155604068125511,0.97
final_metric_transfer,step0,2,0.1509433962264151,0.08027210884353742,-9433.9617832084,-9433.961900211092,-0.00011700269418960722,0.058319039451114926,-0.002932078403776517,0.036429608127721336,0.03983111228394237,0.06125111785489144,0.02
final_metric_transfer,step143000,2,0.11320754716981132,0.10532212885154062,-9433.962997227756,-9433.963064190935,-6.696318398104431e-05,-0.07533975458503762,-0.003783713903782515,0.05515239477503626,0.07263755112811711,-0.07155604068125511,0.97
within_checkpoint,step0,3,0.2830188679245283,0.28520408163265304,0.0015183192994130065,0.029172319802094983,0.02765400050268198,-0.03430531732418524,-0.016003817032976552,-0.0002506927035228933,0.003831640058055156,-0.01830150029120869,0.98
within_checkpoint,step143000,3,0.09433962264150944,0.09803921568627451,0.0015033751195535744,-0.0023965848007407708,-0.0038999599202943457,-0.06689536878216125,-0.03314448082887191,-0.0010291595197255636,0.015735585169547428,-0.03375088795328934,0.93
final_metric_transfer,step0,3,0.1509433962264151,0.06406926406926407,-1.1207804396996315e-05,0.0015366674118939246,0.0015478752162909211,0.1589919514447816,0.036391091279599,0.134951840612218,0.153397545850376,0.1226008601651826,0.02
final_metric_transfer,step143000,3,0.09433962264150944,0.09803921568627451,0.0015033751195535744,-0.0023965848007407708,-0.0038999599202943457,-0.06689536878216125,-0.03314448082887191,-0.0010291595197255636,0.015735585169547428,-0.03375088795328934,0.93
within_checkpoint,step0,4,0.16981132075471697,0.1426482873851295,56603.77681492891,56603.785975046936,0.009160118041941117,-0.047763557197519464,-0.03166244847205396,0.014606148568412705,0.03776487663280114,-0.016101108725465503,0.71
within_checkpoint,step143000,4,0.1509433962264151,0.14718614718614717,56603.772914583846,56603.7726737031,-0.000240880744117919,-0.03958305845098299,-0.011912234896797505,0.013722126929674075,0.020736244887188286,-0.027670823554185486,0.96
final_metric_transfer,step0,4,0.1320754716981132,0.07006802721088436,56603.77335432768,56603.7731019659,-0.0002523617943556822,0.04406913840876105,-0.011531064704306555,0.04775036284470245,0.05550336455996833,0.0556002031130676,0.09
final_metric_transfer,step143000,4,0.1509433962264151,0.14718614718614717,56603.772914583846,56603.7726737031,-0.000240880744117919,-0.03958305845098299,-0.011912234896797505,0.013722126929674075,0.020736244887188286,-0.027670823554185486,0.96
within_checkpoint,step0,5,0.24528301886792453,0.234093637454982,22012.57893017521,22012.585271328768,0.006341153559048024,-0.09196463913445044,-0.008279123201936238,0.048080221665127314,0.059931389365351556,-0.08368551593251419,1.0
within_checkpoint,step143000,5,0.1509433962264151,0.14285714285714285,22012.57835034948,22012.584232796675,0.005882447193393394,0.03390948673967542,0.033501661288968324,0.08594801424990105,0.10036944187887577,0.0004078254507070972,0.52
final_metric_transfer,step0,5,0.07547169811320754,0.031746031746031744,22012.580173926195,22012.57971081645,-0.00046310973657879385,-0.02203456920438052,-0.038592815608253006,-0.0044992743105950915,0.006845230241456634,0.016558246403872486,0.24
final_metric_transfer,step143000,5,0.1509433962264151,0.14285714285714285,22012.57835034948,22012.584232796675,0.005882447193393394,0.03390948673967542,0.033501661288968324,0.08594801424990105,0.10036944187887577,0.0004078254507070972,0.52
within_checkpoint,step0,6,0.09433962264150944,0.0748299319727891,56603.77463051265,56603.70867204182,-0.06595847081981257,-0.41628183137617103,-0.15413269787197748,-0.021599155561419715,0.01037076131415742,-0.26214913350419355,1.0
within_checkpoint,step143000,6,0.0,0.0,56603.7732421395,56603.7674785662,-0.005763573296026624,-0.5180102915951972,-0.10518298168383933,0.09125214408233272,0.18330122707481175,-0.41282730991135785,1.0
final_metric_transfer,step0,6,0.09433962264150944,0.10966810966810966,56603.77235687589,56603.77218996397,-0.00016691191748939688,-0.03496503496503495,-0.030357673582373415,0.022206095791001454,0.0420688745217047,-0.004607361382661532,0.54
final_metric_transfer,step143000,6,0.0,0.0,56603.7732421395,56603.7674785662,-0.005763573296026624,-0.5180102915951972,-0.10518298168383933,0.09125214408233272,0.18330122707481175,-0.41282730991135785,1.0
within_checkpoint,step0,7,0.07547169811320754,0.06349206349206349,59748.42140599052,59748.389350628495,-0.032055362020511194,-0.34499479068568495,-0.1418329150904785,-0.031133071888798644,-0.009800050527337616,-0.20316187559520646,1.0
within_checkpoint,step143000,7,0.07547169811320754,0.06349206349206349,59748.42753049718,59748.42265938787,-0.00487110932575564,-0.34095538172418544,-0.07723231856301958,0.06993447106915297,0.1076489127155838,-0.26372306316116584,1.0
final_metric_transfer,step0,7,0.1320754716981132,0.044444444444444446,59748.428530624486,59748.426485539785,-0.002045084703516591,-0.0950963179832689,-0.021848015595895526,0.039076657182719056,0.04803477479965141,-0.07324830238737337,0.97
