prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,baseline_margin,strict_conflict_to_clean,top1_changed,margin_shift,model
g000_clean,0,clean,stable,none,4075,7640,5231, **,other,2,3,2.234375,other,5231,2.234375,False,False,0.0,gemma
g000_redundant,0,redundant,stable,none,4075,7640,5231, **,other,2,3,1.9609375,other,5231,1.9609375,False,False,0.0,gemma
g000_irrelevant,0,irrelevant,stable,none,4075,7640,5231, **,other,2,4,2.609375,other,5231,2.609375,False,False,0.0,gemma
g000_paraphrase,0,paraphrase,stable,none,4075,7640,5231, **,other,2,3,0.7734375,other,5231,0.7734375,False,False,0.0,gemma
g000_weak_distractor,0,weak_distractor,competition,none,4075,7640,5231, **,other,2,3,2.015625,other,5231,2.015625,False,False,0.0,gemma
g000_competition_balanced,0,competition_balanced,competition,none,4075,7640,5231, **,other,2,3,2.015625,other,5231,2.015625,False,False,0.0,gemma
g000_direct_conflict,0,direct_conflict,competition,none,4075,7640,5231, **,other,2,3,1.0234375,other,5231,1.0234375,False,False,0.0,gemma
g000_closure_update,0,closure_update,closure,none,4075,7640,5231, **,other,2,3,0.859375,other,5231,0.859375,False,False,0.0,gemma
g000_closure_override,0,closure_override,closure,none,4075,7640,5231, **,other,3,2,-2.03125,other,5231,-2.03125,False,False,0.0,gemma
g000_exception_override,0,exception_override,closure,none,4075,7640,5231, **,other,3,2,-2.7578125,other,5231,-2.7578125,False,False,0.0,gemma
g004_clean,4,clean,stable,none,38315,15934,38315, Copper,clean,1,3,1.9296875,clean,38315,1.9296875,False,False,0.0,gemma
g004_redundant,4,redundant,stable,none,38315,15934,5231, **,other,2,3,1.203125,other,5231,1.203125,False,False,0.0,gemma
g004_irrelevant,4,irrelevant,stable,none,38315,15934,38315, Copper,clean,1,3,2.7734375,clean,38315,2.7734375,False,False,0.0,gemma
g004_paraphrase,4,paraphrase,stable,none,38315,15934,38315, Copper,clean,1,3,1.328125,clean,38315,1.328125,False,False,0.0,gemma
g004_weak_distractor,4,weak_distractor,competition,none,38315,15934,5231, **,other,1,3,2.546875,other,5231,2.546875,False,False,0.0,gemma
g004_competition_balanced,4,competition_balanced,competition,none,38315,15934,38315, Copper,clean,1,3,3.375,clean,38315,3.375,False,False,0.0,gemma
g004_direct_conflict,4,direct_conflict,competition,none,38315,15934,5231, **,other,2,3,2.4140625,other,5231,2.4140625,False,False,0.0,gemma
g004_closure_update,4,closure_update,closure,none,38315,15934,5231, **,other,2,3,2.4765625,other,5231,2.4765625,False,False,0.0,gemma
g004_closure_override,4,closure_override,closure,none,38315,15934,38315, Copper,clean,1,3,0.1875,clean,38315,0.1875,False,False,0.0,gemma
g004_exception_override,4,exception_override,closure,none,38315,15934,5231, **,other,3,2,-0.734375,other,5231,-0.734375,False,False,0.0,gemma
g009_clean,9,clean,stable,none,5571,4589,5571, East,clean,1,6,4.0625,clean,5571,4.0625,False,False,0.0,gemma
g009_redundant,9,redundant,stable,none,5571,4589,5231, **,other,2,6,3.921875,other,5231,3.921875,False,False,0.0,gemma
g009_irrelevant,9,irrelevant,stable,none,5571,4589,5571, East,clean,1,6,4.8984375,clean,5571,4.8984375,False,False,0.0,gemma
g009_paraphrase,9,paraphrase,stable,none,5571,4589,5231, **,other,2,7,2.2265625,other,5231,2.2265625,False,False,0.0,gemma
g009_weak_distractor,9,weak_distractor,competition,none,5571,4589,5231, **,other,2,7,5.0078125,other,5231,5.0078125,False,False,0.0,gemma
g009_competition_balanced,9,competition_balanced,competition,none,5571,4589,5231, **,other,2,4,3.53125,other,5231,3.53125,False,False,0.0,gemma
g009_direct_conflict,9,direct_conflict,competition,none,5571,4589,5231, **,other,2,4,3.4296875,other,5231,3.4296875,False,False,0.0,gemma
g009_closure_update,9,closure_update,closure,none,5571,4589,5231, **,other,2,3,2.875,other,5231,2.875,False,False,0.0,gemma
g009_closure_override,9,closure_override,closure,none,5571,4589,5231, **,other,2,3,0.21875,other,5231,0.21875,False,False,0.0,gemma
g009_exception_override,9,exception_override,closure,none,5571,4589,5231, **,other,2,3,0.0703125,other,5231,0.0703125,False,False,0.0,gemma
g010_clean,10,clean,stable,none,38315,15934,38315, Copper,clean,1,3,2.75,clean,38315,2.75,False,False,0.0,gemma
g010_redundant,10,redundant,stable,none,38315,15934,5231, **,other,2,3,2.109375,other,5231,2.109375,False,False,0.0,gemma
