"file","bytes","format","backend","export_pass"
"extended_data1_lowdim_projection_orientation_aid.pdf",113296,"pdf","R",TRUE
"extended_data1_lowdim_projection_orientation_aid.png",372993,"png","R",TRUE
"extended_data1_lowdim_projection_orientation_aid.svg",264817,"svg","R",TRUE
"extended_data1_lowdim_projection_orientation_aid.tiff",27712474,"tiff","R",TRUE
"extended_data2_coordinate_cross_checkpoint_boundaries.pdf",46598,"pdf","R",TRUE
"extended_data2_coordinate_cross_checkpoint_boundaries.png",118046,"png","R",TRUE
"extended_data2_coordinate_cross_checkpoint_boundaries.svg",15887,"svg","R",TRUE
"extended_data2_coordinate_cross_checkpoint_boundaries.tiff",26101344,"tiff","R",TRUE
"extended_data3_transition_readback_diagnostics.pdf",41727,"pdf","R",TRUE
"extended_data3_transition_readback_diagnostics.png",135424,"png","R",TRUE
"extended_data3_transition_readback_diagnostics.svg",24047,"svg","R",TRUE
"extended_data3_transition_readback_diagnostics.tiff",44408754,"tiff","R",TRUE
"extended_data4_transition_predictive_boundary.pdf",38442,"pdf","R",TRUE
"extended_data4_transition_predictive_boundary.png",85900,"png","R",TRUE
"extended_data4_transition_predictive_boundary.svg",13383,"svg","R",TRUE
"extended_data4_transition_predictive_boundary.tiff",25115346,"tiff","R",TRUE
"extended_data5_intervention_candidate_choice_boundary.pdf",79428,"pdf","R",TRUE
"extended_data5_intervention_candidate_choice_boundary.png",226958,"png","R",TRUE
"extended_data5_intervention_candidate_choice_boundary.svg",120293,"svg","R",TRUE
"extended_data5_intervention_candidate_choice_boundary.tiff",48389316,"tiff","R",TRUE
"extended_data6_task_prediction_initialization_controls.pdf",55479,"pdf","R",TRUE
"extended_data6_task_prediction_initialization_controls.png",243930,"png","R",TRUE
"extended_data6_task_prediction_initialization_controls.svg",68272,"svg","R",TRUE
"extended_data6_task_prediction_initialization_controls.tiff",624560,"tiff","R",TRUE
"extended_data7_falsification_boundaries.pdf",51637,"pdf","R",TRUE
"extended_data7_falsification_boundaries.png",200458,"png","R",TRUE
"extended_data7_falsification_boundaries.svg",34635,"svg","R",TRUE
"extended_data7_falsification_boundaries.tiff",554710,"tiff","R",TRUE
"extended_data8_training_organized_coordinates.pdf",48496,"pdf","R",TRUE
"extended_data8_training_organized_coordinates.png",172894,"png","R",TRUE
"extended_data8_training_organized_coordinates.svg",32944,"svg","R",TRUE
"extended_data8_training_organized_coordinates.tiff",787532,"tiff","R",TRUE
"figure1_highdim_layer_vector_mechanism_view.pdf",65529,"pdf","R",TRUE
"figure1_highdim_layer_vector_mechanism_view.png",344955,"png","R",TRUE
"figure1_highdim_layer_vector_mechanism_view.svg",171107,"svg","R",TRUE
"figure1_highdim_layer_vector_mechanism_view.tiff",50604108,"tiff","R",TRUE
"figure2_coordinate_audit_functional_alignment.pdf",45738,"pdf","R",TRUE
"figure2_coordinate_audit_functional_alignment.png",163127,"png","R",TRUE
"figure2_coordinate_audit_functional_alignment.svg",31885,"svg","R",TRUE
"figure2_coordinate_audit_functional_alignment.tiff",39764058,"tiff","R",TRUE
"figure3_deltaU_construction_controls.pdf",53659,"pdf","R",TRUE
"figure3_deltaU_construction_controls.png",238149,"png","R",TRUE
"figure3_deltaU_construction_controls.svg",37659,"svg","R",TRUE
"figure3_deltaU_construction_controls.tiff",50604108,"tiff","R",TRUE
"figure4_transition_hidden_chord_geometry.pdf",88674,"pdf","R",TRUE
"figure4_transition_hidden_chord_geometry.png",279726,"png","R",TRUE
"figure4_transition_hidden_chord_geometry.svg",180636,"svg","R",TRUE
"figure4_transition_hidden_chord_geometry.tiff",50604108,"tiff","R",TRUE
"figure5_actuator_switch_internal_modulation.pdf",47441,"pdf","R",TRUE
"figure5_actuator_switch_internal_modulation.png",208321,"png","R",TRUE
"figure5_actuator_switch_internal_modulation.svg",32901,"svg","R",TRUE
"figure5_actuator_switch_internal_modulation.tiff",50604108,"tiff","R",TRUE
"review_only_highdim_compact_composite.pdf",57531,"pdf","R",TRUE
"review_only_highdim_compact_composite.png",354409,"png","R",TRUE
"review_only_highdim_compact_composite.svg",141948,"svg","R",TRUE
"review_only_highdim_compact_composite.tiff",55118670,"tiff","R",TRUE
"review_only_highdim_neighbourhood_diagnostics.pdf",45539,"pdf","R",TRUE
"review_only_highdim_neighbourhood_diagnostics.png",172730,"png","R",TRUE
"review_only_highdim_neighbourhood_diagnostics.svg",41597,"svg","R",TRUE
"review_only_highdim_neighbourhood_diagnostics.tiff",45938742,"tiff","R",TRUE
