"model_f","prompt_id","graph_id","control","margin"
"Qwen","g000_closure_update",0,"No intervention",-6.03125
"Qwen","g000_closure_update",0,"Mechanism-aware policy",-3.40625
"Qwen","g000_closure_override",0,"No intervention",-6.453125
"Qwen","g000_closure_override",0,"Mechanism-aware policy",-3.609375
"Qwen","g000_exception_override",0,"No intervention",-5.640625
"Qwen","g000_exception_override",0,"Mechanism-aware policy",-2.671875
"Qwen","g004_closure_update",4,"No intervention",-2.078125
"Qwen","g004_closure_update",4,"Mechanism-aware policy",-0.75
"Qwen","g004_closure_override",4,"No intervention",-6.984375
"Qwen","g004_closure_override",4,"Mechanism-aware policy",-2.78125
"Qwen","g004_exception_override",4,"No intervention",-5.671875
"Qwen","g004_exception_override",4,"Mechanism-aware policy",-2.28125
"Qwen","g009_closure_update",9,"No intervention",-4.140625
"Qwen","g009_closure_update",9,"Mechanism-aware policy",-2.390625
"Qwen","g009_closure_override",9,"No intervention",-2.953125
"Qwen","g009_closure_override",9,"Mechanism-aware policy",-2.53125
"Qwen","g009_exception_override",9,"No intervention",-3.21875
"Qwen","g009_exception_override",9,"Mechanism-aware policy",-1.5
"Qwen","g010_closure_update",10,"No intervention",-3.671875
"Qwen","g010_closure_update",10,"Mechanism-aware policy",-1.609375
"Qwen","g010_closure_override",10,"No intervention",-7.25
"Qwen","g010_closure_override",10,"Mechanism-aware policy",-3.421875
"Qwen","g010_exception_override",10,"No intervention",-6.484375
"Qwen","g010_exception_override",10,"Mechanism-aware policy",-2.8125
"Qwen","g011_closure_update",11,"No intervention",-6.171875
"Qwen","g011_closure_update",11,"Mechanism-aware policy",-3.09375
"Qwen","g011_closure_override",11,"No intervention",-6.34375
"Qwen","g011_closure_override",11,"Mechanism-aware policy",-2.40625
"Qwen","g011_exception_override",11,"No intervention",-6.015625
"Qwen","g011_exception_override",11,"Mechanism-aware policy",-1.65625
"Qwen","g012_closure_update",12,"No intervention",-6.328125
"Qwen","g012_closure_update",12,"Mechanism-aware policy",-3.421875
"Qwen","g012_closure_override",12,"No intervention",-6.65625
"Qwen","g012_closure_override",12,"Mechanism-aware policy",-3.5625
"Qwen","g012_exception_override",12,"No intervention",-5.28125
"Qwen","g012_exception_override",12,"Mechanism-aware policy",-2.140625
"Qwen","g015_closure_update",15,"No intervention",-5.234375
"Qwen","g015_closure_update",15,"Mechanism-aware policy",-3.234375
"Qwen","g015_closure_override",15,"No intervention",-3.90625
"Qwen","g015_closure_override",15,"Mechanism-aware policy",-3.1875
"Qwen","g015_exception_override",15,"No intervention",-4.46875
"Qwen","g015_exception_override",15,"Mechanism-aware policy",-3.234375
"Qwen","g018_closure_update",18,"No intervention",-5.8125
"Qwen","g018_closure_update",18,"Mechanism-aware policy",-3.203125
"Qwen","g018_closure_override",18,"No intervention",-6.9375
"Qwen","g018_closure_override",18,"Mechanism-aware policy",-3.171875
"Qwen","g018_exception_override",18,"No intervention",-5.046875
"Qwen","g018_exception_override",18,"Mechanism-aware policy",-2.46875
"Qwen","g022_closure_update",22,"No intervention",-3.640625
"Qwen","g022_closure_update",22,"Mechanism-aware policy",-1.671875
"Qwen","g022_closure_override",22,"No intervention",-8.65625
"Qwen","g022_closure_override",22,"Mechanism-aware policy",-3.953125
"Qwen","g022_exception_override",22,"No intervention",-5.109375
"Qwen","g022_exception_override",22,"Mechanism-aware policy",-2.5
"Qwen","g026_closure_update",26,"No intervention",-3.765625
"Qwen","g026_closure_update",26,"Mechanism-aware policy",-2.015625
"Qwen","g026_closure_override",26,"No intervention",-4.25
"Qwen","g026_closure_override",26,"Mechanism-aware policy",-2.640625
"Qwen","g026_exception_override",26,"No intervention",-4.125
"Qwen","g026_exception_override",26,"Mechanism-aware policy",-2.125
"Qwen","g030_closure_update",30,"No intervention",-6.5625
"Qwen","g030_closure_update",30,"Mechanism-aware policy",-3.90625
"Qwen","g030_closure_override",30,"No intervention",-6.546875
"Qwen","g030_closure_override",30,"Mechanism-aware policy",-3.421875
"Qwen","g030_exception_override",30,"No intervention",-4.484375
"Qwen","g030_exception_override",30,"Mechanism-aware policy",-1.5625
"Qwen","g031_closure_update",31,"No intervention",-5.59375
"Qwen","g031_closure_update",31,"Mechanism-aware policy",-3.078125
"Qwen","g031_closure_override",31,"No intervention",-4.921875
"Qwen","g031_closure_override",31,"Mechanism-aware policy",-2.09375
"Qwen","g031_exception_override",31,"No intervention",-2.453125
"Qwen","g031_exception_override",31,"Mechanism-aware policy",-0.828125
"Qwen","g033_closure_update",33,"No intervention",-6.3125
"Qwen","g033_closure_update",33,"Mechanism-aware policy",-3.3125
"Qwen","g033_closure_override",33,"No intervention",-3.1875
"Qwen","g033_closure_override",33,"Mechanism-aware policy",-2.453125
"Qwen","g033_exception_override",33,"No intervention",-2.71875
"Qwen","g033_exception_override",33,"Mechanism-aware policy",-1.546875
"Qwen","g039_closure_update",39,"No intervention",-6.1875
"Qwen","g039_closure_update",39,"Mechanism-aware policy",-3.390625
"Qwen","g039_closure_override",39,"No intervention",-4.671875
"Qwen","g039_closure_override",39,"Mechanism-aware policy",-2.140625
"Qwen","g039_exception_override",39,"No intervention",-3.671875
"Qwen","g039_exception_override",39,"Mechanism-aware policy",-1.703125
"Qwen","g040_closure_update",40,"No intervention",-6
"Qwen","g040_closure_update",40,"Mechanism-aware policy",-2.28125
"Qwen","g040_closure_override",40,"No intervention",-8.53125
"Qwen","g040_closure_override",40,"Mechanism-aware policy",-3.359375
"Qwen","g040_exception_override",40,"No intervention",-5.75
"Qwen","g040_exception_override",40,"Mechanism-aware policy",-1.96875
"Qwen","g042_closure_update",42,"No intervention",-5.71875
