"model","cutoff_layer","n_observed_layers","observed_layers","n_train","n_test","n_test_graphs","r2","r2_ci_low","r2_ci_high","mae","boundary_auroc","boundary_auroc_ci_low","boundary_auroc_ci_high","order_null_r2_mean","order_null_r2_q95","real_r2_vs_order_null_z","real_r2_exceeds_order_null_q95","is_earliest_order_informative_cutoff","model_label"
"gemma",18,1,"18",670,290,29,0.545889524131371,0.460957963954542,0.608085885084745,0.997683406555362,0.913941736028538,0.888659259225563,0.947803115752811,NA,NA,NA,"False",FALSE,"Gemma"
"gemma",19,2,"18;19",670,290,29,0.559444022543474,0.473698491959693,0.631513708551742,0.977458157419651,0.912232461355529,0.884538011471813,0.942806836543248,NA,NA,NA,"False",FALSE,"Gemma"
"gemma",20,3,"18;19;20",670,290,29,0.553872082916489,0.419557845840981,0.658802248480661,0.976262579275588,0.956970868014269,0.926014527963098,0.981870263756409,0.55064105442347,0.555567744572754,0.967511446810159,"False",FALSE,"Gemma"
"gemma",21,4,"18;19;20;21",670,290,29,0.713780589007829,0.652110943519966,0.763473722190967,0.780000728796486,0.983576099881094,0.963611159438492,0.996861704241879,0.635580750105036,0.650312571359411,9.8391237498251,"True",TRUE,"Gemma"
"gemma",22,5,"18;19;20;21;22",670,290,29,0.732252490021992,0.653421864981235,0.80023962731583,0.692549593428868,0.974732461355529,0.961120309353539,0.988022917406176,0.439264300139268,0.444872091070647,83.0743200985522,"True",FALSE,"Gemma"
"gemma",23,6,"18;19;20;21;22;23",670,290,29,0.730718042008555,0.647900253486188,0.809361004100288,0.696460803039749,0.986251486325803,0.974850784259769,0.996361491693327,0.620141539696943,0.632911414350353,14.8771678993932,"True",FALSE,"Gemma"
"llama",12,1,"12",670,290,29,-0.0020720150956197,-0.142281266535915,0.0191032081270685,0.761639274589367,0.479454228145328,0.321267090290284,0.64015341229442,NA,NA,NA,"False",FALSE,"Llama"
"llama",13,2,"12;13",670,290,29,0.411610542034761,0.246378857327975,0.507413107800266,0.560961028442705,0.878946533396795,0.816590433433206,0.931475617876087,NA,NA,NA,"False",FALSE,"Llama"
"llama",14,3,"12;13;14",670,290,29,0.39342699243707,0.207589642785241,0.506060940004447,0.571879975087585,0.837326140991063,0.754428218662766,0.902762085717609,0.29323123781179,0.300337220774963,19.7000675708855,"True",TRUE,"Llama"
"llama",15,4,"12;13;14;15",670,290,29,0.999885973551528,0.999846147506568,0.999908594929286,0.0081289693555844,0.998889417737585,0.996961530689611,1,0.999096553646884,0.999187237918853,12.0401837846066,"True",FALSE,"Llama"
"qwen",20,1,"20",670,290,29,-0.0211925745248378,-0.0704029649115093,-0.0007132840102583,2.55462085023574,0.58207095547249,0.522885540708451,0.669254398708636,NA,NA,NA,"False",FALSE,"Qwen"
"qwen",21,2,"20;21",670,290,29,0.116715531114256,-0.032836722622629,0.261912227067534,2.19934133707488,0.61735195750541,0.537402041536537,0.705719783795053,NA,NA,NA,"False",FALSE,"Qwen"
"qwen",22,3,"20;21;22",670,290,29,0.382577909098325,0.228421231557841,0.526080208446484,1.91717753821223,0.816315823988458,0.759182268275828,0.897652124147039,0.383152146874957,0.396230012371317,-0.0851601228983187,"False",FALSE,"Qwen"
"qwen",23,4,"20;21;22;23",670,290,29,0.413894657558064,0.284699385570157,0.537867932577865,1.87921932222526,0.776247622794937,0.716790702151626,0.860146139366649,0.409924116616473,0.41980573044883,0.581776516408656,"False",FALSE,"Qwen"
"qwen",24,5,"20;21;22;23;24",670,290,29,0.574332110760531,0.439228902644365,0.672548504909787,1.61966415411803,0.857170962030297,0.812833780961392,0.907402643185617,0.536364260834405,0.545954112198626,6.76857760464939,"True",TRUE,"Qwen"
"qwen",25,6,"20;21;22;23;24;25",670,290,29,0.842506301420383,0.796731908854545,0.878327218700096,0.985986324688248,0.983998950750869,0.973642073616532,0.993498048239355,0.585282406136014,0.605692888773438,21.3652447084272,"True",FALSE,"Qwen"
