"model_f","metric","value"
"Qwen","Chord alignment",0.0474375076591969
"Qwen","Detour ratio",11.8768606185913
"Qwen","Turning curvature",2.12568521499634
"Qwen","Chord alignment",0.043158020824194
"Qwen","Detour ratio",10.8185472488403
"Qwen","Turning curvature",2.11907935142517
"Qwen","Chord alignment",0.040004450827837
"Qwen","Detour ratio",10.5295066833496
"Qwen","Turning curvature",2.0887622833252
"Qwen","Chord alignment",0.0519620068371296
"Qwen","Detour ratio",10.600136756897
"Qwen","Turning curvature",2.10914015769958
"Qwen","Chord alignment",0.0472828447818756
"Qwen","Detour ratio",10.5342493057251
"Qwen","Turning curvature",2.07174611091614
"Qwen","Chord alignment",0.0370089374482632
"Qwen","Detour ratio",11.6563844680786
"Qwen","Turning curvature",2.1486074924469
"Qwen","Chord alignment",0.0442671179771423
"Qwen","Detour ratio",11.7895126342773
"Qwen","Turning curvature",2.14146876335144
"Qwen","Chord alignment",0.0389957316219807
"Qwen","Detour ratio",10.2904148101807
"Qwen","Turning curvature",2.02697682380676
"Qwen","Chord alignment",0.0359945334494114
"Qwen","Detour ratio",10.8112936019897
"Qwen","Turning curvature",2.06279063224792
"Qwen","Chord alignment",0.0483044497668743
"Qwen","Detour ratio",10.2027206420898
"Qwen","Turning curvature",2.02176856994629
"Qwen","Chord alignment",0.0235545095056295
"Qwen","Detour ratio",10.8041763305664
"Qwen","Turning curvature",1.94756090641022
"Qwen","Chord alignment",0.0492139756679535
"Qwen","Detour ratio",10.0044260025024
"Qwen","Turning curvature",2.03930020332336
"Qwen","Chord alignment",0.0393558964133263
"Qwen","Detour ratio",11.4378175735474
"Qwen","Turning curvature",2.05289149284363
"Qwen","Chord alignment",0.0429419241845608
"Qwen","Detour ratio",10.4392499923706
"Qwen","Turning curvature",2.01869320869446
"Qwen","Chord alignment",0.0476767159998417
"Qwen","Detour ratio",10.7015333175659
"Qwen","Turning curvature",2.08512163162231
"Qwen","Chord alignment",0.0500994734466076
"Qwen","Detour ratio",10.6503477096558
"Qwen","Turning curvature",2.13569450378418
"Qwen","Chord alignment",0.0326250903308392
"Qwen","Detour ratio",11.2557830810547
"Qwen","Turning curvature",2.07022547721863
"Qwen","Chord alignment",0.0481931008398533
"Qwen","Detour ratio",11.5994081497192
"Qwen","Turning curvature",2.10231566429138
"Qwen","Chord alignment",0.0356490202248096
"Qwen","Detour ratio",10.728367805481
"Qwen","Turning curvature",2.03836226463318
"Qwen","Chord alignment",0.0405823774635792
"Qwen","Detour ratio",10.665376663208
"Qwen","Turning curvature",2.03001046180725
"Qwen","Chord alignment",0.0470812134444714
"Qwen","Detour ratio",11.9394273757935
"Qwen","Turning curvature",2.23230028152466
"Qwen","Chord alignment",0.0426142327487469
"Qwen","Detour ratio",10.7578582763672
"Qwen","Turning curvature",2.01384711265564
"Qwen","Chord alignment",0.041177723556757
"Qwen","Detour ratio",10.2532501220703
"Qwen","Turning curvature",2.01143097877502
"Qwen","Chord alignment",0.0450358204543591
"Qwen","Detour ratio",11.8322343826294
"Qwen","Turning curvature",2.06683421134949
"Qwen","Chord alignment",0.0451087318360806
"Qwen","Detour ratio",10.9931631088257
"Qwen","Turning curvature",2.063969373703
"Qwen","Chord alignment",0.05132856965065
"Qwen","Detour ratio",12.0003080368042
"Qwen","Turning curvature",2.13257098197937
"Qwen","Chord alignment",0.0390304736793041
"Qwen","Detour ratio",11.200156211853
"Qwen","Turning curvature",2.07531714439392
"Qwen","Chord alignment",0.0442626364529133
"Qwen","Detour ratio",10.2529458999634
"Qwen","Turning curvature",1.95329761505127
"Qwen","Chord alignment",0.0526433102786541
"Qwen","Detour ratio",10.6593790054321
"Qwen","Turning curvature",2.03634858131409
"Qwen","Chord alignment",0.0381467938423157
"Qwen","Detour ratio",11.0997695922852
"Qwen","Turning curvature",2.08911991119385
"Qwen","Chord alignment",0.0459925383329391
"Qwen","Detour ratio",10.1506013870239
"Qwen","Turning curvature",1.97166693210602
"Qwen","Chord alignment",0.0454042665660381
"Qwen","Detour ratio",10.7839431762695
"Qwen","Turning curvature",2.11083579063416
"Qwen","Chord alignment",0.0372608713805676
