"model","action_label","n","share","action_display"
"Qwen","a0.0_b0.0",943,0.650344827586207,"none"
"Qwen","a0.3_b0.3",442,0.304827586206897,"0.3/0.3"
"Qwen","a0.0_b0.3",65,0.0448275862068966,"0.0/0.3"
"Llama","a0.0_b0.0",352,0.303448275862069,"none"
"Llama","a0.3_b0.3",253,0.218103448275862,"0.3/0.3"
"Llama","a0.1_b0.1",247,0.212931034482759,"0.1/0.1"
"Llama","a0.0_b0.3",129,0.111206896551724,"0.0/0.3"
"Llama","a0.3_b0.0",95,0.0818965517241379,"0.3/0.0"
"Gemma","a0.0_b0.0",885,0.610344827586207,"none"
"Gemma","a0.3_b0.3",307,0.211724137931034,"0.3/0.3"
"Gemma","a0.0_b0.3",211,0.14551724137931,"0.0/0.3"
"Gemma","a0.2_b0.3",34,0.023448275862069,"0.2/0.3"
"Gemma","a0.2_b0.2",11,0.00758620689655172,"0.2/0.2"
