"model","condition_label","condition_short","layer","R_mean","R_sd","n","R_z","R_z_clip"
"Qwen","Stable positive","Stable+",0,-0.0668352757477098,0.44924790267042,72,-0.492021049978546,-0.492021049978546
"Qwen","Stable positive","Stable+",1,0.000336739027665721,0.289918986872998,72,-0.447206554954377,-0.447206554954377
"Qwen","Stable positive","Stable+",2,-0.133832903371917,0.288694198067622,72,-0.536719200835512,-0.536719200835512
"Qwen","Stable positive","Stable+",3,-0.117850955782665,0.213764515145312,72,-0.526056681434983,-0.526056681434983
"Qwen","Stable positive","Stable+",4,-0.280773222032521,0.255221617831191,72,-0.634751933685432,-0.634751933685432
"Qwen","Stable positive","Stable+",5,-0.17588071566489,0.564731142327266,72,-0.564771827827302,-0.564771827827302
"Qwen","Stable positive","Stable+",6,-0.147356446832418,0.810649563289143,72,-0.545741570838055,-0.545741570838055
"Qwen","Stable positive","Stable+",7,-0.00163057777616713,0.864984036352343,72,-0.448519070432901,-0.448519070432901
"Qwen","Stable positive","Stable+",8,0.00615050726466709,0.774121834452293,72,-0.443327840156258,-0.443327840156258
"Qwen","Stable positive","Stable+",9,0.250599840655923,0.522954677033494,72,-0.280240973228759,-0.280240973228759
"Qwen","Stable positive","Stable+",10,0.256596937982572,0.777701897733377,72,-0.276239948557944,-0.276239948557944
"Qwen","Stable positive","Stable+",11,0.422381089068949,0.721422325840916,72,-0.165635360638543,-0.165635360638543
"Qwen","Stable positive","Stable+",12,0.616735548194912,0.870751192880545,72,-0.0359698002031233,-0.0359698002031233
"Qwen","Stable positive","Stable+",13,0.45489004937311,0.845317209862961,72,-0.143946676077517,-0.143946676077517
"Qwen","Stable positive","Stable+",14,0.4615576689442,1.06354096607057,72,-0.139498305649879,-0.139498305649879
"Qwen","Stable positive","Stable+",15,0.374032860828771,1.2491497829553,72,-0.197891374413659,-0.197891374413659
"Qwen","Stable positive","Stable+",16,0.40090114540524,1.53168031362639,72,-0.179965924217076,-0.179965924217076
"Qwen","Stable positive","Stable+",17,0.579020975364579,1.86661715645254,72,-0.0611314622746794,-0.0611314622746794
"Qwen","Stable positive","Stable+",18,0.470806017518044,1.66146740569855,72,-0.133328175536464,-0.133328175536464
"Qwen","Stable positive","Stable+",19,0.669480516264836,1.41872470103731,72,-0.000780456589954725,-0.000780456589954725
"Qwen","Stable positive","Stable+",20,1.39032865481244,1.8222491496175,72,0.480140733970567,0.480140733970567
"Qwen","Stable positive","Stable+",21,2.0486919913027,2.09313804307764,72,0.919374551296133,0.919374551296133
"Qwen","Stable positive","Stable+",22,3.17013713800245,2.1987130924806,72,1.6675581232005,1.6675581232005
"Qwen","Stable positive","Stable+",23,3.62267294194963,2.38279092509791,72,1.96947200209882,1.96947200209882
"Qwen","Stable positive","Stable+",24,4.4966317249669,2.75195826226943,72,2.55254252132959,2.5
"Qwen","Stable positive","Stable+",25,5.59530515886015,4.5001846488999,72,3.28553371269169,2.5
"Qwen","Stable positive","Stable+",26,7.88981678916348,5.73376536074831,72,4.81634055811655,2.5
"Qwen","Stable positive","Stable+",27,1.17063959191243,1.41222905603886,72,0.333572934134288,0.333572934134288
"Qwen","Weak positive","Weak+",0,-0.0652118596351809,0.449728430803205,72,-0.490937971355098,-0.490937971355098
"Qwen","Weak positive","Weak+",1,0.0024821302957005,0.293602032374799,72,-0.445775235280139,-0.445775235280139
"Qwen","Weak positive","Weak+",2,-0.139422357082367,0.299378197496003,72,-0.540448261908526,-0.540448261908526
"Qwen","Weak positive","Weak+",3,-0.111547334119678,0.229707191392405,72,-0.521851155925664,-0.521851155925664
"Qwen","Weak positive","Weak+",4,-0.264341428462002,0.244850753212435,72,-0.623789294948651,-0.623789294948651
"Qwen","Weak positive","Weak+",5,-0.168237262301975,0.584481879544581,72,-0.559672419928859,-0.559672419928859
"Qwen","Weak positive","Weak+",6,-0.104488643921084,0.822215847327601,72,-0.517141878738731,-0.517141878738731
"Qwen","Weak positive","Weak+",7,0.0148701647089587,0.871335936997299,72,-0.437510431724243,-0.437510431724243
"Qwen","Weak positive","Weak+",8,-0.00809400942590502,0.751022245180604,72,-0.452831214805448,-0.452831214805448
"Qwen","Weak positive","Weak+",9,0.221572867284218,0.488297299638663,72,-0.299606614680529,-0.299606614680529
"Qwen","Weak positive","Weak+",10,0.220764895694123,0.78745717348695,72,-0.300145661170724,-0.300145661170724
"Qwen","Weak positive","Weak+",11,0.415659465827048,0.706765005567177,72,-0.170119760166171,-0.170119760166171
"Qwen","Weak positive","Weak+",12,0.566755642907487,0.865191863449654,72,-0.0693144039685709,-0.0693144039685709
"Qwen","Weak positive","Weak+",13,0.437786959111691,0.834870347763048,72,-0.15535717725098,-0.15535717725098
"Qwen","Weak positive","Weak+",14,0.423254130201207,1.10589195696759,72,-0.165052902339379,-0.165052902339379
"Qwen","Weak positive","Weak+",15,0.322022152443727,1.28644352053765,72,-0.232590849186291,-0.232590849186291
"Qwen","Weak positive","Weak+",16,0.299321724308862,1.58700067022807,72,-0.247735671432554,-0.247735671432554
"Qwen","Weak positive","Weak+",17,0.523232758045197,1.85905353288598,72,-0.0983511406753814,-0.0983511406753814
"Qwen","Weak positive","Weak+",18,0.448061635096868,1.67604028270058,72,-0.148502322333311,-0.148502322333311
"Qwen","Weak positive","Weak+",19,0.632371141678757,1.39536643649471,72,-0.0255383544779226,-0.0255383544779226
"Qwen","Weak positive","Weak+",20,1.30750773267614,1.82955698246083,72,0.424885910732257,0.424885910732257
"Qwen","Weak positive","Weak+",21,1.73555235833757,2.07425427641646,72,0.710460250149847,0.710460250149847
"Qwen","Weak positive","Weak+",22,2.70661425342162,2.08643357908181,72,1.35831410135451,1.35831410135451
"Qwen","Weak positive","Weak+",23,3.13665926539236,2.12702947106772,72,1.6452230189086,1.6452230189086
"Qwen","Weak positive","Weak+",24,4.41675955222713,2.40596211932741,72,2.49925498633774,2.49925498633774
"Qwen","Weak positive","Weak+",25,5.28664687193102,4.09750119542517,72,3.07960918727721,2.5
"Qwen","Weak positive","Weak+",26,7.5961014231046,5.13469721273012,72,4.62038535482566,2.5
"Qwen","Weak positive","Weak+",27,1.07448698331912,1.02578940295421,72,0.269423740250869,0.269423740250869
"Qwen","Balanced competition","Balanced",0,-0.0660489652719763,0.452397711638459,72,-0.491496454921809,-0.491496454921809
"Qwen","Balanced competition","Balanced",1,-0.00990372316704856,0.298705501107758,72,-0.454038583792649,-0.454038583792649
"Qwen","Balanced competition","Balanced",2,-0.132357924762699,0.314616244405552,72,-0.53573515380693,-0.53573515380693
"Qwen","Balanced competition","Balanced",3,-0.132093609414167,0.27563758658801,72,-0.535558813125305,-0.535558813125305
"Qwen","Balanced competition","Balanced",4,-0.299786665373378,0.346153724850348,72,-0.647436946407479,-0.647436946407479
"Qwen","Balanced competition","Balanced",5,-0.214317325088713,0.653022690387703,72,-0.590415203979259,-0.590415203979259
"Qwen","Balanced competition","Balanced",6,-0.135907599495517,0.914368980669438,72,-0.538103355522827,-0.538103355522827
"Qwen","Balanced competition","Balanced",7,-0.00054682625664605,0.960313321873198,72,-0.447796034548963,-0.447796034548963
"Qwen","Balanced competition","Balanced",8,-0.00749321985575888,0.873043180769171,72,-0.452430391913773,-0.452430391913773
"Qwen","Balanced competition","Balanced",9,0.223411894092957,0.556433958725963,72,-0.298379689181195,-0.298379689181195
"Qwen","Balanced competition","Balanced",10,0.241740322775311,0.788299266644054,72,-0.286151690977883,-0.286151690977883
"Qwen","Balanced competition","Balanced",11,0.385706580761406,0.696152811971752,72,-0.190103133051776,-0.190103133051776
"Qwen","Balanced competition","Balanced",12,0.524140704009268,0.862091904911077,72,-0.0977453952615336,-0.0977453952615336
"Qwen","Balanced competition","Balanced",13,0.445247729619344,0.887069035719238,72,-0.150379648083367,-0.150379648083367
"Qwen","Balanced competition","Balanced",14,0.417469344205326,1.13697370803276,72,-0.168912281339625,-0.168912281339625
"Qwen","Balanced competition","Balanced",15,0.3261229975356,1.40289831840961,72,-0.229854928541672,-0.229854928541672
"Qwen","Balanced competition","Balanced",16,0.347675923671987,1.67770166119384,72,-0.215475673961839,-0.215475673961839
