"model","layer","condition_variance","condition_range","variance_share","variance_rank"
"Qwen",0,6.3737427370537e-06,0.00695807755821282,2.20908257702512e-07,28
"Qwen",1,3.99497095604872e-05,0.0144345824503236,1.3846214224216e-06,27
"Qwen",2,7.23042575052834e-05,0.0182016632623143,2.5060012945156e-06,26
"Qwen",3,0.000134497216757207,0.0295143508248859,4.66155397941368e-06,24
"Qwen",4,0.000156200461128156,0.0354452369113763,5.41376913748806e-06,23
"Qwen",5,0.000820570633054266,0.0758450023002095,2.84402487436541e-05,16
"Qwen",6,0.000949931134493686,0.0782209729982747,3.29237687361342e-05,15
"Qwen",7,0.00061287887252391,0.0705998746885194,2.12418369390481e-05,17
"Qwen",8,8.94691655564677e-05,0.0237081046733591,3.1009217498341e-06,25
"Qwen",9,0.000303858164941876,0.0428678087062306,1.05314539000395e-05,20
"Qwen",10,0.000298747149795989,0.0422170977625582,1.03543106582194e-05,21
"Qwen",11,0.000442403137590665,0.0532189533114433,1.53332995006409e-05,18
"Qwen",12,0.00318891634912319,0.149408097896311,0.00011052500606096,13
"Qwen",13,0.00181156702263954,0.100185888715916,6.27873027187193e-05,14
"Qwen",14,0.000294442722600494,0.0440883247388734,1.02051230377909e-05,22
"Qwen",15,0.000427943745946751,0.0520107083850437,1.48321498390886e-05,19
"Qwen",16,0.0116808220112268,0.313079100102186,0.000404846907929338,11
"Qwen",17,0.0083820155622087,0.24112718552351,0.000290513208686363,12
"Qwen",18,0.0135282131790114,0.328299365109868,0.000468875843675019,10
"Qwen",19,0.0193446356492904,0.342629325472646,0.000670467876328196,9
"Qwen",20,0.26256079411384,1.2807153314352,0.00910012373600885,8
"Qwen",21,0.342289933662835,1.63369403613938,0.0118634648422473,7
"Qwen",22,2.64730485034385,4.2100506466296,0.091753232946958,6
"Qwen",23,3.52728261405308,4.60335424873564,0.122252480032638,5
"Qwen",24,4.51208628333004,5.0163444214397,0.156384899826471,3
"Qwen",25,4.58748094194667,5.2992015125023,0.158998011676476,2
"Qwen",26,9.3037886491501,7.48088213470247,0.322461044523775,1
"Qwen",27,3.60706239436862,4.69190462844239,0.125017576302831,4
"Llama",0,8.7407675332564e-08,0.000698529824148864,6.05214591049483e-07,16
"Llama",1,4.73506420282939e-07,0.00202521291147504,3.27857929432977e-06,15
"Llama",2,3.44982391288789e-06,0.00516683101240132,2.38867326088619e-05,14
"Llama",3,5.27808220269774e-05,0.0195159398329755,0.000365456734740684,10
"Llama",4,4.17996513489898e-05,0.0142882971170669,0.000289422625655451,11
"Llama",5,2.74655021626426e-05,0.0138452265722056,0.000190172345804736,12
"Llama",6,2.34951699057346e-05,0.0144074114763902,0.000162681590512907,13
"Llama",7,7.77998749647578e-05,0.0206333431932661,0.000538689758437666,8
"Llama",8,7.71692261751763e-05,0.0244394142775693,0.000534323118462055,9
"Llama",9,0.000269767924488693,0.0495665449545615,0.00186788498237141,6
"Llama",10,0.000232019665245112,0.0379468391959866,0.00160651437396647,7
"Llama",11,0.00376379431024525,0.182878466116058,0.0260606774588456,5
"Llama",12,0.00541205454413784,0.212753829132352,0.0374733038626827,4
"Llama",13,0.0078890634911903,0.242728911805898,0.0546242228318977,3
"Llama",14,0.0134528997309726,0.32751626161755,0.0931484698355429,2
"Llama",15,0.113100149063103,0.963961258116696,0.783110409954585,1
"Gemma",0,0.000190827532532724,0.0351670458912849,1.53886983589599e-07,26
"Gemma",1,0.000370870780427868,0.054590665631824,2.9907731313236e-07,25
"Gemma",2,0.000785033917726629,0.0832986964119805,6.33066413483914e-07,24
"Gemma",3,0.00782661934701757,0.263066765748792,6.31153600862074e-06,19
"Gemma",4,0.00165435745872638,0.100186222129398,1.33410559641702e-06,22
"Gemma",5,0.00105489057789748,0.0899049507247076,8.50684001910964e-07,23
"Gemma",6,0.00223195319020416,0.146728382342391,1.79988987645062e-06,21
"Gemma",7,0.00407494323658185,0.144010211858485,3.28611241079107e-06,20
"Gemma",8,0.0145385090939831,0.307181407594018,1.17241326797503e-05,17
"Gemma",9,0.0136672222118732,0.303348836799463,1.10215102208759e-05,18
"Gemma",10,0.0164749545485706,0.313986742662059,1.32857194483742e-05,16
"Gemma",11,0.053015769169676,0.646637623508771,4.27529334573608e-05,14
"Gemma",12,0.0226334362462903,0.362656029562155,1.82520372505044e-05,15
"Gemma",13,0.317322048963253,1.40131116410096,0.00025589458865456,11
"Gemma",14,0.181648615002414,1.13880827567644,0.0001464849283798,13
"Gemma",15,0.25565167500787,1.44341827515099,0.000206162415844492,12
"Gemma",16,1.47054466906123,3.36305525733365,0.00118587543606576,10
"Gemma",17,2.68493312139072,4.02692014972369,0.00216518158416041,9
"Gemma",18,53.8871750292894,17.0852115220494,0.0434556518619769,7
"Gemma",19,65.9335877436341,18.7753200663461,0.0531701102060211,6
"Gemma",20,127.460027710664,27.8155405711797,0.10278621188626,4
"Gemma",21,125.356868586955,27.9556330343088,0.101090184016168,5
"Gemma",22,267.000885834079,40.4682092931535,0.215314637208923,3
"Gemma",23,279.13295004748,43.5598786738184,0.225098166565178,2
"Gemma",24,310.549892943939,46.9865329331822,0.250433392105096,1
"Gemma",25,5.67985308511582,6.47815099027422,0.00458034250561127,8
