model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
gemma,L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",100,0.8307389040672097,0.1692610959327902,0.0742306845654918,-0.09503041136729841,0.7159090909090909,0.714392106844937,0.6121940281346125,0.329538795886675,1.4766383600172446,1,100.0
gemma,L3_8,"[3, 4, 5, 6, 7, 8]",100,0.8131781187522339,0.18682188124776608,0.08387929985048476,-0.10294258139728132,0.7159090909090909,0.7181566859420715,0.5802962098246442,0.2884542527966064,1.4453513759894896,2,99.0
gemma,L0_2,"[0, 1, 2]",100,0.9239223054648794,0.07607769453512055,0.03114891534383729,-0.044928779191283255,0.6590909090909091,0.6208577885127751,0.6021643068304777,0.3095631942833519,1.440378829007042,3,98.0
gemma,L4_8,"[4, 5, 6, 7, 8]",100,0.8135409782012024,0.18645902179879764,0.08516889975767089,-0.10129012204112675,0.7045454545454546,0.6996303337558091,0.5923094306843953,0.2978903032583583,1.4403223006527648,4,97.0
gemma,L1_6,"[1, 2, 3, 4, 5, 6]",100,0.8435714606534789,0.15642853934652112,0.06614545432555648,-0.09028308502096465,0.6628787878787878,0.6488536660269709,0.6240724904591525,0.33850325608044873,1.4401266555156382,5,96.0
gemma,L9_10,"[9, 10]",500,0.8068016606600252,0.1931983393399747,0.09183238335483937,-0.10136595598513534,0.6931818181818182,0.7006751160998276,0.5884018408348572,0.3367836159557803,1.4346623958777605,6,95.0
gemma,L2_6,"[2, 3, 4, 5, 6]",100,0.8171703194084338,0.18282968059156626,0.07643130568148004,-0.10639837491008622,0.6628787878787878,0.6475323083778967,0.6263393858869579,0.3411221775379455,1.4276825151161008,7,94.0
gemma,L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",500,0.8352648867821486,0.16473511321785145,0.07467951430495975,-0.0900555989128917,0.696969696969697,0.6971447210723546,0.5552303495363357,0.29030191751866896,1.4195324998780265,8,93.0
gemma,L6_8,"[6, 7, 8]",100,0.8014144870788756,0.1985855129211244,0.0992820845175599,-0.09930342840356449,0.6628787878787878,0.6630151527213862,0.6053543115032628,0.33426102743287445,1.415402814919157,9,92.0
gemma,L0_7,"[0, 1, 2, 3, 4, 5, 6, 7]",100,0.8544215384618736,0.14557846153812637,0.06231637179814239,-0.08326208973998397,0.6856060606060606,0.6735271988838486,0.5415082757164388,0.27159225292292033,1.3992391489111666,10,91.0
gemma,L5_8,"[5, 6, 7, 8]",100,0.8093554672368184,0.19064453276318166,0.09146659350912323,-0.09917793925405843,0.6742424242424242,0.6713417728429435,0.5618211653384573,0.28241352935959596,1.39120808416353,11,90.0
gemma,L1_6,"[1, 2, 3, 4, 5, 6]",500,0.8404532266788195,0.15954677332118053,0.06688816904901225,-0.09265860427216828,0.6325757575757576,0.6284959279606414,0.5836600044399078,0.2925012608269212,1.3899513592598491,12,89.0
gemma,L2_6,"[2, 3, 4, 5, 6]",500,0.8166644076587479,0.18333559234125202,0.07720350747336752,-0.1061320848678845,0.6325757575757576,0.6276657665117457,0.5848176218146358,0.29682198788828484,1.378318914490479,13,88.0
gemma,L9_10,"[9, 10]",100,0.7992701575866882,0.2007298424133118,0.10303107162258028,-0.09769877079073151,0.6477272727272727,0.6456911403058876,0.5711061945838805,0.28101015225315873,1.3730729467051586,14,87.0
gemma,L6_8,"[6, 7, 8]",500,0.810315019588327,0.189684980411673,0.0970861963211607,-0.09259878409051231,0.6363636363636364,0.6455131209528392,0.5611794923067018,0.2869213426323004,1.3705116004017963,15,86.0
gemma,L2_7,"[2, 3, 4, 5, 6, 7]",100,0.8143965633625787,0.18560343663742127,0.07987747428619536,-0.1057259623512259,0.6742424242424242,0.6616355629630307,0.531346282283809,0.26318969891323973,1.361583757878761,16,85.0
gemma,L4_8,"[4, 5, 6, 7, 8]",500,0.8213312524804898,0.17866874751951023,0.08370911771662427,-0.09495962980288596,0.6477272727272727,0.6516050308485959,0.5359850617750326,0.2512470923174115,1.3607377003391476,17,84.0
gemma,L3_8,"[3, 4, 5, 6, 7, 8]",500,0.8203820657819137,0.17961793421808625,0.0849189998809092,-0.09469893433717705,0.6363636363636364,0.6425201450919975,0.5207761123988223,0.24605455115438868,1.3408280388836127,18,83.0
gemma,L0_7,"[0, 1, 2, 3, 4, 5, 6, 7]",500,0.8553101794238082,0.14468982057619184,0.06298861726497874,-0.0817012033112131,0.6477272727272727,0.6407391990940464,0.4928020490315473,0.2314943580543477,1.334488088212379,19,82.0
gemma,L0_4,"[0, 1, 2, 3, 4]",100,0.8904348835635261,0.10956511643647396,0.045304852685313715,-0.06426026375116024,0.6212121212121212,0.6088325652841782,0.49438186862591615,0.2053787381401586,1.3277889889098384,20,81.0
gemma,L5_8,"[5, 6, 7, 8]",500,0.8150467770506855,0.18495322294931446,0.08988112961325567,-0.09507209333605879,0.6022727272727273,0.6062142429121878,0.5396219393686389,0.26837216753524096,1.3241923343500042,21,80.0
gemma,L2_7,"[2, 3, 4, 5, 6, 7]",500,0.8190613653158454,0.18093863468415464,0.08029994370266703,-0.1006386909814876,0.6439393939393939,0.6364543114543114,0.5066321450958212,0.24681738139176768,1.3239998478980288,22,79.0
gemma,L5_6,"[5, 6]",500,0.8161151445601583,0.1838848554398417,0.08017976164305607,-0.10370509379678564,0.553030303030303,0.5592031712579657,0.5838454192540234,0.31672074844344766,1.3224964446896705,23,78.0
gemma,L2_9,"[2, 3, 4, 5, 6, 7, 8, 9]",500,0.8182549694033128,0.18174503059668717,0.0845942598662073,-0.09715077073047987,0.6704545454545454,0.6739588897683891,0.4659520022901907,0.21250575743958156,1.3210561983485203,24,77.0
gemma,L0_1,"[0, 1]",500,0.9763546889101307,0.023645311089869284,0.009513221480710687,-0.014132089609158597,0.5303030303030303,0.5125210103788332,0.519697699172468,0.26869561659226493,1.3139523120961063,25,76.0
gemma,L1_4,"[1, 2, 3, 4]",100,0.866379126707595,0.13362087329240502,0.05572626646734194,-0.07789460682506308,0.625,0.6111422346716464,0.4841346535097618,0.19752692880748324,1.3094110738989242,26,75.0
gemma,L3_6,"[3, 4, 5, 6]",500,0.8242366100869201,0.1757633899130799,0.0787817251100067,-0.09698166480307321,0.5681818181818182,0.5667787667957361,0.5523339226594701,0.27582503935528657,1.307408456607625,27,74.0
gemma,L2_4,"[2, 3, 4]",100,0.8297598317252269,0.1702401682747731,0.06936916408476906,-0.10087100419000403,0.6363636363636364,0.6225070406345192,0.4928252316837458,0.2006932726413012,1.3071457337172256,28,73.0
gemma,L8_10,"[8, 9, 10]",500,0.8058984559956643,0.19410154400433566,0.09532244414541086,-0.0987790998589248,0.6742424242424242,0.6904129957994126,0.4393777460910623,0.18534555415429133,1.306781821510212,29,72.0
gemma,L6_7,"[6, 7]",500,0.8137935282305699,0.18620647176943012,0.0947308874283323,-0.09147558434109782,0.6515151515151515,0.6432642343836373,0.47799527943083164,0.22460835380564337,1.3039043751668602,30,71.0
gemma,L7_8,"[7, 8]",100,0.7941146018365232,0.2058853981634768,0.09884036602885539,-0.10704503213462142,0.696969696969697,0.7013327141255524,0.43148946626176965,0.1772790689339817,1.3033150452281193,31,70.0
gemma,L0_5,"[0, 1, 2, 3, 4, 5]",100,0.877561997482494,0.12243800251750601,0.049189755145667424,-0.07324824737183859,0.6325757575757576,0.6288315300857621,0.44801047667913924,0.17848294870804826,1.3002546041531682,32,69.0
gemma,L8_10,"[8, 9, 10]",100,0.8005069215087212,0.19949307849127884,0.1018165449442307,-0.09767653354704814,0.6439393939393939,0.6556654796040392,0.468893594033335,0.20471059310745454,1.29990071966426,33,68.0
gemma,L6_7,"[6, 7]",100,0.8008529743259871,0.19914702567401293,0.10096759967667161,-0.09817942599734132,0.6401515151515151,0.6246117084826762,0.49504410577107566,0.2439365204845595,1.2961511385659952,34,67.0
gemma,L6_10,"[6, 7, 8, 9, 10]",500,0.8098772338943085,0.1901227661056915,0.09478610078548194,-0.09533666532020957,0.6515151515151515,0.665804355206363,0.4430111217104406,0.17466558680032418,1.2919909984805973,35,66.0
gemma,L4_5,"[4, 5]",100,0.831182094611023,0.16881790538897704,0.0647845772081248,-0.10403332818085223,0.5681818181818182,0.5704702664678792,0.5232470284670271,0.25482187434739134,1.2905648832534367,36,65.0
gemma,L0_2,"[0, 1, 2]",500,0.9253850188842018,0.07461498111579819,0.029425139929116093,-0.045189841186682095,0.6098484848484849,0.6193428120063191,0.40243969918142697,0.12405640005653229,1.2801185183922978,37,64.0
gemma,L2_9,"[2, 3, 4, 5, 6, 7, 8, 9]",100,0.8118100975741785,0.18818990242582145,0.08486876393643956,-0.10332113848938189,0.7272727272727273,0.7300168186244136,0.3577239266148874,0.12047216258000215,1.2760976449785302,38,63.0
gemma,L5_7,"[5, 6, 7]",500,0.8175953309023262,0.18240466909767386,0.0860222867186507,-0.09638238237902316,0.6098484848484849,0.6020004380213604,0.4769377268951306,0.21979595891132087,1.2719481973843558,39,62.0
gemma,L1_5,"[1, 2, 3, 4, 5]",100,0.8546453063113253,0.14535469368867465,0.058459641539836085,-0.08689505214883857,0.625,0.6221969305367877,0.43148770036761025,0.1674672799044402,1.270270357879181,40,61.0
gemma,L5_10,"[5, 6, 7, 8, 9, 10]",500,0.8131120016161271,0.186887998383873,0.0903102394823036,-0.09657775890156939,0.6856060606060606,0.6878288889028289,0.389153588205577,0.14169177683288436,1.2681419824947882,41,60.0
gemma,L2_5,"[2, 3, 4, 5]",100,0.8235543027539691,0.17644569724603093,0.06939393455327578,-0.10705176269275515,0.6174242424242424,0.6199624942015508,0.43983686117054344,0.1722243234810853,1.2596166356746599,42,59.0
gemma,L3_10,"[3, 4, 5, 6, 7, 8, 9, 10]",100,0.8124120536897412,0.18758794631025874,0.0876001461155894,-0.09998780019466934,0.678030303030303,0.6878825455875105,0.37595767932669116,0.12324236246397413,1.257278206776232,43,58.0
gemma,L0_1,"[0, 1]",100,0.9685236198942048,0.03147638010579518,0.012172555200975578,-0.019303824904819605,0.5265151515151515,0.4878094757216191,0.4777352173927999,0.22200142242027598,1.2566975644386376,44,57.0
gemma,L5_6,"[5, 6]",100,0.800414148596567,0.19958585140343293,0.0891564816391808,-0.11042936976425213,0.49242424242424243,0.4799436959614072,0.5886010876521117,0.3162534995470089,1.2550429011890987,45,56.0
gemma,L4_9,"[4, 5, 6, 7, 8, 9]",100,0.8110258160727895,0.18897418392721058,0.08857409923045512,-0.10040008469675546,0.6439393939393939,0.6407337351225962,0.4179776843763498,0.15160179272800567,1.2524820436355517,46,55.0
gemma,L3_6,"[3, 4, 5, 6]",100,0.8190191654287067,0.1809808345712933,0.07802396821920388,-0.10295686635208942,0.5303030303030303,0.5182178932178932,0.534291413684704,0.26003773737114033,1.2515170282364312,47,54.0
gemma,L6_10,"[6, 7, 8, 9, 10]",100,0.8030267084812284,0.1969732915187717,0.09993838738152674,-0.09703490413724494,0.6325757575757576,0.6405415252565513,0.41931424196554534,0.1572678639932863,1.2493979680182916,48,53.0
gemma,L0_3,"[0, 1, 2, 3]",100,0.894874881397015,0.10512511860298498,0.042724736409640376,-0.06240038219334461,0.6439393939393939,0.6441504565636257,0.35775960660065065,0.11792726361872652,1.2489654912299284,49,52.0
gemma,L6_9,"[6, 7, 8, 9]",100,0.7997765143275304,0.20022348567246961,0.10137637521030031,-0.0988471104621693,0.6515151515151515,0.6483111152426712,0.4081912235141608,0.15143512949234195,1.2450901281692308,50,51.0
gemma,L3_7,"[3, 4, 5, 6, 7]",500,0.8226159714569594,0.17738402854304056,0.08213145159202952,-0.09525257695101104,0.6098484848484849,0.604901656324938,0.43582987170579446,0.1857973689780733,1.2438932081530658,51,50.0
gemma,L5_7,"[5, 6, 7]",100,0.8096416621251238,0.19035833787487622,0.09063550435572537,-0.09972283351915084,0.6287878787878788,0.5965265187106564,0.4469226810895478,0.19574367839072004,1.2395801909027253,52,49.0
gemma,L8_9,"[8, 9]",500,0.8009875213325744,0.19901247866742555,0.10098783314801318,-0.09802464551941237,0.6325757575757576,0.649906191369606,0.396801598403767,0.14446951968773147,1.2378599924849858,53,48.0
gemma,L4_7,"[4, 5, 6, 7]",100,0.8153050897110832,0.1846949102889168,0.08293432714739749,-0.10176058314151931,0.5757575757575758,0.5742210464432685,0.4556858901576782,0.20141241079659356,1.231578094136299,54,47.0
gemma,L10_11,"[10, 11]",500,0.7925695084221014,0.20743049157789858,0.10331480221248385,-0.10411568936541474,0.625,0.625488376785162,0.4174403784883958,0.15169436567560857,1.230627758429897,55,46.0
gemma,L6_9,"[6, 7, 8, 9]",500,0.8082037740318252,0.1917962259681748,0.09751319389600534,-0.09428303207216947,0.6136363636363636,0.6300442286257889,0.39953715515894206,0.1466570702155534,1.2277669940436975,56,45.0
gemma,L7_10,"[7, 8, 9, 10]",100,0.7997837207203484,0.20021627927965163,0.1002432650729286,-0.09997301420672303,0.6628787878787878,0.6772145406684392,0.3557404996300545,0.1160586886464201,1.226255892598969,57,44.0
