model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
llama,L4_5,"[4, 5]",500,0.7466945759327122,0.2533054240672879,0.17105817822339972,-0.08224724584388818,0.7234848484848485,0.726769662797229,0.5377317999727096,0.20158427426030356,1.384948458182307,1,100.0
llama,L5_6,"[5, 6]",100,0.7223940200858194,0.2776059799141805,0.2000784864209486,-0.0775274934932319,0.6515151515151515,0.6586725614503393,0.6191787953742863,0.20886812172380076,1.3834780955026103,2,97.5
llama,L1_4,"[1, 2, 3, 4]",100,0.7784742919066994,0.22152570809330066,0.13706392711192872,-0.08446178098137194,0.7537878787878788,0.7526081970078747,0.48963869946553107,0.16258495678026874,1.3830346631320745,3,95.0
llama,L4_6,"[4, 5, 6]",500,0.7432482368449476,0.2567517631550524,0.17684573447264507,-0.07990602868240732,0.7083333333333334,0.7115441579672934,0.545961598356812,0.224425725301579,1.3776287234817581,4,92.5
llama,L0_4,"[0, 1, 2, 3, 4]",100,0.8111599292164376,0.18884007078356232,0.11336328985784148,-0.07547678092572084,0.7348484848484849,0.7395835992406798,0.46812804190454343,0.1534104781685629,1.3717492775243976,5,90.0
llama,L0_5,"[0, 1, 2, 3, 4, 5]",100,0.7986907569385648,0.20130924306143516,0.126636083982681,-0.07467315907875416,0.7234848484848485,0.7211220026465702,0.48818181262475613,0.16702791494146352,1.3667884306863436,6,87.5
llama,L3_6,"[3, 4, 5, 6]",500,0.7493845908629958,0.2506154091370042,0.17169370265780895,-0.07892170647919525,0.7159090909090909,0.720283130048257,0.5191332863514997,0.19741703014686185,1.3662254285513031,7,85.0
llama,L5_6,"[5, 6]",500,0.7371973370274176,0.2628026629725824,0.18398761623479715,-0.07881504673778528,0.6363636363636364,0.6430581849854952,0.5986038896879853,0.2395850901746952,1.3619283282524932,8,82.5
llama,L1_5,"[1, 2, 3, 4, 5]",100,0.7701979627751037,0.2298020372248964,0.14822049521023117,-0.08158154201466522,0.7234848484848485,0.7184752456453939,0.4993425825759282,0.16988789875891686,1.3593532439646094,9,80.0
llama,L2_4,"[2, 3, 4]",100,0.752035970163355,0.24796402983664503,0.1676588319185822,-0.08030519791806284,0.7727272727272727,0.7720422413045364,0.44739068757068406,0.13512264128883356,1.351564328181854,10,77.5
llama,L3_5,"[3, 4, 5]",500,0.7536020045907548,0.24639799540924526,0.16613741562054077,-0.08026057978870449,0.7083333333333334,0.7144380452189828,0.5030603939568481,0.17629526478142787,1.3507997536360423,11,75.0
llama,L1_6,"[1, 2, 3, 4, 5, 6]",100,0.7631553178751393,0.2368446821248606,0.15667203815194722,-0.08017264397291338,0.7045454545454546,0.7056630733101321,0.5008130630856997,0.16776300535047672,1.346758568054235,12,72.5
llama,L2_6,"[2, 3, 4, 5, 6]",100,0.7442619361413727,0.25573806385862724,0.17885138485554453,-0.07688667900308271,0.7196969696969697,0.7198996335818678,0.49699508053690605,0.16137954343343797,1.3456467393657054,13,70.0
