model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
qwen,L3_10,"[3, 4, 5, 6, 7, 8, 9, 10]",100,0.8449593007634983,0.1550406992365016,0.062264631028625304,-0.09277606820787629,0.75,0.7530103347433813,0.6966242743649398,0.4126514552790458,1.5821873376684061,1,100.0
qwen,L3_8,"[3, 4, 5, 6, 7, 8]",100,0.8301692524554228,0.1698307475445772,0.06901330657343295,-0.10081744097114424,0.7575757575757576,0.7608317427690502,0.6952605567985113,0.40341290541153396,1.5799584658817607,2,99.10714285714286
qwen,L0_7,"[0, 1, 2, 3, 4, 5, 6, 7]",100,0.7965686408491003,0.20343135915089974,0.06385729275302399,-0.13957406639787576,0.7462121212121212,0.7502780365258137,0.721993097684611,0.46024334854726634,1.5761012277928899,3,98.21428571428571
qwen,L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",100,0.8071510099650524,0.19284899003494763,0.06781780028308312,-0.1250311897518645,0.7462121212121212,0.7486514315904104,0.712250493030494,0.43717849043238466,1.5722970446792497,4,97.32142857142857
qwen,L4_8,"[4, 5, 6, 7, 8]",100,0.8297693801591823,0.1702306198408176,0.0685969653829761,-0.1016336544578415,0.7537878787878788,0.7583865134200704,0.6882982106628361,0.3854046746107198,1.5722324693459164,5,96.42857142857143
qwen,L4_11,"[4, 5, 6, 7, 8, 9, 10, 11]",100,0.8513792634537859,0.14862073654621408,0.05801114572100394,-0.09060959082521014,0.7196969696969697,0.7267658935086216,0.6971501168773762,0.42186220365923843,1.5648224400356914,6,95.53571428571429
qwen,L5_10,"[5, 6, 7, 8, 9, 10]",100,0.8537941629240798,0.1462058370759202,0.055828285911617405,-0.0903775511643028,0.7234848484848485,0.7272249332471543,0.690860968012781,0.39724959620097455,1.5613658024699881,7,94.64285714285714
qwen,L4_9,"[4, 5, 6, 7, 8, 9]",100,0.8396202160400397,0.1603797839599603,0.06393356057685307,-0.09644622338310724,0.7310606060606061,0.7356205036757314,0.683174303592989,0.38046092736283554,1.5548459538349964,8,93.75
qwen,L2_9,"[2, 3, 4, 5, 6, 7, 8, 9]",100,0.824107444302296,0.17589255569770407,0.0679692076582367,-0.10792334803946736,0.7234848484848485,0.7251856703911499,0.6924170889738681,0.40201485842831464,1.5461359296431625,9,92.85714285714286
qwen,L1_6,"[1, 2, 3, 4, 5, 6]",100,0.7848476334160838,0.2151523665839162,0.07184010533098908,-0.14331226125292712,0.7310606060606061,0.7325780768603153,0.7091822623877845,0.44108434300717503,1.545832088106522,10,91.96428571428571
