"group","null_id","specificity"
"Qwen",0,0.0464285714285714
"Qwen",1,0.0339285714285714
"Qwen",2,-0.05
"Qwen",3,-0.0625
"Qwen",4,0.0589285714285714
"Qwen",5,-0.05
"Qwen",6,-0.025
"Qwen",7,-0.025
"Qwen",8,-0.0125
"Qwen",9,-0.0375
"Qwen",10,-0.0625
"Qwen",11,-0.0625
"Qwen",12,-0.025
"Qwen",13,-0.025
"Qwen",14,-0.025
"Qwen",15,0.0339285714285714
"Qwen",16,-0.0125
"Qwen",17,-0.05
"Qwen",18,0
"Qwen",19,-0.0375
"Qwen",20,-0.0125
"Qwen",21,-0.0375
"Qwen",22,-0.025
"Qwen",23,0.0339285714285714
"Qwen",24,-0.0125
"Qwen",25,0
"Qwen",26,-0.025
"Qwen",27,-0.0375
"Qwen",28,0
"Qwen",29,-0.0125
"Qwen",30,0.0339285714285714
"Qwen",31,-0.0125
"Qwen",32,-0.025
"Qwen",33,-0.0125
"Qwen",34,-0.0125
"Qwen",35,-0.025
"Qwen",36,-0.05
"Qwen",37,0
"Qwen",38,-0.0625
"Qwen",39,0
"Qwen",40,-0.0125
"Qwen",41,-0.025
"Qwen",42,-0.025
"Qwen",43,-0.0625
"Qwen",44,-0.0375
"Qwen",45,-0.05
"Qwen",46,0.0339285714285714
"Qwen",47,-0.025
"Qwen",48,-0.0125
"Qwen",49,0
"Llama",0,-0.05
"Llama",1,-0.1375
"Llama",2,-0.0875
"Llama",3,-0.0125
"Llama",4,-0.0625
"Llama",5,-0.1
"Llama",6,-0.025462962962963
"Llama",7,-0.0625
"Llama",8,-0.0625
"Llama",9,-0.0625
"Llama",10,-0.050462962962963
"Llama",11,-0.1
"Llama",12,-0.075
"Llama",13,-0.075
"Llama",14,-0.075
"Llama",15,-0.025462962962963
"Llama",16,-0.037962962962963
"Llama",17,-0.0875
"Llama",18,-0.012962962962963
"Llama",19,-0.075
"Llama",20,-0.062962962962963
"Llama",21,-0.025462962962963
"Llama",22,-0.1
"Llama",23,-0.0625
"Llama",24,-0.05
"Llama",25,-0.075
"Llama",26,-0.050462962962963
"Llama",27,-0.1125
"Llama",28,-0.012962962962963
"Llama",29,-0.05
"Llama",30,-0.1
"Llama",31,-0.0875
"Llama",32,-0.05
"Llama",33,-0.0875
"Llama",34,-0.0875
"Llama",35,-0.0625
"Llama",36,-0.000462962962962964
"Llama",37,-0.1125
"Llama",38,-0.012962962962963
"Llama",39,-0.050462962962963
"Llama",40,-0.075
"Llama",41,-0.0625
"Llama",42,-0.025462962962963
"Llama",43,-0.050462962962963
"Llama",44,-0.1
"Llama",45,-0.0625
"Llama",46,-0.1
"Llama",47,-0.075
"Llama",48,-0.1
"Llama",49,-0.037962962962963
"Gemma",0,-0.025
"Gemma",1,-0.0125
"Gemma",2,-0.0375
"Gemma",3,-0.05
"Gemma",4,-0.0625
"Gemma",5,-0.05
"Gemma",6,-0.025
"Gemma",7,-0.0375
"Gemma",8,-0.0375
"Gemma",9,-0.0375
"Gemma",10,-0.025
"Gemma",11,-0.075
"Gemma",12,-0.0625
"Gemma",13,-0.05
"Gemma",14,-0.0125
"Gemma",15,-0.025
"Gemma",16,-0.0375
"Gemma",17,-0.025
"Gemma",18,-0.0125
"Gemma",19,-0.0625
"Gemma",20,-0.0375
"Gemma",21,-0.05
"Gemma",22,-0.075
"Gemma",23,-0.0375
"Gemma",24,-0.0625
"Gemma",25,-0.0875
"Gemma",26,-0.0125
"Gemma",27,0.2125
"Gemma",28,-0.0875
"Gemma",29,-0.0625
"Gemma",30,-0.0375
"Gemma",31,-0.0625
"Gemma",32,-0.0625
"Gemma",33,-0.0375
"Gemma",34,0.2125
"Gemma",35,-0.0625
"Gemma",36,-0.05
"Gemma",37,-0.025
"Gemma",38,-0.025
"Gemma",39,-0.025
"Gemma",40,-0.025
"Gemma",41,0.2375
"Gemma",42,-0.075
"Gemma",43,-0.0625
"Gemma",44,-0.05
"Gemma",45,-0.025
"Gemma",46,-0.0375
"Gemma",47,-0.05
"Gemma",48,-0.0625
"Gemma",49,-0.05
"Pooled",0,-0.0111111111111111
"Pooled",1,-0.0402777777777778
"Pooled",2,-0.0583333333333333
"Pooled",3,-0.0416666666666667
"Pooled",4,-0.0236111111111111
"Pooled",5,-0.0666666666666667
"Pooled",6,-0.0152777777777778
"Pooled",7,-0.0416666666666667
"Pooled",8,-0.0375
"Pooled",9,-0.0458333333333333
"Pooled",10,-0.0361111111111111
"Pooled",11,-0.0791666666666667
"Pooled",12,-0.0541666666666667
"Pooled",13,-0.05
"Pooled",14,-0.0375
"Pooled",15,0.00277777777777778
"Pooled",16,-0.0194444444444444
"Pooled",17,-0.0541666666666667
"Pooled",18,0.00138888888888889
"Pooled",19,-0.0583333333333333
"Pooled",20,-0.0277777777777778
"Pooled",21,-0.0277777777777778
"Pooled",22,-0.0666666666666667
"Pooled",23,-0.0236111111111111
"Pooled",24,-0.0416666666666667
"Pooled",25,-0.0541666666666667
"Pooled",26,-0.0194444444444444
"Pooled",27,-0.0402777777777778
"Pooled",28,-0.0236111111111111
"Pooled",29,-0.0416666666666667
"Pooled",30,-0.0361111111111111
"Pooled",31,-0.0541666666666667
"Pooled",32,-0.0458333333333333
"Pooled",33,-0.0458333333333333
"Pooled",34,-0.0236111111111111
"Pooled",35,-0.05
"Pooled",36,-0.0236111111111111
"Pooled",37,-0.0458333333333333
"Pooled",38,-0.0236111111111111
"Pooled",39,-0.0152777777777778
"Pooled",40,-0.0375
"Pooled",41,-0.0111111111111111
"Pooled",42,-0.0319444444444444
"Pooled",43,-0.0486111111111111
"Pooled",44,-0.0625
"Pooled",45,-0.0458333333333333
"Pooled",46,-0.0361111111111111
"Pooled",47,-0.05
"Pooled",48,-0.0583333333333333
"Pooled",49,-0.0194444444444444
