"checkpoint","action","metric","value","count"
"Qwen","Primary","Target crossing",0.0714285714285714,"1/14"
"Qwen","Operator","Target crossing",0.0714285714285714,"1/14"
"Qwen","Precursor","Target crossing",0,"0/14"
"Qwen","Uniform max","Target crossing",0,"0/14"
"Llama","Primary","Target crossing",0.037037037037037,"1/27"
"Llama","Operator","Target crossing",0.037037037037037,"1/27"
"Llama","Precursor","Target crossing",0,"0/27"
"Llama","Uniform max","Target crossing",0.037037037037037,"1/27"
"Gemma","Primary","Target crossing",0,"0/4"
"Gemma","Operator","Target crossing",0,"0/4"
"Gemma","Precursor","Target crossing",0,"0/4"
"Gemma","Uniform max","Target crossing",0.25,"1/4"
"Qwen","Primary","Non-target change",0.0125,"1/80"
"Qwen","Operator","Non-target change",0.0125,"1/80"
"Qwen","Precursor","Non-target change",0,"0/80"
"Qwen","Uniform max","Non-target change",0.0125,"1/80"
"Llama","Primary","Non-target change",0,"0/80"
"Llama","Operator","Non-target change",0,"0/80"
"Llama","Precursor","Non-target change",0,"0/80"
"Llama","Uniform max","Non-target change",0,"0/80"
"Gemma","Primary","Non-target change",0,"0/80"
"Gemma","Operator","Non-target change",0,"0/80"
"Gemma","Precursor","Non-target change",0,"0/80"
"Gemma","Uniform max","Non-target change",0.0125,"1/80"
