model,control,eligible_n,strict_crossings,target_crossing_rate,eligible_median_margin_shift,eligible_mean_margin_shift,eligible_median_task_coordinate_shift,non_target_n,non_target_top1_changes,collateral_rate,specificity,null_id,dose_multiset_exact
qwen,address_null_000,14,1,0.0714285714285714,0.0,0.2667410714285714,0.0,80,2,0.025,0.0464285714285714,0,True
qwen,address_null_001,14,1,0.0714285714285714,0.0,-0.0167410714285714,0.0,80,3,0.0375,0.0339285714285714,1,True
qwen,address_null_002,14,0,0.0,0.0,-0.0401785714285714,0.0,80,4,0.05,-0.05,2,True
qwen,address_null_003,14,0,0.0,0.0,-0.2566964285714285,0.0,80,5,0.0625,-0.0625,3,True
qwen,address_null_004,14,1,0.0714285714285714,0.0,0.5758928571428571,0.0,80,1,0.0125,0.0589285714285714,4,True
qwen,address_null_005,14,0,0.0,0.0,-0.1875,0.0,80,4,0.05,-0.05,5,True
qwen,address_null_006,14,0,0.0,0.0,-0.1160714285714285,0.0,80,2,0.025,-0.025,6,True
qwen,address_null_007,14,0,0.0,0.0,-0.234375,0.0,80,2,0.025,-0.025,7,True
qwen,address_null_008,14,0,0.0,0.0,-0.0401785714285714,0.0,80,1,0.0125,-0.0125,8,True
qwen,address_null_009,14,0,0.0,0.0,0.2712053571428571,0.0,80,3,0.0375,-0.0375,9,True
qwen,address_null_010,14,0,0.0,0.0,-0.0055803571428571,0.0,80,5,0.0625,-0.0625,10,True
qwen,address_null_011,14,0,0.0,0.0,0.5357142857142857,0.0,80,5,0.0625,-0.0625,11,True
qwen,address_null_012,14,0,0.0,0.0,0.0044642857142857,0.0,80,2,0.025,-0.025,12,True
qwen,address_null_013,14,0,0.0,0.0,0.0167410714285714,0.0,80,2,0.025,-0.025,13,True
qwen,address_null_014,14,0,0.0,0.0,-0.0491071428571428,0.0,80,2,0.025,-0.025,14,True
qwen,address_null_015,14,1,0.0714285714285714,0.0,0.1305803571428571,0.0,80,3,0.0375,0.0339285714285714,15,True
qwen,address_null_016,14,0,0.0,0.0,0.3995535714285714,0.0,80,1,0.0125,-0.0125,16,True
qwen,address_null_017,14,0,0.0,0.0,0.0033482142857142,0.0,80,4,0.05,-0.05,17,True
qwen,address_null_018,14,0,0.0,0.0,0.2522321428571428,0.0,80,0,0.0,0.0,18,True
qwen,address_null_019,14,0,0.0,0.0,0.0758928571428571,0.0,80,3,0.0375,-0.0375,19,True
qwen,address_null_020,14,0,0.0,0.0,-0.3069196428571428,0.0,80,1,0.0125,-0.0125,20,True
qwen,address_null_021,14,0,0.0,0.0,-0.1674107142857142,0.0,80,3,0.0375,-0.0375,21,True
qwen,address_null_022,14,0,0.0,0.0,-0.4040178571428571,0.0,80,2,0.025,-0.025,22,True
qwen,address_null_023,14,1,0.0714285714285714,0.0,0.0859375,0.0,80,3,0.0375,0.0339285714285714,23,True
qwen,address_null_024,14,0,0.0,0.0,0.0837053571428571,0.0,80,1,0.0125,-0.0125,24,True
qwen,address_null_025,14,0,0.0,0.0,-0.140625,0.0,80,0,0.0,0.0,25,True
qwen,address_null_026,14,0,0.0,0.0,-0.15625,0.0,80,2,0.025,-0.025,26,True
qwen,address_null_027,14,0,0.0,0.0,-0.0066964285714285,0.0,80,3,0.0375,-0.0375,27,True
qwen,address_null_028,14,0,0.0,0.0,-0.0066964285714285,0.0,80,0,0.0,0.0,28,True
qwen,address_null_029,14,0,0.0,0.0,-0.0089285714285714,0.0,80,1,0.0125,-0.0125,29,True
qwen,address_null_030,14,1,0.0714285714285714,0.0,-0.1763392857142857,0.0,80,3,0.0375,0.0339285714285714,30,True
qwen,address_null_031,14,0,0.0,0.0,0.4140625,0.0,80,1,0.0125,-0.0125,31,True
qwen,address_null_032,14,0,0.0,0.0,-0.03125,0.0,80,2,0.025,-0.025,32,True
qwen,address_null_033,14,0,0.0,0.0,0.5792410714285714,0.0,80,1,0.0125,-0.0125,33,True
qwen,address_null_034,14,0,0.0,0.0,-0.1372767857142857,0.0,80,1,0.0125,-0.0125,34,True
qwen,address_null_035,14,0,0.0,0.0,0.2008928571428571,0.0,80,2,0.025,-0.025,35,True
qwen,address_null_036,14,0,0.0,0.0,0.1037946428571428,0.0,80,4,0.05,-0.05,36,True
qwen,address_null_037,14,0,0.0,0.0,0.0100446428571428,0.0,80,0,0.0,0.0,37,True
qwen,address_null_038,14,0,0.0,0.0,-0.0892857142857142,0.0,80,5,0.0625,-0.0625,38,True
qwen,address_null_039,14,0,0.0,0.0,-0.1462053571428571,0.0,80,0,0.0,0.0,39,True
qwen,address_null_040,14,0,0.0,0.0,-0.1372767857142857,0.0,80,1,0.0125,-0.0125,40,True
qwen,address_null_041,14,0,0.0,0.1953125,0.3627232142857143,0.0,80,2,0.025,-0.025,41,True
qwen,address_null_042,14,0,0.0,0.0,-0.4051339285714285,0.0,80,2,0.025,-0.025,42,True
qwen,address_null_043,14,0,0.0,0.0,0.1149553571428571,0.0,80,5,0.0625,-0.0625,43,True
qwen,address_null_044,14,0,0.0,0.0,0.3024553571428571,0.0,80,3,0.0375,-0.0375,44,True
qwen,address_null_045,14,0,0.0,0.0,0.2276785714285714,0.0,80,4,0.05,-0.05,45,True
qwen,address_null_046,14,1,0.0714285714285714,0.0,0.1417410714285714,0.0,80,3,0.0375,0.0339285714285714,46,True
qwen,address_null_047,14,0,0.0,0.0,0.0825892857142857,0.0,80,2,0.025,-0.025,47,True
qwen,address_null_048,14,0,0.0,0.0,-0.25,0.0,80,1,0.0125,-0.0125,48,True
qwen,address_null_049,14,0,0.0,0.0,0.0078125,0.0,80,0,0.0,0.0,49,True
llama,address_null_000,27,0,0.0,0.0,-0.3145254629629629,0.0,80,4,0.05,-0.05,0,True
llama,address_null_001,27,0,0.0,0.0,-0.099537037037037,0.0,80,11,0.1375,-0.1375,1,True
llama,address_null_002,27,0,0.0,0.0,-0.2077546296296296,0.0,80,7,0.0875,-0.0875,2,True
llama,address_null_003,27,0,0.0,0.0,-0.0830439814814814,0.0,80,1,0.0125,-0.0125,3,True
llama,address_null_004,27,0,0.0,0.0,-0.0648148148148148,0.0,80,5,0.0625,-0.0625,4,True
llama,address_null_005,27,0,0.0,0.0,-0.0813078703703703,0.0,80,8,0.1,-0.1,5,True
llama,address_null_006,27,1,0.037037037037037,0.0,0.0141782407407407,0.0,80,5,0.0625,-0.0254629629629629,6,True
llama,address_null_007,27,0,0.0,0.0,-0.2175925925925926,0.0,80,5,0.0625,-0.0625,7,True
llama,address_null_008,27,0,0.0,0.0,-0.2112268518518518,0.0,80,5,0.0625,-0.0625,8,True
llama,address_null_009,27,0,0.0,0.0,-0.1571180555555555,0.0,80,5,0.0625,-0.0625,9,True
llama,address_null_010,27,1,0.037037037037037,0.0,-0.2335069444444444,0.0,80,7,0.0875,-0.0504629629629629,10,True
llama,address_null_011,27,0,0.0,0.0,-0.1076388888888889,0.0,80,8,0.1,-0.1,11,True
llama,address_null_012,27,0,0.0,0.0,-0.0980902777777777,0.0,80,6,0.075,-0.075,12,True
llama,address_null_013,27,0,0.0,0.0,-0.3362268518518518,0.0,80,6,0.075,-0.075,13,True
llama,address_null_014,27,0,0.0,0.0,-0.169849537037037,0.0,80,6,0.075,-0.075,14,True
llama,address_null_015,27,1,0.037037037037037,0.0,-0.0648148148148148,0.0,80,5,0.0625,-0.0254629629629629,15,True
llama,address_null_016,27,1,0.037037037037037,0.0,-0.035011574074074,0.0,80,6,0.075,-0.0379629629629629,16,True
llama,address_null_017,27,0,0.0,0.0,-0.0775462962962963,0.0,80,7,0.0875,-0.0875,17,True
llama,address_null_018,27,1,0.037037037037037,0.0,-0.1391782407407407,0.0,80,4,0.05,-0.0129629629629629,18,True
llama,address_null_019,27,0,0.0,0.0,-0.0934606481481481,0.0,80,6,0.075,-0.075,19,True
llama,address_null_020,27,1,0.037037037037037,0.0,-0.1472800925925926,0.0,80,8,0.1,-0.0629629629629629,20,True
llama,address_null_021,27,1,0.037037037037037,0.0,0.0691550925925925,0.0,80,5,0.0625,-0.0254629629629629,21,True
llama,address_null_022,27,0,0.0,0.0,-0.2514467592592592,0.0,80,8,0.1,-0.1,22,True
