eligible_n,strict_crossings,target_crossing_rate,non_target_n,non_target_top1_changes,collateral_rate,specificity,null_id
45,1,0.0222222222222222,240,8,0.0333333333333333,-0.0111111111111111,0
45,1,0.0222222222222222,240,15,0.0625,-0.0402777777777777,1
45,0,0.0,240,14,0.0583333333333333,-0.0583333333333333,2
45,0,0.0,240,10,0.0416666666666666,-0.0416666666666666,3
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,4
45,0,0.0,240,16,0.0666666666666666,-0.0666666666666666,5
45,1,0.0222222222222222,240,9,0.0375,-0.0152777777777777,6
45,0,0.0,240,10,0.0416666666666666,-0.0416666666666666,7
45,0,0.0,240,9,0.0375,-0.0375,8
45,0,0.0,240,11,0.0458333333333333,-0.0458333333333333,9
45,1,0.0222222222222222,240,14,0.0583333333333333,-0.0361111111111111,10
45,0,0.0,240,19,0.0791666666666666,-0.0791666666666666,11
45,0,0.0,240,13,0.0541666666666666,-0.0541666666666666,12
45,0,0.0,240,12,0.05,-0.05,13
45,0,0.0,240,9,0.0375,-0.0375,14
45,2,0.0444444444444444,240,10,0.0416666666666666,0.0027777777777777,15
45,1,0.0222222222222222,240,10,0.0416666666666666,-0.0194444444444444,16
45,0,0.0,240,13,0.0541666666666666,-0.0541666666666666,17
45,1,0.0222222222222222,240,5,0.0208333333333333,0.0013888888888888,18
45,0,0.0,240,14,0.0583333333333333,-0.0583333333333333,19
45,1,0.0222222222222222,240,12,0.05,-0.0277777777777777,20
45,1,0.0222222222222222,240,12,0.05,-0.0277777777777777,21
45,0,0.0,240,16,0.0666666666666666,-0.0666666666666666,22
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,23
45,0,0.0,240,10,0.0416666666666666,-0.0416666666666666,24
45,0,0.0,240,13,0.0541666666666666,-0.0541666666666666,25
45,1,0.0222222222222222,240,10,0.0416666666666666,-0.0194444444444444,26
45,1,0.0222222222222222,240,15,0.0625,-0.0402777777777777,27
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,28
45,0,0.0,240,10,0.0416666666666666,-0.0416666666666666,29
45,1,0.0222222222222222,240,14,0.0583333333333333,-0.0361111111111111,30
45,0,0.0,240,13,0.0541666666666666,-0.0541666666666666,31
45,0,0.0,240,11,0.0458333333333333,-0.0458333333333333,32
45,0,0.0,240,11,0.0458333333333333,-0.0458333333333333,33
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,34
45,0,0.0,240,12,0.05,-0.05,35
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,36
45,0,0.0,240,11,0.0458333333333333,-0.0458333333333333,37
45,1,0.0222222222222222,240,11,0.0458333333333333,-0.0236111111111111,38
45,1,0.0222222222222222,240,9,0.0375,-0.0152777777777777,39
45,0,0.0,240,9,0.0375,-0.0375,40
45,1,0.0222222222222222,240,8,0.0333333333333333,-0.0111111111111111,41
45,1,0.0222222222222222,240,13,0.0541666666666666,-0.0319444444444444,42
45,1,0.0222222222222222,240,17,0.0708333333333333,-0.0486111111111111,43
45,0,0.0,240,15,0.0625,-0.0625,44
45,0,0.0,240,11,0.0458333333333333,-0.0458333333333333,45
45,1,0.0222222222222222,240,14,0.0583333333333333,-0.0361111111111111,46
45,0,0.0,240,12,0.05,-0.05,47
45,0,0.0,240,14,0.0583333333333333,-0.0583333333333333,48
45,1,0.0222222222222222,240,10,0.0416666666666666,-0.0194444444444444,49
