model,feature,oof_macro_f1
qwen,raw_current,0.4504365689807513
qwen,raw_recent,0.5658157077541581
qwen,matched_current,0.6688317382850544
qwen,matched_recent,0.6980171450801708
qwen,DeltaU_pre,0.6419208146881089
qwen,ordered_prefix,0.8987892020157685
qwen,cutoff_hidden,1.0
llama,raw_current,0.2700368763112111
llama,raw_recent,0.3597286226318484
llama,matched_current,0.3292391437247538
llama,matched_recent,0.5097073041158274
llama,DeltaU_pre,0.3456383878791707
llama,ordered_prefix,0.7792102552603432
llama,cutoff_hidden,1.0
gemma,raw_current,0.5245641136283417
gemma,raw_recent,0.5924840135810375
gemma,matched_current,0.6402114268216305
gemma,matched_recent,0.7044652126737171
gemma,DeltaU_pre,0.6529043145316967
gemma,ordered_prefix,0.8522921242408703
gemma,cutoff_hidden,1.0
