model,fold,feature,n_train,n_test,test_macro_f1,delta_u_pre_explained_variance
qwen,0,raw_current,760,200,0.43620301627130925,0.6536269187927246
qwen,0,raw_recent,760,200,0.5578301691046789,0.6536269187927246
qwen,0,matched_current,760,200,0.6684277538766703,0.6536269187927246
qwen,0,matched_recent,760,200,0.7131438221221503,0.6536269187927246
qwen,0,DeltaU_pre,760,200,0.6741608431664566,0.6536269187927246
qwen,0,ordered_prefix,760,200,0.8872813500862281,0.6536269187927246
qwen,0,cutoff_hidden,760,200,1.0,0.6536269187927246
qwen,1,raw_current,770,190,0.46543189925542866,0.6626409292221069
qwen,1,raw_recent,770,190,0.5584037475351203,0.6626409292221069
qwen,1,matched_current,770,190,0.6429150913592984,0.6626409292221069
qwen,1,matched_recent,770,190,0.680084766712528,0.6626409292221069
qwen,1,DeltaU_pre,770,190,0.6411744042006396,0.6626409292221069
qwen,1,ordered_prefix,770,190,0.9089419447160806,0.6626409292221069
qwen,1,cutoff_hidden,770,190,1.0,0.6626409292221069
qwen,2,raw_current,770,190,0.4467088895896843,0.6632609367370605
qwen,2,raw_recent,770,190,0.5782269873178963,0.6632609367370605
qwen,2,matched_current,770,190,0.6572418795176751,0.6632609367370605
qwen,2,matched_recent,770,190,0.7016579911316754,0.6632609367370605
qwen,2,DeltaU_pre,770,190,0.625528689015521,0.6632609367370605
qwen,2,ordered_prefix,770,190,0.9441058045791356,0.6632609367370605
qwen,2,cutoff_hidden,770,190,1.0,0.6632609367370605
qwen,3,raw_current,770,190,0.435895829978109,0.6618969440460205
qwen,3,raw_recent,770,190,0.5698920854663879,0.6618969440460205
qwen,3,matched_current,770,190,0.7211563870831351,0.6618969440460205
qwen,3,matched_recent,770,190,0.6856679914251494,0.6618969440460205
qwen,3,DeltaU_pre,770,190,0.6533214451031936,0.6618969440460205
qwen,3,ordered_prefix,770,190,0.8954511558538404,0.6618969440460205
qwen,3,cutoff_hidden,770,190,1.0,0.6618969440460205
qwen,4,raw_current,770,190,0.46769385585175055,0.6586172580718994
qwen,4,raw_recent,770,190,0.5635729847494554,0.6586172580718994
qwen,4,matched_current,770,190,0.650009690777931,0.6586172580718994
qwen,4,matched_recent,770,190,0.6966864910790145,0.6586172580718994
qwen,4,DeltaU_pre,770,190,0.6129432867843464,0.6586172580718994
qwen,4,ordered_prefix,770,190,0.8574941338099232,0.6586172580718994
qwen,4,cutoff_hidden,770,190,1.0,0.6586172580718994
llama,0,raw_current,760,200,0.2815830063248042,0.7672430276870728
llama,0,raw_recent,760,200,0.36603439138936095,0.7672430276870728
llama,0,matched_current,760,200,0.35795405046357226,0.7672430276870728
llama,0,matched_recent,760,200,0.5363403320389614,0.7672430276870728
llama,0,DeltaU_pre,760,200,0.34175084175084175,0.7672430276870728
llama,0,ordered_prefix,760,200,0.80394608669589,0.7672430276870728
llama,0,cutoff_hidden,760,200,1.0,0.7672430276870728
llama,1,raw_current,770,190,0.2629573022990788,0.7689833045005798
llama,1,raw_recent,770,190,0.35475876964152914,0.7689833045005798
llama,1,matched_current,770,190,0.31571274113492404,0.7689833045005798
llama,1,matched_recent,770,190,0.5414556458034719,0.7689833045005798
llama,1,DeltaU_pre,770,190,0.3422318422318423,0.7689833045005798
llama,1,ordered_prefix,770,190,0.7433754818643169,0.7689833045005798
llama,1,cutoff_hidden,770,190,1.0,0.7689833045005798
llama,2,raw_current,770,190,0.2801296264710899,0.7685695886611938
llama,2,raw_recent,770,190,0.37766046123923314,0.7685695886611938
llama,2,matched_current,770,190,0.32568304964063466,0.7685695886611938
llama,2,matched_recent,770,190,0.47440228616699204,0.7685695886611938
llama,2,DeltaU_pre,770,190,0.36545935389598666,0.7685695886611938
llama,2,ordered_prefix,770,190,0.8091289110758138,0.7685695886611938
llama,2,cutoff_hidden,770,190,1.0,0.7685695886611938
llama,3,raw_current,770,190,0.2639270166697842,0.7772181034088135
llama,3,raw_recent,770,190,0.3482290958779987,0.7772181034088135
llama,3,matched_current,770,190,0.32670141537418423,0.7772181034088135
llama,3,matched_recent,770,190,0.49581238117737053,0.7772181034088135
llama,3,DeltaU_pre,770,190,0.35922501008555696,0.7772181034088135
llama,3,ordered_prefix,770,190,0.7622168387946789,0.7772181034088135
llama,3,cutoff_hidden,770,190,1.0,0.7772181034088135
