model,fold,graph_id,split
qwen,0,0,test
qwen,0,1,train
qwen,0,2,train
qwen,0,3,train
qwen,0,4,train
qwen,0,5,test
qwen,0,6,train
qwen,0,7,train
qwen,0,8,train
qwen,0,9,train
qwen,0,10,test
qwen,0,11,train
qwen,0,12,train
qwen,0,13,train
qwen,0,14,train
qwen,0,15,test
qwen,0,16,train
qwen,0,17,train
qwen,0,18,train
qwen,0,19,train
qwen,0,20,test
qwen,0,21,train
qwen,0,22,train
qwen,0,23,train
qwen,0,24,train
qwen,0,25,test
qwen,0,26,train
qwen,0,27,train
qwen,0,28,train
qwen,0,29,train
qwen,0,30,test
qwen,0,31,train
qwen,0,32,train
qwen,0,33,train
qwen,0,34,train
qwen,0,35,test
qwen,0,36,train
qwen,0,37,train
qwen,0,38,train
qwen,0,39,train
qwen,0,40,test
qwen,0,41,train
qwen,0,42,train
qwen,0,43,train
qwen,0,44,train
qwen,0,45,test
qwen,0,46,train
qwen,0,47,train
qwen,0,48,train
qwen,0,49,train
qwen,0,50,test
qwen,0,51,train
qwen,0,52,train
qwen,0,53,train
qwen,0,54,train
qwen,0,55,test
qwen,0,56,train
qwen,0,57,train
qwen,0,58,train
qwen,0,59,train
qwen,0,60,test
qwen,0,61,train
qwen,0,62,train
qwen,0,63,train
qwen,0,64,train
qwen,0,65,test
qwen,0,66,train
qwen,0,67,train
qwen,0,68,train
qwen,0,69,train
qwen,0,70,test
qwen,0,71,train
qwen,0,72,train
qwen,0,73,train
qwen,0,74,train
qwen,0,75,test
qwen,0,76,train
qwen,0,77,train
qwen,0,78,train
qwen,0,79,train
qwen,0,80,test
qwen,0,81,train
qwen,0,82,train
qwen,0,83,train
qwen,0,84,train
qwen,0,85,test
qwen,0,86,train
qwen,0,87,train
qwen,0,88,train
qwen,0,89,train
qwen,0,90,test
qwen,0,91,train
qwen,0,92,train
qwen,0,93,train
qwen,0,94,train
qwen,0,95,test
qwen,1,0,train
qwen,1,1,train
qwen,1,2,train
qwen,1,3,train
qwen,1,4,test
qwen,1,5,train
qwen,1,6,train
qwen,1,7,train
