prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_token_id,baseline_top1_class,baseline_margin,strict_conflict_to_clean,nonclosure_top1_changed,margin_shift,model,random_seed
g000_clean,0,clean,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.234375,8697,conflict,-1.234375,False,False,0.0,qwen,
g000_redundant,0,redundant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.140625,8697,conflict,-0.140625,False,False,0.0,qwen,
g000_irrelevant,0,irrelevant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.1875,8697,conflict,-1.1875,False,False,0.0,qwen,
g000_paraphrase,0,paraphrase,stable,structured_guarded,3731,8697,3731, Red,clean,1,2,1.78125,3731,clean,1.78125,False,False,0.0,qwen,
g000_weak_distractor,0,weak_distractor,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.40625,8697,conflict,-0.40625,False,False,0.0,qwen,
g000_competition_balanced,0,competition_balanced,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-4.078125,8697,conflict,-4.078125,False,False,0.0,qwen,
g000_direct_conflict,0,direct_conflict,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-3.359375,8697,conflict,-3.359375,False,False,0.0,qwen,
g000_closure_update,0,closure_update,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.0625,8697,conflict,-6.03125,False,False,3.96875,qwen,
g000_closure_override,0,closure_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.34375,8697,conflict,-6.453125,False,False,5.109375,qwen,
g000_exception_override,0,exception_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.59375,8697,conflict,-5.640625,False,False,5.046875,qwen,
g004_clean,4,clean,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,3.28125,42540,clean,3.28125,False,False,0.0,qwen,
g004_redundant,4,redundant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,3.21875,42540,clean,3.21875,False,False,0.0,qwen,
g004_irrelevant,4,irrelevant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,0.1875,42540,clean,0.1875,False,False,0.0,qwen,
g004_paraphrase,4,paraphrase,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,4.203125,42540,clean,4.203125,False,False,0.0,qwen,
g004_weak_distractor,4,weak_distractor,competition,structured_guarded,42540,14997,42540, Copper,clean,1,2,1.078125,42540,clean,1.078125,False,False,0.0,qwen,
g004_competition_balanced,4,competition_balanced,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.28125,14997,conflict,-1.28125,False,False,0.0,qwen,
g004_direct_conflict,4,direct_conflict,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.40625,14997,conflict,-1.40625,False,False,0.0,qwen,
g004_closure_update,4,closure_update,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-0.84375,14997,conflict,-2.078125,False,False,1.234375,qwen,
g004_closure_override,4,closure_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.96875,14997,conflict,-6.984375,False,False,5.015625,qwen,
g004_exception_override,4,exception_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.109375,14997,conflict,-5.671875,False,False,4.5625,qwen,
g009_clean,9,clean,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.21875,4312,conflict,-0.21875,False,False,0.0,qwen,
g009_redundant,9,redundant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,2.046875,6326,clean,2.046875,False,False,0.0,qwen,
g009_irrelevant,9,irrelevant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,1.578125,6326,clean,1.578125,False,False,0.0,qwen,
g009_paraphrase,9,paraphrase,stable,structured_guarded,6326,4312,6326, East,clean,1,2,1.9375,6326,clean,1.9375,False,False,0.0,qwen,
g009_weak_distractor,9,weak_distractor,competition,structured_guarded,6326,4312,6326, East,clean,1,2,0.390625,6326,clean,0.390625,False,False,0.0,qwen,
g009_competition_balanced,9,competition_balanced,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.171875,4312,conflict,-0.171875,False,False,0.0,qwen,
g009_direct_conflict,9,direct_conflict,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-3.046875,4312,conflict,-3.046875,False,False,0.0,qwen,
g009_closure_update,9,closure_update,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.03125,4312,conflict,-4.140625,False,False,3.109375,qwen,
g009_closure_override,9,closure_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,1.421875,4312,conflict,-2.953125,True,True,4.375,qwen,
g009_exception_override,9,exception_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.6875,4312,conflict,-3.21875,True,True,3.90625,qwen,
